Sales Rep Assigned,Product Name,Product Num,Brand Family,Customer ID,Customer Name,Buyer Count   2026,Placement Count   2026,Cases   2026
Anthony Palmisano,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,3005,Usa Wine Traders (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Anthony Palmisano,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Anthony Palmisano,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,6002,Roserne Liquors North,1.00,1.00,0.00
Anthony Palmisano,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Anthony Palmisano,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,6002,Roserne Liquors North,1.00,1.00,0.00
Anthony Palmisano,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,6002,Roserne Liquors North,1.00,1.00,0.00
Anthony Palmisano,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,6002,Roserne Liquors North,1.00,1.00,0.00
Anthony Palmisano,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,3005,Usa Wine Traders (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Anthony Palmisano,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,3001,Best Cellars (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,6002,Roserne Liquors North,1.00,1.00,1.00
Anthony Palmisano,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,3005,Usa Wine Traders (Wanaque),1.00,1.00,1.00
Anthony Palmisano,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Anthony Palmisano,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,2003,Ringwood W&L,1.00,1.00,1.00
Anthony Palmisano,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,6002,Roserne Liquors North,1.00,1.00,0.00
Anthony Palmisano,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,8008,Shoppers Disc(A)Pompton,1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,76015,Discount Liq & Bar,1.00,1.00,2.00
Chris Payton,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,78013,J R W & Liq (A),1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,50007,Welsh Farms,1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,35002,Woodridge Wines & Liq(A),1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,23006,46 Discount Liquor Store,1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,25045,Clifton Disc Liq (A),1.00,1.00,2.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,35002,Woodridge Wines & Liq(A),1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,76010,Usa Wine Traders Club (Saddle Brook),1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,47011,Ridgefield Deli & Liq,1.00,1.00,1.00
Chris Payton,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,76010,Usa Wine Traders Club (Saddle Brook),1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,25045,Clifton Disc Liq (A),1.00,1.00,2.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,76018,Krauszer Liquor,1.00,1.00,1.00
Chris Payton,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,79002,Hollywd Liq&Deli (A),1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,76018,Krauszer Liquor,1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,79004,Coronet Variety,1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,38017,Quick Stop Food & Liq,1.00,1.00,1.00
Chris Payton,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,47011,Ridgefield Deli & Liq,1.00,1.00,1.00
Chris Payton,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,38017,Quick Stop Food & Liq,1.00,1.00,1.00
Chris Payton,Lytt Grape 1/24/6.8 oz Btl,83055,Lytt,78013,J R W & Liq (A),1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,79004,Coronet Variety,1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,34009,The Wine Rack Hasbrouck Hts,1.00,1.00,1.00
Chris Payton,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,83054,Lytt,34009,The Wine Rack Hasbrouck Hts,1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,76010,Usa Wine Traders Club (Saddle Brook),1.00,1.00,1.00
Chris Payton,Lytt Strawberry Rita 1/24/6.8 oz Btl,83052,Lytt,76010,Usa Wine Traders Club (Saddle Brook),1.00,1.00,1.00
Chris Payton,Lytt Peach Mango 1/24/6.8 oz Btl,83053,Lytt,76015,Discount Liq & Bar,1.00,1.00,1.00
Chris Payton,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,79002,Hollywd Liq&Deli (A),1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,50007,Welsh Farms,1.00,1.00,1.00
Chris Payton,Lytt Blue Raspberry 1/24/6.8 oz Btl,83056,Lytt,34009,The Wine Rack Hasbrouck Hts,1.00,1.00,1.00
Chris Payton,Lytt Tropical Punch 1/24/6.8 oz Btl,83051,Lytt,78013,J R W & Liq (A),1.00,1.00,1.00
