Sales Rep Assigned,Product Num Name,Customer Num & Company,On-Off Premise,Load Sheet Date,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026
Shane Barreca,1157 Fever Tree Club Soda 6/4/200 mL Btl,67005 Shoprite Liq (A)Northvle,Off Premise,9/4/2026,,1.00
Shane Barreca,1160 Fever Tree Tonic Water 6/4/200 mL Btl,67005 Shoprite Liq (A)Northvle,Off Premise,9/4/2026,,1.00
Michael Harboy,1160 Fever Tree Tonic Water 6/4/200 mL Btl,12005 Shay's Liquors,Off Premise,9/3/2026,,1.00
Phil Ernst,1157 Fever Tree Club Soda 6/4/200 mL Btl,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1161 Fever Tree Tonic Water 8/500 mL Btl,81014 Shop Rite Liq(A) Fair Lwn,Off Premise,9/3/2026,,1.00
Phil Ernst,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1177 Fever Tree Distillers Cola 6/4/200 mL Btl,78008 Shop Rite Liq(A) Roch Pk,Off Premise,9/3/2026,,1.00
Phil Ernst,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1154 Fever Tree Ginger Beer 8/500 mL Btl,81014 Shop Rite Liq(A) Fair Lwn,Off Premise,9/3/2026,,1.00
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Phil Ernst,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,81014 Shop Rite Liq(A) Fair Lwn,Off Premise,9/3/2026,,1.00
Phil Ernst,1170 Fever Tree Ginger Ale 3/8/150 mL Can,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Phil Ernst,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Michael Harboy,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12005 Shay's Liquors,Off Premise,9/3/2026,,1.00
Jayson Romine,1179 Fever Tree Classic Margarita Mix 6/750 mL Btl,230427 ShopRite Wine & Spirits of Newton#830,Off Premise,9/3/2026,,1.00
Jayson Romine,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Phil Ernst,1155 Fever Tree Ginger Beer 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Jayson Romine,1159 Fever Tree Club Soda 3/8/150 mL Can,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Michael Harboy,1157 Fever Tree Club Soda 6/4/200 mL Btl,12005 Shay's Liquors,Off Premise,9/3/2026,,1.00
Jayson Romine,1152 Fever Tree Light Ginger Beer 6/4/200 mL Btl,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,80026 Stew Leonard's(A) Paramus Wine,Off Premise,9/3/2026,,1.00
Jayson Romine,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Phil Ernst,1157 Fever Tree Club Soda 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Jayson Romine,1175 Fever Tree Cucumber 6/4/200 mL Btl,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Shane Barreca,1159 Fever Tree Club Soda 3/8/150 mL Can,60001 Bottle King (A) Dumont,Off Premise,9/3/2026,,1.00
Phil Ernst,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Jayson Romine,1162 Fever Tree Tonic Water 3/8/150 mL Can,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,78008 Shop Rite Liq(A) Roch Pk,Off Premise,9/3/2026,,1.00
Phil Ernst,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,9/3/2026,,1.00
Jayson Romine,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230105 ShopRite Wines & Spirits of Sparta,Off Premise,9/3/2026,,1.00
Jayson Romine,1175 Fever Tree Cucumber 6/4/200 mL Btl,231701 George's Wine & Spirits,Off Premise,9/2/2026,,1.00
Mike Ast,1159 Fever Tree Club Soda 3/8/150 mL Can,96002 Wine & Spirit World(W),Off Premise,9/2/2026,,1.00
Klejdi Lamo,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,191710 Shop Rite Wine & Spirits Stanhope,Off Premise,9/2/2026,,1.00
Jayson Romine,1170 Fever Tree Ginger Ale 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Jayson Romine,1162 Fever Tree Tonic Water 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,84010 Ridgewood Super Cellar,Off Premise,9/2/2026,,1.00
Derrick Laws,1160 Fever Tree Tonic Water 6/4/200 mL Btl,13001 Shop Rite Liq (A)Littlefl,Off Premise,9/2/2026,,1.00
Klejdi Lamo,1152 Fever Tree Light Ginger Beer 6/4/200 mL Btl,191710 Shop Rite Wine & Spirits Stanhope,Off Premise,9/2/2026,,1.00
Mike Ast,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,84010 Ridgewood Super Cellar,Off Premise,9/2/2026,,1.00
Jayson Romine,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Jayson Romine,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,231701 George's Wine & Spirits,Off Premise,9/2/2026,,1.00
Jayson Romine,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Jayson Romine,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,231701 George's Wine & Spirits,Off Premise,9/2/2026,,1.00
Klejdi Lamo,1175 Fever Tree Cucumber 6/4/200 mL Btl,191710 Shop Rite Wine & Spirits Stanhope,Off Premise,9/2/2026,,1.00
Jayson Romine,1160 Fever Tree Tonic Water 6/4/200 mL Btl,231701 George's Wine & Spirits,Off Premise,9/2/2026,,1.00
Derrick Laws,1157 Fever Tree Club Soda 6/4/200 mL Btl,13001 Shop Rite Liq (A)Littlefl,Off Premise,9/2/2026,,1.00
Klejdi Lamo,1180 Fever Tree Classic Margarita Light Mix 6/750 mL Btl,191710 Shop Rite Wine & Spirits Stanhope,Off Premise,9/2/2026,,1.00
Klejdi Lamo,1159 Fever Tree Club Soda 3/8/150 mL Can,191710 Shop Rite Wine & Spirits Stanhope,Off Premise,9/2/2026,,1.00
Jayson Romine,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Mike Ast,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,96002 Wine & Spirit World(W),Off Premise,9/2/2026,,1.00
Jayson Romine,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230905 ShopRite Wines & Spirits of Franklin,Off Premise,9/2/2026,,1.00
Derrick Laws,1158 Fever Tree Club Soda 8/500 mL Btl,13001 Shop Rite Liq (A)Littlefl,Off Premise,9/2/2026,,1.00
Chris Payton,1162 Fever Tree Tonic Water 3/8/150 mL Can,34007 Liquor Masters (P),Off Premise,9/1/2026,,1.00
Brian Sengebush,1160 Fever Tree Tonic Water 6/4/200 mL Btl,231717 Culver Liquor and Bar,Off Premise,9/1/2026,,1.00
Chris Payton,1170 Fever Tree Ginger Ale 3/8/150 mL Can,34007 Liquor Masters (P),Off Premise,9/1/2026,,1.00
Dan Lagala,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Shane Barreca,1159 Fever Tree Club Soda 3/8/150 mL Can,62009 Gary's Wine & Marketplace (Closter),Off Premise,9/1/2026,,1.00
