Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Area,Cases   2026
Alisa Acciardi,78002,Super K Food (A) Store,850 Rte 3 West (Ste 115),Rochelle Park,Passaic,17473.55
Alisa Acciardi,29010,Paradise Liquors,500 Stuyvesant Ave,Lyndhurst,Bergen,16182.55
Alisa Acciardi,78002,Super K Food (A) Store,190 W Passaic St,Rochelle Park,Bergen,1255.00
Alisa Acciardi,24057,Mighty Quinns Bbq,850 Rte 3 West (Ste 115),Clifton,Passaic,36.00
Allison Scott,58005,pompton crafthouse,991 Goffle Road,Woodland Park,Passaic-FF,76854.61
Allison Scott,12008,North Jersey C C,594 Hamburg Turnpike,Wayne,Passaic,141.00
Allison Scott,15006,Great Notch Inn(Z),400 Us 46 West,Little Falls,Passaic,286.00
Allison Scott,24038,J. Alexander's Restaurant,405 Allwood Road,Clifton,Passaic,216.00
Allison Scott,24039,Veterans Post (9),147 Huron Ave,Clifton,Passaic,210.00
Allison Scott,12037,Maggies Town Tavern Ii,1082 Hamburg Turnpike,Wayne,Passaic,339.00
Allison Scott,13015,Rare The Steakhouse (Z),440 Main Street,Little Falls,Passaic,393.00
Allison Scott,25011,Kashan Indian Kitchen & Ber,50 Market St,Clifton,Passaic,29.00
Allison Scott,24060,Clifton Billiards (Z),1158 Main Ave,Clifton,Passaic,587.00
Allison Scott,1005,Grasshopper Irish Pub (A),2891 Route 23,Newfoundland,Passaic,867.17
Allison Scott,23013,Vfw 7165 (P),491 Valley Rd,Clifton,Passaic,200.00
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",1400 Willowbrook Mall,Wayne,Passaic,131.00
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,Passaic-FF,4051.09
Allison Scott,12043,Outback Stkhse(P)Wayne,189 Berdan Avenue,Wayne,Passaic,159.00
Allison Scott,14005,The Grand,38 Lackwanna Av,Totowa,Passaic,423.00
Allison Scott,14006,46 Lounge (P),300 Us-46,Totowa,Passaic,3810.30
Allison Scott,14002,Applebee's (Totowa) (A),465 Rt 46 West,Totowa,Passaic,355.00
Allison Scott,21043,Duffy's Tavern (Z),856 River Street,Paterson,Passaic,15087.93
Allison Scott,8015,Thatcher Mc Ghees (A),6 Wanaque Ave,Pompton Lakes,Passaic-FF,1626.17
Allison Scott,25082,Crab Island Cajun Seafood & Bar,1016 Main Ave,Clifton,Passaic,307.00
Allison Scott,9002,Tavern 5_2,710 Newark Pompton Turnpi,Pompton Plains,Morris 3,235.00
Allison Scott,24054,Upper Montclair Cc (A),177 Hepburn Rd,Clifton,Passaic,304.67
Allison Scott,15036,River Terrace Inn(P),36 Totowa Ave,Paterson,Passaic,655.00
Allison Scott,10010,Sunset Valley G C (A),47 W Sunset Road,Pompton Plains,Morris 3,283.00
Allison Scott,12054,Red Lobster 225 Wayne,520 Us-46,Wayne,Passaic,77.00
Allison Scott,15067,Naxos Estiatorio,1738 Rt 46 W,Woodland Park,Passaic,292.00
Allison Scott,17006,The Yard,289 Belmont Ave,Haledon,Passaic,355.00
Allison Scott,25083,Rutt's Hut (A),417 River Rd,Clifton,Passaic,470.67
Allison Scott,19005,Celtic Corner,312 Lafayette Ave,Hawthorne,Passaic,461.00
Allison Scott,5002,100 Proof Bar & Bites,227 Main Street,Butler,Morris 3,158.00
Allison Scott,12041,Cheesecake Fact (A)Wayne,1700 Willowbrook Mall,Wayne,Passaic,289.00
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,Passaic,292.00
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,Passaic,1095.67
Allison Scott,12015,Izumi Hibachi Steak House,517 NJ-23,Wayne,Passaic,145.00
Allison Scott,19011,Las Maravillas Restaurant,410 Wagaraw Road,Hawthorne,Passaic,293.00
Allison Scott,14017,The Chariot,555 Preakness Ave,Totowa,Passaic,1038.10
Allison Scott,24026,Rock Bar,414 Main Ave,Clifton,Passaic,1569.00
Allison Scott,19004,Shortways' Barn (A),991 Goffle Road,Hawthorne,Passaic,1278.00
Allison Scott,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,Passaic,279.00
Allison Scott,13013,Amer Lgn L Falls (Z),55 Van Ness Ave,Little Falls,Passaic,103.00
Allison Scott,13018,Chili's Little Falls,1165 Rte 46 East,Little Falls,Passaic,184.00
Allison Scott,24006,The Grand Saloon,940 Van Houten Ave,Clifton,Passaic,157.00
Allison Scott,5004,Outback,1538 NJ-23,Butler,Morris 3,96.00
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,Morris 3,3511.02
Allison Scott,15070,Brownstone House,351 W Broadway,Paterson,Passaic,233.00
Allison Scott,13005,Sear,1 Route 23 South,Little Falls,Passaic,139.00
Allison Scott,7005,Chili's (Riverdale),58 NJ-23,Riverdale,Morris 3,151.00
Allison Scott,23020,Clifton City Tavern(P),709 Van Houten Avenue,Clifton,Passaic,365.00
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,205.00
Allison Scott,19002,Puzo's Pizza,4 Garfield Ave,Hawthorne,Passaic,72.00
Allison Scott,25009,Spuntino Wine Bar/Italian,70 Kingsland Rd,Clifton,Passaic,167.00
Allison Scott,17003,D'CARBON BAR AND GRILL haledon,529 Belmont Ave,Haledon,Passaic,194.00
Allison Scott,24048,Dante's,955 Valley Rd,Clifton,Passaic,191.00
Allison Scott,24025,The Clif (P),605 Clifton Ave,Clifton,Passaic,1019.00
Allison Scott,12049,Aramark Educational Services@WPU,300 Pompton Road,Wayne,Passaic,14.00
Allison Scott,24022,Applebee's Clifton,375 Rte 3 E,Clifton,Passaic,439.00
Allison Scott,25004,Matthews Italian Rest,1131 Bloomfield Avenue,Clifton,Passaic,87.00
Allison Scott,5003,Applebee's (A)Butler,1200 NJ-23,Butler,Morris 3,183.00
Allison Scott,15004,Blackjack Mulligan's Public House,1145 Mcbride Ave,Woodland Park,Passaic,1071.02
Allison Scott,11011,Sunset Pub & Grill(Z),425 Beaverbrook Rd,Lincoln Park,Morris 3,610.00
Allison Scott,12032,Casa Don Manuel,1292 Alps Rd,Wayne,Passaic,505.00
Allison Scott,19021,The Front Porch (Z),217 Wagaraw Road,Hawthorne,Passaic,180.00
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,Passaic,859.00
Allison Scott,25077,Chevy's Fresh Mex (A)Clif,365 Rte 3 East,Clifton,Passaic,313.00
Allison Scott,12051,Packanack Golf (P),7 Osborne Terrace,Wayne,Passaic,225.00
Allison Scott,25052,Uno Chicago Grl (A)Clifto,426 Rt 3 W.River Frontcnt,Clifton,Passaic,198.00
Allison Scott,12034,"Dave & Buster's Nj, Inc",310 Willowbrook Mall,Wayne,Passaic,624.00
Allison Scott,14010,Uncorked (P),650 Union Blvd,Totowa,Passaic,288.33
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,Passaic,854.00
Allison Scott,24027,Mario's Rest,710 Van Houten Ave,Clifton,Passaic,68.00
Allison Scott,14003,Murph's Bar & Liquor,375 Union Blvd,Totowa,Passaic,1586.00
Allison Scott,15048,D'carbon Restaurant,491 Mcbride Ave,West Paterson,Passaic,154.00
Allison Scott,14016,JINYA Ramen Bar,465 Rt 46 West,Totowa,Passaic,52.00
Allison Scott,13003,Maggie's Town Tav.(P),10 Van Ness Ave,Little Falls,Passaic,572.17
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,Passaic-FF,71.00
Allison Scott,13002,The Little Falls Tavern,131 Newark Pompton Turnpike,Little Falls,Passaic,423.00
Allison Scott,25036,Dingbatz (P),620 Van Houten Ave,Clifton,Passaic,586.00
Allison Scott,8014,Macks American Bar/Grill,300 Wanaque Ave,Pompton Lakes,Passaic,195.00
Allison Scott,12001,T Bowl Tavern (Z),300 Preakness Shop Ctr,Wayne,Passaic,265.00
Allison Scott,12014,Olive Garden (A) Wayne,83 Route 23 South,Wayne,Passaic,88.00
Allison Scott,24029,Dingo's Den (P),615 Van Houten Ave,Clifton,Passaic,1634.17
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,Morris 3,404.00
Allison Scott,19012,Bottagra Rest (P),80 Wagaraw Road,Hawthorne,Passaic,352.17
Allison Scott,24061,Breaker Billiards,1142 US-46,Clifton,Passaic,498.00
Allison Scott,58005,Feathers (A),77 Kinderkamack Rd,River Edge,Bergen,490.00
Allison Scott,10001,cherry's,23 NJ-23,Pequannock,Morris 3,248.00
Allison Scott,12022,Grasshopper Too (A),26 Erie Ave,Wayne,Passaic,711.17
Allison Scott,12035,Preakness Hills (A) cc,1050 Ratzer Road,Wayne,Passaic,183.00
Allison Scott,17001,Underdog Lounge(P),4 Church Street,Haledon,Passaic,199.00
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,Passaic,460.00
Allison Scott,19016,Jiggle's,105 Mohawk Ave,Hawthorne,Passaic,401.00
Allison Scott,25056,Emerald Corner (Z),12 Oak St,Clifton,Passaic,3068.96
Allison Scott,12048,Anthonys CF Pizza (Wayne),1600 NJ-23,Wayne,Passaic,124.00
Allison Scott,5008,Celtic Crossings,1248 NJ-23,Butler,Morris 3,683.00
Allison Scott,12040,NYX,24 Galesi Drive,Wayne,Passaic,0.00
Allison Scott,20010,Riverside Grill(D'carbon),855 River Street,Paterson,Passaic,402.00
Allison Scott,14004,Sushi Lounge,235 Us-46,Totowa,Passaic,147.00
Allison Scott,12056,PF Changs China Bistro (Wayne),1900 Willowbrook Blvd,Wayne,Passaic,104.00
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),71 NJ-23,Wayne,Passaic,401.00
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,Passaic,867.00
Allison Scott,25078,The Shannon Rose (A),98 Kingsland Rd,Clifton,Passaic,370.00
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,Passaic,596.33
Allison Scott,25049,Yesterdays (P),70 Main Ave,Clifton,Passaic,656.00
Allison Scott,12036,Brokedown Palace,95 Mountainview Blvd,Wayne,Passaic,350.00
Allison Scott,23001,Bogey's Sport Bar,103 Valley Road,Clifton,Passaic,551.00
Allison Scott,22004,Neighbors,329 Trenton Avenue,Paterson,Passaic,979.00
Allison Scott,9005,The Legacy Castle,141 NJ-23,Pompton Plains,Morris 3,225.00
Allison Scott,24045,Red Robin Gourmet Burger (Clifton),265 Rt 3 East,Clifton,Passaic,3.00
Allison Scott,7003,Blu Ale House,92 NJ-23,Riverdale,Morris 3,538.33
Allison Scott,12061,Raeya's,37 Berdan Ave,Wayne,Passaic,35.00
Allison Scott,12013,Jalapenos Mexican Grill,142 Ryerson Ave.,Wayne,Passaic,2205.20
Allison Scott,12018,KRIOS Prime,344 French Hill Road,Wayne,Passaic,63.00
Allison Scott,24056,Jaime's (A),915 Bloomfield Ave,Clifton,Passaic,255.00
Allison Scott,12020,Lakeside Drive Tavern,56 Lake Drive West,Wayne,Passaic,166.00
Allison Scott,22016,Johnny A's (P) Hitchn Pos,95 Barclay Street,Paterson,Passaic,1930.00
