Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Derrick Laws,23004,Yaremy Liquors,895 Paulison Ave,Sales,Sales,Passaic,Paterson,Off Premise,32,570923.97
Derrick Laws,23004,Shop Rite Wines/Spirits,895 Paulison Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,183974.44
Derrick Laws,22006,Ant's Bar & Liquors,16 Mary Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,80092.95
Derrick Laws,22067,Gonzalez Liq & Bar(A),105 Park Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,35607.82
Derrick Laws,22022,C Town (A),680 Main Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,25947.73
Derrick Laws,13001,Shop Rite Liq (A)Littlefl,171 Browertown Rd,Passaic,Passaic,Passaic,Little Falls,Off Premise,1,24670.00
Derrick Laws,21033,The Liquor Shop,498 E 30th Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,24571.00
Derrick Laws,20037,The Point Liquor & Bar,620 Main Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,21004.53
Derrick Laws,22032,Economy Liquors,186 5th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,17175.00
Derrick Laws,21050,Quis Queya Liquor(P),586 21st Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,12136.00
Derrick Laws,15012,Pal's Liquor,241 Union Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,10488.00
Derrick Laws,21048,Ferraro's Liquor,423 21st Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,10379.00
Derrick Laws,20079,Limestone Liquors (A),349 Union Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,9860.00
Derrick Laws,15023,Santana's Sport(P)Bella,215 Market St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,9821.75
Derrick Laws,20005,La Sorpresa Liq (P),115 4th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,9695.00
Derrick Laws,20080,Raphael & Angel Liq (A),390 Main St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,8890.00
Derrick Laws,20027,230 Liq & Groc.(A),230 Rosa Parks Blvd,Passaic,Passaic,Passaic,Paterson,Off Premise,1,8568.00
Derrick Laws,15013,El Oasis,450 Union Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,8514.00
Derrick Laws,21045,Dorta Liquor (A),353 21st Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,8082.00
Derrick Laws,15037,Liquor Gallery (Paterson),459 Mcbride Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6547.50
Derrick Laws,20025,Mercer Bar & Liquors,73 Mercer St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6426.00
Derrick Laws,20030,10th Ave Liq & Food (P),350 10th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6282.00
Derrick Laws,20040,Hiciano Liquor Store,71 73 Park Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6088.00
Derrick Laws,21035,M & R Disc (A) Liqs.,408 21st Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,5672.00
Derrick Laws,21031,Broadway Liq (A),732 Broadway,Passaic,Passaic,Passaic,Paterson,Off Premise,1,5598.50
Derrick Laws,20060,Moya E.Bar&Liq.(Z),428 East 18th St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,4683.50
Derrick Laws,17002,Hillcrest Liqrs (A),168 Union Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,4489.00
