Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Brand Family,Date,Placement Count   2026
Brian Sengebush,191009,Mason Street Grille,100962,2XO French Oak 1/750 mL Btl,2XO,7/9/2026,1.00
Chris Payton,38007,Garden Liquors (P),100961,2XO American Oak 1/750 mL Btl,2XO,7/17/2026,1.00
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),100961,2XO American Oak 1/750 mL Btl,2XO,7/10/2026,1.00
Chris Payton,38007,Garden Liquors (P),100962,2XO French Oak 1/750 mL Btl,2XO,7/17/2026,1.00
Dan Lagala,46012,Jay Cee (P) Deli & Liq.,100121,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,Le Grand Noir,7/20/2026,1.00
Dan Lagala,43005,Rome Liquors (Fairview),100122,Le Grand Noir Pinot Noir 1/12/750 mL Btl,Le Grand Noir,7/20/2026,1.00
Dan Lagala,43005,Rome Liquors (Fairview),100961,2XO American Oak 1/750 mL Btl,2XO,7/20/2026,1.00
Dan Lagala,43005,Rome Liquors (Fairview),100962,2XO French Oak 1/750 mL Btl,2XO,7/20/2026,1.00
Dan Lagala,46012,Jay Cee (P) Deli & Liq.,100122,Le Grand Noir Pinot Noir 1/12/750 mL Btl,Le Grand Noir,7/20/2026,1.00
Dan Lagala,43005,Rome Liquors (Fairview),100121,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,Le Grand Noir,7/20/2026,1.00
Dave Ehlers,51018,Teaneck Discount Liquor,100961,2XO American Oak 1/750 mL Btl,2XO,7/9/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200381,YaVe Tequila Mango 1/6/750 mL Btl,YaVe Tequila,7/10/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200384,YaVe Tequila Blanco 1/6/750 mL Btl,YaVe Tequila,7/10/2026,1.00
Derrick Laws,20060,Moya E.Bar&Liq.(Z),100961,2XO American Oak 1/750 mL Btl,2XO,7/10/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200385,YaVe Tequila Coconut 1/6/750 mL Btl,YaVe Tequila,7/10/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,YaVe Tequila,7/10/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200383,YaVe Tequila Reposado 1/6/750 mL Btl,YaVe Tequila,7/10/2026,1.00
