Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Units   5/1/2026 - 7/31/2026,Units   8/1/2026 - 8/31/2026
Nick Melissari,Angry Orchard,31039,Yard House 8390,8/11/2026,,3
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,8/11/2026,,1
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,8/11/2026,,1
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),8/7/2026,,1
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,8/7/2026,,1
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),8/7/2026,,1
Shane Barreca,Angry Orchard,73003,Bottle King (A) Hillsdale,8/7/2026,,1
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),8/5/2026,,1
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),8/4/2026,,1
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),8/4/2026,,1
Robin Feldman,Angry Orchard,190710,Hilton Garden Inn Rockaway,8/3/2026,,1
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),8/3/2026,,1
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,8/3/2026,,0
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),8/3/2026,,0
Allison Scott,Angry Orchard,24026,Rock Bar,8/3/2026,,0
Nick Melissari,Angry Orchard,31039,Yard House 8390,8/3/2026,,0
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,8/3/2026,,0
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),8/3/2026,,0
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),8/3/2026,,0
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),8/3/2026,,0
Nick Melissari,Angry Orchard,28008,Tavern On Ridge,8/3/2026,,0
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),8/3/2026,,0
Shane Barreca,Angry Orchard,73003,Bottle King (A) Hillsdale,8/3/2026,,0
Allison Scott,Angry Orchard,10001,cherry's,8/3/2026,,0
Dave Ehlers,Angry Orchard,14007,Total Wine & More (Totowa),8/3/2026,,0
Paul Mclaughlin,Angry Orchard,57004,River & Henley,8/3/2026,,0
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),8/3/2026,,0
Default,Angry Orchard,120002,PICNIC,8/3/2026,,0
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,8/3/2026,,0
Klejdi Lamo,Angry Orchard,191210,Milton Inn,8/3/2026,,0
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),8/3/2026,,0
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,8/3/2026,,0
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),8/3/2026,,0
Mike Ast,Angry Orchard,83011,Stone & Rail,8/3/2026,,0
Anthony Palmisano,Angry Orchard,191207,Daily Planet (A),8/3/2026,,0
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,8/3/2026,,0
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),8/3/2026,,0
Nick Melissari,Angry Orchard,34002,Heights Bar (P),8/3/2026,,0
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),8/3/2026,,0
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),8/3/2026,,0
Allison Scott,Angry Orchard,12036,Brokedown Palace,8/3/2026,,0
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),8/3/2026,,0
Nick Melissari,Angry Orchard,80009,Houlihans (Para)(A),8/3/2026,,0
Allison Scott,Angry Orchard,24026,Rock Bar,7/31/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),7/29/2026,1,
Nick Melissari,Angry Orchard,34002,Heights Bar (P),7/29/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,7/28/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,7/28/2026,1,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),7/24/2026,1,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),7/24/2026,1,
Allison Scott,Angry Orchard,10001,cherry's,7/23/2026,1,
Paul Mclaughlin,Angry Orchard,57004,River & Henley,7/22/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),7/22/2026,1,
Nick Melissari,Angry Orchard,28031,Shawn's Crazy Saloon,7/22/2026,1,
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),7/21/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,7/21/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),7/20/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),7/17/2026,1,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),7/17/2026,1,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),7/17/2026,1,
Nick Melissari,Angry Orchard,80024,Applebee's Paramus,7/17/2026,2,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,7/17/2026,1,
Allison Scott,Angry Orchard,12036,Brokedown Palace,7/16/2026,1,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,7/16/2026,1,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),7/16/2026,1,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),7/15/2026,1,
