Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Buyer Count   4/1/2026 - 6/30/2026,Buyer Count   7/1/2026 - 7/31/2026
Allison Scott,Carbliss,1005,Grasshopper Irish Pub (A),7/17/2026,,1.00
Allison Scott,Carbliss,3002,The Celtic Knot,6/5/2026,1.00,
Allison Scott,Carbliss,3002,The Celtic Knot,7/3/2026,,1.00
Allison Scott,Carbliss,3007,Kitchen & Beer Bar,6/12/2026,1.00,
Allison Scott,Carbliss,5008,Celtic Crossings,6/5/2026,1.00,
Allison Scott,Carbliss,5008,Celtic Crossings,6/9/2026,1.00,
Allison Scott,Carbliss,7003,Blu Ale House,6/9/2026,1.00,
Allison Scott,Carbliss,8004,The Side Door (P),6/10/2026,1.00,
Allison Scott,Carbliss,8004,The Side Door (P),7/15/2026,,1.00
Allison Scott,Carbliss,8006,pompton crafthouse,6/15/2026,1.00,
Allison Scott,Carbliss,8015,Thatcher Mc Ghees (A),7/15/2026,,1.00
Allison Scott,Carbliss,10001,cherry's,7/14/2026,,1.00
Allison Scott,Carbliss,11007,Meadows Golf Club(P),6/4/2026,1.00,
Allison Scott,Carbliss,11007,Meadows Golf Club(P),6/30/2026,1.00,
Allison Scott,Carbliss,11011,Sunset Pub & Grill(Z),6/8/2026,1.00,
Allison Scott,Carbliss,11011,Sunset Pub & Grill(Z),6/24/2026,1.00,
Allison Scott,Carbliss,12022,Grasshopper Too (A),7/17/2026,,1.00
Allison Scott,Carbliss,12037,Maggies Town Tavern Ii,7/15/2026,,1.00
Allison Scott,Carbliss,14008,The Barnyard and Carriage House,6/10/2026,1.00,
Allison Scott,Carbliss,14008,The Barnyard and Carriage House,6/19/2026,1.00,
Allison Scott,Carbliss,14010,Uncorked (P),6/11/2026,1.00,
Allison Scott,Carbliss,15004,Blackjack Mulligan's Public House,7/16/2026,,1.00
Allison Scott,Carbliss,15074,Bask 46,7/14/2026,,1.00
Allison Scott,Carbliss,17001,Underdog Lounge(P),7/17/2026,,1.00
Allison Scott,Carbliss,17009,Jimmy Geez (P),7/14/2026,,1.00
Allison Scott,Carbliss,19004,Shortways' Barn (A),7/17/2026,,1.00
Allison Scott,Carbliss,19012,Bottagra Rest (P),7/15/2026,,1.00
Allison Scott,Carbliss,23013,Vfw 7165 (P),6/18/2026,1.00,
Allison Scott,Carbliss,24019,Sharky's Wings(P),6/9/2026,1.00,
Allison Scott,Carbliss,24029,Dingo's Den (P),7/14/2026,,1.00
Allison Scott,Carbliss,24061,Breaker Billiards,7/16/2026,,1.00
Allison Scott,Carbliss,25027,Sportzone B&G (P),7/17/2026,,1.00
Allison Scott,Carbliss,25036,Dingbatz (P),7/14/2026,,1.00
Allison Scott,Carbliss,25056,Emerald Corner (Z),6/5/2026,1.00,
Anthony Palmisano,Carbliss,191103,Whistle Stop (P),6/3/2026,1.00,
Anthony Palmisano,Carbliss,191207,Daily Planet (A),6/4/2026,1.00,
Anthony Palmisano,Carbliss,191207,Daily Planet (A),7/2/2026,,1.00
Anthony Palmisano,Carbliss,230903,Black Bear Golf(A),6/4/2026,1.00,
Anthony Palmisano,Carbliss,230903,Black Bear Golf(A),6/18/2026,1.00,
