Sales Rep Assigned,Customer Num,Customer Name,Premise,Draft Package,Shipping Address,City,County,Distribution Area,Area,Buyer Count   2026,Cases   2026
Javier Melo,27077,Mojito Bar,On Premise,3) Package Only,159 Market St,Passaic,Passaic,Passaic,Passaic,1,24763.00
Pablo Lopez,21038,Freddie's Dugout,On Premise,3) Package Only,16 3rd Ave,Paterson,Passaic,Passaic,Passaic,1,19826.22
Allison Scott,21043,Duffy's Tavern (Z),On Premise,2) Draft and Package,856 River Street,Paterson,Passaic,Passaic,Passaic,1,18085.55
Pablo Lopez,25046,Jay Aldo's (Z) Bar & Pizz,On Premise,3) Package Only,40 Highland Ave,Clifton,Passaic,Passaic,Passaic,1,18083.80
Anthony Palmisano,190902,Betsy Ross Diner,On Premise,2) Draft and Package,5708 Berkshire Valley Rd,Oak Ridge,Morris,Morris 1,Morris 1,1,16019.05
Javier Melo,24051,La Bonita,On Premise,2) Draft and Package,394 Lexington Ave.,Clifton,Passaic,Sales,Sales,1,13864.39
Nick Melissari,78017,El Asadero Mexican Grill (Rochelle Park),On Premise,2) Draft and Package,375 W. Passaic St.,Rochelle Park,Bergen,Bergen,Bergen,1,13741.15
Dan Lagala,43029,El Tio Taco Ii,On Premise,3) Package Only,332 Bergen Blvd,Fairview,Bergen,Bergen,Bergen,1,12524.32
Javier Melo,20061,Seguidilla 56 Lounge & Liquors,On Premise,3) Package Only,227 Park Ave,Paterson,Passaic,Passaic,Passaic,1,11122.00
Pablo Lopez,22021,Super Korona (Z) Bar,On Premise,3) Package Only,991 Madison Ave,Paterson,Passaic,Passaic,Passaic,1,10049.30
Pablo Lopez,21014,Ranchito Mi Peru,On Premise,3) Package Only,487 21st Ave,Paterson,Passaic,Passaic,Passaic,1,8664.94
Anthony Palmisano,2004,Sam's Bar and Grill,On Premise,2) Draft and Package,15 Greenwood Lake Turnpik,Ringwood,Passaic,Passaic-FF,Passaic-FF,1,8571.86
Paul Mclaughlin,50029,La Tequilera Restaurant,On Premise,2) Draft and Package,293 Queen Anne Rd,Teaneck,Bergen,Bergen,Bergen,1,8388.62
Allison Scott,10007,Bardis (P),On Premise,2) Draft and Package,149 Newark Pompton Tpke,Pequannock,Morris,Morris 3,Morris 3,1,8046.82
Nick Melissari,49022,El asadero Mexican Grill (Fort Lee),On Premise,2) Draft and Package,2052 Hudson St,Fort Lee,Bergen,Bergen,Bergen,1,7915.68
Javier Melo,25053,Lamayoria Bar Restaurant,On Premise,3) Package Only,110 Ackerman Ave,Clifton,Passaic,Sales,Sales,1,7526.96
Chris Politano,31037,Delaware North Met Life Stadium,On Premise,2) Draft and Package,102 Route 120,East Rutherford,Bergen,Bergen,Bergen,1,6910.00
Javier Melo,20055,Paruta's (A),On Premise,2) Draft and Package,89 Market St,Paterson,Passaic,Passaic,Passaic,1,6744.50
Paul Mclaughlin,56011,International Bar/Rest,On Premise,3) Package Only,96 S Washington Ave,Bergenfield,Bergen,Bergen,Bergen,1,6534.52
Brian Sengebush,190914,Colossal Restaurant,On Premise,2) Draft and Package,392 N Main St,Wharton,Morris,Morris 1,Morris 1,1,6459.07
Anthony Palmisano,231307,Skylands Wine& Beer Garden,On Premise,2) Draft and Package,447 Rt 284,Wantage,Sussex,Sussex,Sussex,1,5959.24
Phil Ernst,76021,Saddle Brook Liquor & Bar,On Premise,2) Draft and Package,383 Market St,Saddle Brook,Bergen,Bergen,Bergen,1,5625.00
Javier Melo,27009,La Rancherita,On Premise,3) Package Only,22 Jackson St,Passaic,Passaic,Passaic,Passaic,1,5302.98
Derrick Laws,20058,Krystal Bar(P) & Liqs.,On Premise,3) Package Only,123 Highland St,Paterson,Passaic,Passaic,Passaic,1,5165.00
Allison Scott,14006,46 Lounge (P),On Premise,3) Package Only,300 Us-46,Totowa,Passaic,Passaic,Passaic,1,5098.80
Javier Melo,26003,La Casona Cafe Restaurant Bar,On Premise,2) Draft and Package,829 Main Ave,Passaic,Passaic,Passaic,Passaic,1,4297.00
Allison Scott,3002,The Celtic Knot,On Premise,2) Draft and Package,72 Haskell Ave,Haskell,Passaic,Passaic-FF,Passaic-FF,1,4098.09
Nick Melissari,49063,COV,On Premise,2) Draft and Package,115 River Rd,Edgewater,Bergen,Bergen,Bergen,1,3880.56
Javier Melo,27144,La Fortaleza (Passaic),On Premise,3) Package Only,32 Market St,Passaic,Passaic,Passaic,Passaic,1,3841.00
Nick Melissari,42003,Whiskey Roads,On Premise,2) Draft and Package,152 Washington Ave,Little Ferry,Bergen,Bergen,Bergen,1,3740.60
Matt Powierski,36031,Ayla Restaurant & Bar,On Premise,2) Draft and Package,209 Paterson Ave,Wallington,Bergen,Bergen,Bergen,1,3719.69
Javier Melo,27001,Fiesta Night Club(P),On Premise,3) Package Only,115 President St,Passaic,Passaic,Passaic,Passaic,1,3713.00
Javier Melo,27094,El Anochecer,On Premise,3) Package Only,154 Passaic St,Passaic,Passaic,Passaic,Passaic,1,3582.00
Dan Lagala,44012,690 Park,On Premise,2) Draft and Package,690 Anderson Avenue,Cliffside Park,Bergen,Bergen,Bergen,1,3493.00
Robin Feldman,42009,Nikki's Bar & Grill,On Premise,2) Draft and Package,213 Washington Ave,Little Ferry,Bergen,Bergen,Bergen,1,3413.68
Pablo Lopez,21022,Costa Marina Lounge(A),On Premise,3) Package Only,182 Market St.,Paterson,Passaic,Passaic,Passaic,1,3257.50
Paul Mclaughlin,52046,Bergen Performing Arts,On Premise,2) Draft and Package,30 N Van Brunt St,Englewood,Bergen,Bergen,Bergen,1,3252.55
Paul Mclaughlin,41002,Mi Tierrita (P),On Premise,3) Package Only,252 Main St,Hackensack,Bergen,Bergen,Bergen,1,3245.40
Javier Melo,27106,La Posada,On Premise,3) Package Only,334 Monroe St.,Passaic,Passaic,Sales,Sales,1,3231.11
Derrick Laws,20131,El Fogon Rest,On Premise,3) Package Only,475 Union Avenue,Paterson,Passaic,Passaic,Passaic,1,3231.00
Allison Scott,25056,Emerald Corner (Z),On Premise,2) Draft and Package,12 Oak St,Clifton,Passaic,Passaic,Passaic,1,3096.96
Pablo Lopez,22044,Los Cristales (Z),On Premise,3) Package Only,409 21st Ave,Paterson,Passaic,Passaic,Passaic,1,3058.00
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,On Premise,2) Draft and Package,123 Crystal Springs Rd,Hamburg,Sussex,Sussex,Sussex,1,3013.00
Pablo Lopez,20046,Circle Cafe (A),On Premise,3) Package Only,144 Washington St,Paterson,Passaic,Passaic,Passaic,1,2980.00
Derrick Laws,20089,Carlitto's Bar(P),On Premise,3) Package Only,402 Main Street,Paterson,Passaic,Passaic,Passaic,1,2766.15
Robin Feldman,15081,Evolution Restaurant & Bar,On Premise,2) Draft and Package,279 W Browertown Rd,Woodland Park,Passaic,Passaic,Passaic,1,2753.70
Nick Melissari,80061,The Green Lounge,On Premise,2) Draft and Package,314 Paramus Rd,Paramus,Bergen,Bergen,Bergen,1,2674.25
Pablo Lopez,25040,Palenque Bar & Grill(A),On Premise,3) Package Only,283 Parker Ave,Clifton,Passaic,Passaic,Passaic,1,2624.15
Nick Melissari,29019,Mickey's Bar & Grill (Z),On Premise,2) Draft and Package,601 Riverside Plaza,Lyndhurst,Bergen,Bergen,Bergen,1,2608.30
Javier Melo,27095,Club Sq (A),On Premise,3) Package Only,40 3rd St,Passaic,Passaic,Passaic,Passaic,1,2577.00
Pablo Lopez,20090,D'classico (P),On Premise,3) Package Only,58 Ellison St,Paterson,Passaic,Passaic,Passaic,1,2308.10
Derrick Laws,15069,Mexico Bar & Grill,On Premise,3) Package Only,246 Mcbride Ave,Paterson,Passaic,Passaic,Passaic,1,2241.60
Derrick Laws,20125,El Escondite Bar and Restaurant,On Premise,2) Draft and Package,243 21st Ave,Paterson,Passaic,Sales,Sales,1,2213.00
Mike Ast,83005,Glen Rock Inn,On Premise,2) Draft and Package,222 Rock Rd,Glen Rock,Bergen,Bergen,Bergen,1,2210.00
Allison Scott,12013,Jalapenos Mexican Grill,On Premise,3) Package Only,142 Ryerson Ave.,Wayne,Passaic,Passaic,Passaic,1,2205.20
Derrick Laws,20028,Integrity Masonic,On Premise,3) Package Only,224 Broadway,Paterson,Passaic,Passaic,Passaic,1,2124.50
Allison Scott,22016,Johnny A's (P) Hitchn Pos,On Premise,2) Draft and Package,95 Barclay Street,Paterson,Passaic,Passaic,Passaic,1,2029.00
Pablo Lopez,27070,Saritas Mexican Rest(A),On Premise,3) Package Only,82 President Street,Passaic,Passaic,Passaic,Passaic,1,2000.00
Brian Sengebush,190214,Johnnie's Tavern,On Premise,2) Draft and Package,301 Boonton Ave,Boonton,Morris,Morris 1,Morris 1,1,1997.17
Nick Melissari,80018,Millers Paramus Ale House,On Premise,2) Draft and Package,270 Rt. 4 East,Paramus,Bergen,Bergen,Bergen,1,1895.00
Dan Lagala,44017,Frankie's Gastro,On Premise,2) Draft and Package,651 Anderson Ave,Cliffside Park,Bergen,Bergen,Bergen,1,1878.00
Nick Melissari,31027,New Park Tav (A),On Premise,2) Draft and Package,250 Park Ave,East Rutherford,Bergen,Bergen,Bergen,1,1827.00
Paul Mclaughlin,41006,Straphanger Saloon (A),On Premise,2) Draft and Package,126 Anderson St,Hackensack,Bergen,Bergen,Bergen,1,1774.32
Paul Mclaughlin,41029,Riviera Lounge (P),On Premise,3) Package Only,310 Main St,Hackensack,Bergen,Bergen,Bergen,1,1744.00
Pablo Lopez,15018,Diana's Bar (Z),On Premise,3) Package Only,235 Grand St,Paterson,Passaic,Passaic,Passaic,1,1716.00
Javier Melo,22065,Mambo Lounge (P),On Premise,3) Package Only,62-64 Dover St,Paterson,Passaic,Passaic,Passaic,1,1716.00
Allison Scott,24029,Dingo's Den (P),On Premise,2) Draft and Package,615 Van Houten Ave,Clifton,Passaic,Passaic,Passaic,1,1679.17
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,2) Draft and Package,6 Wanaque Ave,Pompton Lakes,Passaic,Passaic-FF,Passaic-FF,1,1656.17
Allison Scott,14003,Murph's Bar & Liquor,On Premise,2) Draft and Package,375 Union Blvd,Totowa,Passaic,Passaic,Passaic,1,1644.00
Paul Mclaughlin,57009,Pancho Burrito's (A),On Premise,2) Draft and Package,214 Main St,New Milford,Bergen,Bergen,Bergen,1,1629.93
Javier Melo,26020,El Alamo Bar,On Premise,2) Draft and Package,90 Lexington Ave,Passaic,Passaic,Sales,Sales,1,1606.00
Allison Scott,24026,Rock Bar,On Premise,2) Draft and Package,414 Main Ave,Clifton,Passaic,Passaic,Passaic,1,1605.00
Pablo Lopez,20130,412 Lounge & Latin Bar,On Premise,2) Draft and Package,410-412 Main St,Paterson,Passaic,Sales,Sales,1,1519.00
Javier Melo,20104,Roses Bar & Liquors,On Premise,2) Draft and Package,102 Market Street,Paterson,Passaic,Passaic,Passaic,1,1501.00
Anthony Palmisano,230917,Doc's Place (P),On Premise,2) Draft and Package,100 NJ-23,Hamburg,Sussex,Sussex,Sussex,1,1495.80
Derrick Laws,21012,Elks Ldge 333 (Z) Pater.,On Premise,3) Package Only,272 Ellison St,Paterson,Passaic,Passaic,Passaic,1,1489.40
Brian Sengebush,191007,Charley's Tavern,On Premise,2) Draft and Package,57 NJ-181,Lake Hopatcong,Morris,Morris 1,Morris 1,1,1485.17
Anthony Palmisano,1023,The New Jessies Kettle(P),On Premise,2) Draft and Package,1555 Greenwood Lk Tpke,Hewitt,Passaic,Passaic-FF,Passaic-FF,1,1462.00
Paul Mclaughlin,73001,Lou's,On Premise,2) Draft and Package,74 Broadway,Hillsdale,Bergen,Bergen,Bergen,1,1453.50
Anthony Palmisano,1214,Whiskey Wolf Tavern (P),On Premise,3) Package Only,399 Lake Shore Dr,Hewitt,Passaic,Passaic-FF,Passaic-FF,1,1453.00
Paul Mclaughlin,60012,Grant Street Cafe (A),On Premise,2) Draft and Package,25 Grant Ave.,Dumont,Bergen,Bergen,Bergen,1,1435.00
Javier Melo,32011,La Fortaleza (Carlstadt),On Premise,3) Package Only,335 PATERSON PLANK ROAD,Carlstadt,Bergen,Sales,Sales,1,1429.00
Pablo Lopez,27050,Grand Rodeo Night Club(Z),On Premise,3) Package Only,182 Third St,Passaic,Passaic,Passaic,Passaic,1,1394.00
Brian Sengebush,191009,Mason Street Grille,On Premise,2) Draft and Package,24 Mason St,Lake Hopatcong,Morris,Morris 1,Morris 1,1,1366.17
Anthony Palmisano,1035,Old School Pub P),On Premise,2) Draft and Package,551 Warwick Tpke,Hewitt,Passaic,Passaic-FF,Passaic-FF,1,1365.00
Nick Melissari,94006,Harvest and Ale,On Premise,2) Draft and Package,588 Ramapo Valley Rd,Oakland,Bergen,Sales,Sales,1,1353.50
Paul Mclaughlin,73002,The Cornerstone (P),On Premise,2) Draft and Package,84 Broadway,Hillsdale,Bergen,Bergen,Bergen,1,1318.67
Office Tell Sell,15053,Wrights Tavern(Z),On Premise,3) Package Only,80 Montgomery St,Paterson,Passaic,Passaic,Passaic,1,1310.00
Allison Scott,19004,Shortways' Barn (A),On Premise,2) Draft and Package,991 Goffle Road,Hawthorne,Passaic,Passaic,Passaic,1,1308.00
Pablo Lopez,39004,Noches De Colombia (S. Hackensack)),On Premise,3) Package Only,370 Rt 46 West,South Hackensac,Bergen,Bergen,Bergen,1,1302.00
Anthony Palmisano,231209,Mt Creek Hex Lg(North) A,On Premise,2) Draft and Package,200 Rt 94,Vernon,Sussex,Sussex,Sussex,1,1289.00
