Sales Rep Assigned,Product Num Name,Customer Num & Company,On-Off Premise,Load Sheet Date,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Placement Count Percentage Total
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,9/4/2026,,1.00,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,"12065 Buffalo Wild Wings - Wayne, NJ",On Premise,9/4/2026,,1.00,
Allison Scott,1160 Fever Tree Tonic Water 6/4/200 mL Btl,"12065 Buffalo Wild Wings - Wayne, NJ",On Premise,9/4/2026,,1.00,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,"12065 Buffalo Wild Wings - Wayne, NJ",On Premise,9/4/2026,,1.00,
Allison Scott,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,12048 Anthonys CF Pizza (Wayne),On Premise,9/4/2026,,1.00,
Robin Feldman,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,76004 Marriot Hotel(A)Saddle Bk,On Premise,9/4/2026,,1.00,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24026 Rock Bar,On Premise,9/3/2026,,1.00,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,9/3/2026,,1.00,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,9/3/2026,,1.00,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,9/3/2026,,1.00,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,9/3/2026,,1.00,
Brian Sengebush,1162 Fever Tree Tonic Water 3/8/150 mL Can,190108 Harrigan's Rest. (P),On Premise,9/3/2026,,1.00,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,9/3/2026,,1.00,
Brian Sengebush,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,190724 PF Changs,On Premise,9/3/2026,,1.00,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,9/3/2026,,1.00,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,79010 Ruth's Chris Steakhouse (Maywood),On Premise,9/2/2026,,1.00,
Anthony Palmisano,1154 Fever Tree Ginger Beer 8/500 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,9/2/2026,,1.00,
Brian Sengebush,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,191509 The Beacon,On Premise,9/2/2026,,1.00,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,9/2/2026,,1.00,
Paul Mclaughlin,1154 Fever Tree Ginger Beer 8/500 mL Btl,85001 Eleven Central,On Premise,9/2/2026,,1.00,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,9/2/2026,,1.00,
Paul Mclaughlin,1170 Fever Tree Ginger Ale 3/8/150 mL Can,50001 Andy's Corner (Z),On Premise,9/2/2026,,1.00,
Pablo Lopez,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52005 Noches De Colombia(Englewood)),On Premise,9/2/2026,,1.00,
Pablo Lopez,1160 Fever Tree Tonic Water 6/4/200 mL Btl,52005 Noches De Colombia(Englewood)),On Premise,9/2/2026,,1.00,
Paul Mclaughlin,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,60002 QB's Bar and Grill,On Premise,9/2/2026,,1.00,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,9/2/2026,,1.00,
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,1007 The Greenwood Tavern,On Premise,9/2/2026,,1.00,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,9/1/2026,,1.00,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,9/1/2026,,1.00,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,9/1/2026,,1.00,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,9/1/2026,,1.00,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,9/1/2026,,1.00,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,8/28/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,92003 Bar Boutique,On Premise,8/28/2026,1.00,,
Nick Melissari,1158 Fever Tree Club Soda 8/500 mL Btl,92003 Bar Boutique,On Premise,8/28/2026,1.00,,
Nick Melissari,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,92002 Anthony's CF Pizza (A) (Ramsey),On Premise,8/28/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,8/28/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/27/2026,1.00,,
Robin Feldman,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,93018 Courtyard Mahwah,On Premise,8/27/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/27/2026,1.00,,
Nick Melissari,1154 Fever Tree Ginger Beer 8/500 mL Btl,80031 Grand Lux Cafe (A),On Premise,8/27/2026,1.00,,
Nick Melissari,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,8/27/2026,1.00,,
