Sales Rep Assigned,Brand Family,Package,Customer Num & Company,Date,Buyer Count   6/1/2026 - 8/31/2026,Buyer Count   9/1/2026 - 9/30/2026,Units   6/1/2026 - 8/31/2026,Units   9/1/2026 - 9/30/2026
Allison Scott,Dos Equis,15.5 Gal Keg,24031 Tommy's Tavern & Tap (Clifton),8/25/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,14002 Applebee's (Totowa) (A),8/13/2026,1.00,,-1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,"12034 Dave & Buster's Nj, Inc",8/3/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,"12065 Buffalo Wild Wings - Wayne, NJ",6/1/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,6/18/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,8/3/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,24022 Applebee's Clifton,6/4/2026,1.00,,2.00,
Allison Scott,Dos Equis,15.5 Gal Keg,24031 Tommy's Tavern & Tap (Clifton),9/1/2026,,1.00,,0.00
Allison Scott,Dos Equis,15.5 Gal Keg,14002 Applebee's (Totowa) (A),6/1/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,"12034 Dave & Buster's Nj, Inc",6/18/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,24031 Tommy's Tavern & Tap (Clifton),6/2/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,12057 YARD HOUSE 8384,8/3/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,7/9/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,12057 YARD HOUSE 8384,7/28/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,"12034 Dave & Buster's Nj, Inc",7/1/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,"12034 Dave & Buster's Nj, Inc",7/23/2026,1.00,,1.00,
Allison Scott,Dos Equis,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,6/1/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,14002 Applebee's (Totowa) (A),9/1/2026,,1.00,,0.00
Allison Scott,Dos Equis,15.5 Gal Keg,12057 YARD HOUSE 8384,9/1/2026,,1.00,,1.00
Allison Scott,Dos Equis,15.5 Gal Keg,24031 Tommy's Tavern & Tap (Clifton),7/1/2026,1.00,,0.00,
Allison Scott,Dos Equis,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,7/1/2026,1.00,,0.00,
Mike Ast,Dos Equis,20 L Keg,83009 Jalapeno Mex. Grille(A),6/1/2026,1.00,,0.00,
Mike Ast,Dos Equis,20 L Keg,83009 Jalapeno Mex. Grille(A),6/2/2026,1.00,,1.00,
Mike Ast,Dos Equis,20 L Keg,83009 Jalapeno Mex. Grille(A),7/1/2026,1.00,,0.00,
Mike Ast,Dos Equis,15.5 Gal Keg,83009 Jalapeno Mex. Grille(A),7/8/2026,1.00,,1.00,
Mike Ast,Dos Equis,20 L Keg,83009 Jalapeno Mex. Grille(A),6/16/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31043 House of Que (East Rutherford),7/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31039 Yard House 8390,7/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),7/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,80018 Millers Paramus Ale House,6/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,80018 Millers Paramus Ale House,8/4/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),8/7/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49085 Tommy's Tavern + Tap (Edgewater),6/2/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,36014 Viva Margarita Wallington,7/7/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49022 El asadero Mexican Grill (Fort Lee),8/21/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,39017 Bj's Rest & Brewhouse(A),7/8/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,80018 Millers Paramus Ale House,6/22/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31039 Yard House 8390,8/3/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49085 Tommy's Tavern + Tap (Edgewater),7/14/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,36014 Viva Margarita Wallington,6/9/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,36014 Viva Margarita Wallington,8/3/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),6/11/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49085 Tommy's Tavern + Tap (Edgewater),8/3/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49022 El asadero Mexican Grill (Fort Lee),6/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,49022 El asadero Mexican Grill (Fort Lee),6/5/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,80018 Millers Paramus Ale House,7/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,36014 Viva Margarita Wallington,7/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,80018 Millers Paramus Ale House,7/7/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31039 Yard House 8390,6/30/2026,1.00,,2.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),8/14/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31043 House of Que (East Rutherford),6/11/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31023 Applebee's Garfield (A),6/1/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,39017 Bj's Rest & Brewhouse(A),8/3/2026,1.00,,0.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),7/31/2026,1.00,,1.00,
Nick Melissari,Dos Equis,15.5 Gal Keg,31039 Yard House 8390,6/23/2026,1.00,,1.00,
