Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Nick Melissari,Peroni,49060,Franco's Metro Rest (P),8/28/2026,,1.00,,4.00
Allison Scott,Peroni,13003,Maggie's Town Tav.(P),8/28/2026,,1.00,,1.00
Anthony Palmisano,Coors,1007,The Greenwood Tavern,8/28/2026,,1.00,,3.00
Mike Ast,Peroni,95001,Pazza,8/28/2026,,2.00,,4.00
Chris Payton,Peroni,81018,B R C Catering (P),8/28/2026,,1.00,,4.00
Derrick Laws,Coors,20058,Krystal Bar(P) & Liqs.,8/28/2026,,1.00,,10.00
Derrick Laws,Peroni,15008,Westmount Country Club,8/28/2026,,1.00,,2.00
Paul Mclaughlin,Coors,71005,Park Steakhouse,8/28/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,67002,Brady's Fox Hunt Inn,8/28/2026,,1.00,,1.00
Brian Sengebush,Coors,190723,Muldoon's Steak & Pub,8/28/2026,,1.00,,1.00
Allison Scott,Peroni,12037,Maggies Town Tavern Ii,8/28/2026,,2.00,,2.00
Paul Mclaughlin,Peroni,54001,Tenafly Pizza (Z),8/28/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,62008,Bareburger (Closter),8/28/2026,,1.00,,1.00
Robin Feldman,Coors,231314,Elks Lodge 2288,8/28/2026,,1.00,,6.00
Brian Sengebush,Peroni,190102,Lake Valhalla Club (P),8/28/2026,,1.00,,1.00
Robin Feldman,Peroni,9001,Pompton Queen (P),8/28/2026,,1.00,,4.00
Allison Scott,Peroni,15006,Great Notch Inn(Z),8/28/2026,,1.00,,5.00
Allison Scott,Peroni,22016,Johnny A's (P) Hitchn Pos,8/28/2026,,1.00,,2.00
Allison Scott,Peroni,12048,Anthonys CF Pizza (Wayne),8/28/2026,,1.00,,1.00
Matt Powierski,Peroni,37001,Good Fella's (Z) Rest.,8/28/2026,,1.00,,1.00
Allison Scott,Coors,15006,Great Notch Inn(Z),8/28/2026,,1.00,,5.00
Robin Feldman,Peroni,12006,Novelli (P),8/28/2026,,1.00,,1.00
Nick Melissari,Peroni,31013,Elia Restaurant,8/28/2026,,1.00,,2.00
Nick Melissari,Coors,19006,Blackjack Mulligans (Hawthorne),8/28/2026,,1.00,,1.00
Nick Melissari,Peroni,37063,Jojo's Bar & Grill,8/28/2026,,1.00,,1.00
Nick Melissari,Peroni,92002,Anthony's CF Pizza (A) (Ramsey),8/28/2026,,2.00,,3.00
Nick Melissari,Peroni,49064,Bareburger (Edgewater),8/28/2026,,1.00,,2.00
Allison Scott,Coors,5008,Celtic Crossings,8/28/2026,,1.00,,3.00
Chris Payton,Peroni,80028,El Cid,8/28/2026,,1.00,,1.00
Anthony Palmisano,Peroni,1002,Country Cottage Rest (P),8/28/2026,,1.00,,1.00
Robin Feldman,Coors,190710,Hilton Garden Inn Rockaway,8/28/2026,,1.00,,1.00
Robin Feldman,Peroni,231314,Elks Lodge 2288,8/28/2026,,1.00,,1.00
Robin Feldman,Peroni,93018,Courtyard Mahwah,8/27/2026,,1.00,,1.00
Nick Melissari,Peroni,30031,Paisano's,8/27/2026,,1.00,,3.00
Allison Scott,Peroni,15067,Naxos Estiatorio,8/27/2026,,1.00,,1.00
Anthony Palmisano,Coors,1023,The New Jessies Kettle(P),8/27/2026,,1.00,,3.00
Mike Ast,Peroni,84009,Mac Murphy,8/27/2026,,1.00,,2.00
Brian Sengebush,Coors,231713,Flatbrook Tap House (P),8/27/2026,,1.00,,1.00
Allison Scott,Peroni,12008,North Jersey C C,8/27/2026,,1.00,,2.00
Brian Sengebush,Coors,191611,Golden Nugget@Wild W City,8/27/2026,,1.00,,2.00
Nick Melissari,Coors,32005,Biggies (A),8/27/2026,,1.00,,2.00
Robin Feldman,Peroni,190607,Rockaway River Cc(P),8/27/2026,,1.00,,3.00
Nick Melissari,Peroni,32005,Biggies (A),8/27/2026,,1.00,,1.00
Allison Scott,Coors,15004,Blackjack Mulligan's Public House,8/27/2026,,1.00,,1.00
Matt Powierski,Peroni,42014,Segovia Steak House(A),8/27/2026,,1.00,,2.00
Mike Ast,Peroni,84011,The Madison Rose,8/27/2026,,2.00,,7.00
Robin Feldman,Peroni,11004,Arca,8/27/2026,,1.00,,2.00
Anthony Palmisano,Peroni,230925,Springs Bistro Biosphere,8/26/2026,,1.00,,1.00
Nick Melissari,Coors,80007,The Orange Lantern,8/26/2026,,1.00,,2.00
Anthony Palmisano,Peroni,230929,Airport Pub & Pkg,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,57004,River & Henley,8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,80063,Eddie V's,8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,231211,Tony's Pizza (P),8/26/2026,,1.00,,1.00
Brian Sengebush,Peroni,230120,Village Saloon (P),8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,41020,Lidos Restaurant (P),8/26/2026,,1.00,,1.00
Allison Scott,Coors,23013,Vfw 7165 (P),8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,52018,Aumm Aumm @The Brownstone,8/26/2026,,1.00,,1.00
Allison Scott,Coors,8006,pompton crafthouse,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,59001,ORA,8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,88003,W's Village Grille,8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,31048,Song'E Napule,8/26/2026,,1.00,,10.00
Anthony Palmisano,Coors,230925,Springs Bistro Biosphere,8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,231803,High Point Gc/Rest (P),8/26/2026,,1.00,,1.00
Allison Scott,Peroni,19012,Bottagra Rest (P),8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,71001,Peppercorn's,8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,89001,Savini Rest (A),8/26/2026,,1.00,,5.00
Dan Lagala,Peroni,44025,Rudys (A),8/26/2026,,1.00,,2.00
Chris Payton,Peroni,45005,Colonial Bar,8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,230119,Smokey's Brick Oven Tav.,8/26/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,61003,White Beeches Golf Club,8/26/2026,,2.00,,2.00
Brian Sengebush,Coors,230405,Sheridan Lodge (P),8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,231210,Bally Owen Golf Club,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,69009,Rivervale Country Club,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,59005,Hackensack Golf (A),8/26/2026,,2.00,,2.00
Robin Feldman,Peroni,37055,82 OAK BAR & BISTRO,8/26/2026,,1.00,,3.00
Anthony Palmisano,Coors,1214,Whiskey Wolf Tavern (P),8/26/2026,,1.00,,3.00
Paul Mclaughlin,Peroni,67014,The Rockleigh C C (P),8/26/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,81024,Anthony's Coal Fired Pizza (Fair Lawn),8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,77003,Blue 42 Restaurant & Bar,8/26/2026,,1.00,,2.00
Allison Scott,Peroni,11011,Sunset Pub & Grill(Z),8/25/2026,,1.00,,1.00
Anthony Palmisano,Coors,1035,Old School Pub P),8/25/2026,,1.00,,3.00
Allison Scott,Peroni,24031,Tommy's Tavern & Tap (Clifton),8/25/2026,,2.00,,4.00
Paul Mclaughlin,Peroni,39010,Players Club (Z),8/25/2026,,2.00,,2.00
Allison Scott,Peroni,24026,Rock Bar,8/25/2026,,1.00,,1.00
Dave Ehlers,Peroni,52013,Lulu Lounge,8/25/2026,,1.00,,4.00
Robin Feldman,Coors,231708,American Lgn Branchville,8/25/2026,,1.00,,2.00
Derrick Laws,Peroni,20038,Patsy's (A) Tavern,8/25/2026,,1.00,,1.00
Paul Mclaughlin,Coors,40005,Lazy Lanigans (A),8/25/2026,,1.00,,1.00
