Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
Alex Rodriguez,260004,Drinks 2 Go Liquors,890 Amboy Ave,Middlesex County,Middlesex,Perth Amboy,Middlesex County,Off Premise,1,25.00
Alex Rodriguez,260006,Ali's Liquors,296 Smith St,Middlesex County,Middlesex,Perth Amboy,Middlesex County,Off Premise,1,75.00
Alex Rodriguez,260003,US1 Discount Liquor,585 Fayette St,Middlesex County,Middlesex,Perth Amboy,Middlesex County,Off Premise,1,60.00
Alex Rodriguez,260002,Colonial Liquor Store,352-354 State St,Middlesex County,Middlesex,Perth Amboy,Middlesex County,On Premise,1,10.00
Alex Rodriguez,260007,Path Discount Liquors,127 New Brunswick Ave.,Middlesex County,Middlesex,Hopelawn,Middlesex County,Off Premise,1,50.00
Alex Rodriguez,260005,Bay City Liquors,475 Smith St,Middlesex County,Middlesex,Perth Amboy,Middlesex County,Off Premise,1,140.00
Alex Rodriguez,260008,Outerbridge Liquors,306 US-9,Middlesex County,Middlesex,Woodbridge,Middlesex County,Off Premise,1,25.00
John Neukum,180020,Costco Of Edison,2210 Rt 27 North,Middlesex not in use,Middlesex,Edison,Middlesex not in use,Off Premise,1,300.00
John O'Donoghue,190326,Cambridge Wines (191 Morristown),191 E Hanover Ave,Morris 2,Morris,Morristown,Morris 2,Off Premise,1,73.00
John O'Donoghue,190650,Shop Rite Wines & Spirits of Roxbury#832,281-8 NJ-10,Morris 2,Morris,Succasunna,Morris 2,Off Premise,1,1057.00
John O'Donoghue,190504,El Dorado Wine House,340 Us-46,Morris 2,Morris,Mountain Lakes,Morris 2,Off Premise,1,129.00
John O'Donoghue,190017,Wine & Whiskey Country Morris Plains,16 Burnham Rd,Morris 2,Morris,Morris Plains,Morris 2,Off Premise,1,322.00
John O'Donoghue,190022,Bottle Republic (Randolph),140 NJ-10W STE 6,Morris 2,Morris,Randolph,Morris 2,Off Premise,1,178.00
John O'Donoghue,190001,Gary's Wine & Marketplace (Madison),121 Main Street,Morris 2,Morris,Madison,Morris 2,Off Premise,1,1021.00
John O'Donoghue,190040,Four Seasons Wine & Liq,131 Morris St,Morris 2,Morris,Morristown,Morris 2,Off Premise,1,193.00
John O'Donoghue,190024,Jt Mcq's Sports Bar (P),540 NJ-10,Morris 2,Morris,Randolph,Morris 2,On Premise,1,51.00
John O'Donoghue,192052,Swim And Sports Club,272 Emmans Rd,Morris 2,Morris,Flanders,Morris 2,On Premise,1,9.00
John O'Donoghue,190797,Basket Of Cheer (Dover),331 Us Hwy 46,Morris 2,Morris,Dover,Morris 2,Off Premise,1,312.00
John O'Donoghue,191826,Bottle King (Z) Chatham,41 Watchung Avenue,Morris 2,Morris,Chatham,Morris 2,Off Premise,1,826.00
John O'Donoghue,192081,Madison Wine Cellar,29 Main St,Morris 2,Morris,Madison,Morris 2,Off Premise,1,20.00
John O'Donoghue,190300,Gillette Liquor,399 Valley Rd,Morris 2,Morris,Gillette,Morris 2,Off Premise,1,115.00
John O'Donoghue,190228,Midtown Wine Merchant(A),168 Speedwell Ave,Morris 2,Morris,Morristown,Morris 2,Off Premise,1,133.00
John O'Donoghue,192161,Pancho Villa Rodeo,142 E Blackwell St,Morris 2,Morris,Dover,Morris 2,On Premise,1,128.00
