Sales Rep Name,Customer ID,Customer Name,Premise,Product Name,Date,New Buyers
Brian Sengebush,191007,Charley's Tavern,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,7/21/2026,1
Brian Sengebush,191505,Mckenna's Pub (P),On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,7/22/2026,1
Paul Mclaughlin,52012,CZEN Restaurant,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,7/17/2026,1
Paul Mclaughlin,63002,Alpine C.C. (Z),On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,7/23/2026,1
Paul Mclaughlin,65007,86 and Vine,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,7/13/2026,1
Allison Scott,12031,Double Ai Asian Bistro,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,5/29/2026,0
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,6/22/2026,0
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,6/25/2026,0
Dylan Rubino,178104,Asian Grill & Sushi,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,4/10/2026,0
Michael Harboy,150501,Nikko Hibachi Steakhouse,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,4/22/2026,0
Nick Melissari,49015,PYEONGANDONG,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,4/22/2026,0
Nick Melissari,49015,PYEONGANDONG,On Premise,Sapporo Premium Non-Alcoholic 4/6/12 oz Can,6/12/2026,0
