Sales Rep Assigned,Product Name,Product Num,Brand Family,Customer Num,Customer Name,Date,Placement Count   8/1/2026 - 8/31/2026,Cases   8/1/2026 - 8/31/2026
Allison Scott,YaVe Tequila Mango 1/6/750 mL Btl,200381,YaVe Tequila,8004,The Side Door (P),8/20/2026,1.00,0.17
Allison Scott,YaVe Tequila Mango 1/6/750 mL Btl,200381,YaVe Tequila,12032,Casa Don Manuel,8/19/2026,1.00,0.17
Allison Scott,YaVe Tequila Reposado 1/6/750 mL Btl,200383,YaVe Tequila,12032,Casa Don Manuel,8/19/2026,1.00,1.00
Allison Scott,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,15006,Great Notch Inn(Z),8/7/2026,1.00,0.17
Allison Scott,YaVe Tequila Blanco 1/6/750 mL Btl,200384,YaVe Tequila,12032,Casa Don Manuel,8/19/2026,1.00,0.33
Allison Scott,YaVe Tequila Jalapeno 1/6/750 mL Btl,200382,YaVe Tequila,12032,Casa Don Manuel,8/19/2026,1.00,0.17
Allison Scott,YaVe Tequila Coconut 1/6/750 mL Btl,200385,YaVe Tequila,8004,The Side Door (P),8/20/2026,1.00,0.17
Paul Mclaughlin,YaVe Tequila Jalapeno 1/6/750 mL Btl,200382,YaVe Tequila,73001,Lou's,8/7/2026,1.00,0.00
Paul Mclaughlin,YaVe Tequila Coconut 1/6/750 mL Btl,200385,YaVe Tequila,73001,Lou's,8/5/2026,1.00,0.17
Robin Feldman,Leyenda 1925 Anejo Tequila 1/750 ML Btl,200216,Leyenda 1925,93018,Courtyard Mahwah,8/7/2026,1.00,0.17
Robin Feldman,Leyenda 1925 Blanco Tequila 1/750 ML Btl,200217,Leyenda 1925,34016,Vfw Hasbrouck (A),8/6/2026,1.00,0.17
Robin Feldman,YaVe Tequila Jalapeno 1/6/750 mL Btl,200382,YaVe Tequila,12023,The Village Inn,8/19/2026,1.00,0.17
Robin Feldman,YaVe Tequila Blanco 1/6/750 mL Btl,200384,YaVe Tequila,34016,Vfw Hasbrouck (A),8/6/2026,1.00,0.17
