Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner
18192,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18191,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18190,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18189,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18188,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18187,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18186,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18185,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18184,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18183,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18182,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18181,,*SH* Modelo Football Recliner Chair,*SH* Modelo Football Recliner Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18180,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18179,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18178,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18177,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18176,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18175,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18174,,Corona Metal Cooler - DEALER LOADER,Corona Metal Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
