Asset Type,Purchased Date,Sold Date,Customer Name,Num Of Placed Assets
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Blackjack Mulligans(P) (Garfield),2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Fiesta (A),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Hearth & Tap Co.,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Sunny's Liqs.(P),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Thatcher Mc Ghees (A),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Black Rabbit Saloon LLC,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Sonoma Bistro,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Blarney Station,3
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Thatcher Mcghee's (A),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Wine Country Newton,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Dream Bar,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,The Orange Lantern,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Marty Gra's (A),2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Gerry's Place,2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Victor's Maywood Inn,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Dino's Bar & Grill,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,US#1 Wine & Liquor,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Sheridan Lodge (P),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Brick & Brew,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Adams (P),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Hilltop Tav.(Z),2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Doc Watsons NJ,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,W's Village Grille,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Great Notch Inn(Z),2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,The Celtic Knot,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Wyckoff Tavern Kitchen and Bar,1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Cork & Keg (A),1
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,Fair Lawn Athletic Club,2
(CM)Coors Light 16oz Cups - PLASTIC CUPS,,,cherry's,1
