Asset Request ID,Asset Type,Asset,Brand,Program,Location,Task ID,Delivery Date,BrandFamily,Supplier,Time Updated,Updated By,Time Created,Created By
13558,Yuengling 16oz Shaker - Glasses,,Yuengling Lager,,Hawthorne,8116498,,Yuengling Lager,DG Yuengling Inc,9/14/2026 10:11 AM,briansengebu,9/14/2026 10:11 AM,briansengebu
13557,Yuengling 16oz Shaker - Glasses,,Yuengling Lager,,Hawthorne,8116497,,Yuengling Lager,DG Yuengling Inc,9/14/2026 10:11 AM,briansengebu,9/14/2026 10:11 AM,briansengebu
13556,Corona Metal Cooler - DEALER LOADER,,Corona Extra,,Hawthorne,8116496,,Corona Extra,Constellation Brands,9/14/2026 10:02 AM,derricklaws,9/14/2026 10:02 AM,derricklaws
13555,*SH* Corona Large Tire Bike,,Corona Extra,,Hawthorne,8116495,,Corona Extra,Constellation Brands,9/14/2026 10:02 AM,derricklaws,9/14/2026 10:02 AM,derricklaws
13554,*DD* Coors Light Portable Grill,,Coors Light,,Hawthorne,8116494,,Coors Light,MolsonCoors Beverage Company,9/14/2026 9:57 AM,anthonypalmi,9/14/2026 9:57 AM,anthonypalmi
13553,Pacifico Value LED,,Pacifico,,Hawthorne,8116491,,Pacifico,Constellation Brands,9/14/2026 9:21 AM,jgallagher,9/14/2026 9:21 AM,jgallagher
13552,*DD* Coors Light Electric Beach Wagon,17552,Coors Light,,Hawthorne,8116488,9/14/2026,Coors Light,MolsonCoors Beverage Company,9/14/2026 8:11 AM,chrishope,9/14/2026 8:11 AM,chrishope
13551,*ME* Blue Moon Golf Bag,15047,Blue Moon,,Hawthorne,8116487,9/14/2026,Blue Moon,MolsonCoors Beverage Company,9/14/2026 8:11 AM,chrishope,9/14/2026 8:11 AM,chrishope
13550,**DD** Athletic igloo cooler,16882,Athletic Run Wild IPA,,Hawthorne,8116486,9/14/2026,Athletic,Athletic Brewing Company,9/14/2026 8:11 AM,chrishope,9/14/2026 8:11 AM,chrishope
13549,(SH)Modelo Gold Cooler - DEALER LOADER,18159,Modelo Especial,,Hawthorne,8116485,9/14/2026,Modelo Especial,Constellation Brands,9/14/2026 8:11 AM,chrishope,9/14/2026 8:11 AM,chrishope
