Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner,Time Updated,Time Created
18536,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18535,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18534,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18533,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18532,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18531,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18530,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18529,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18528,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18527,,*SH* Modelo Heated Tailgate Chair,*SH* Modelo Heated Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/10/2026 12:10 PM,9/10/2026 12:09 PM
18526,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18525,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18524,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18523,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18522,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18521,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18520,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18519,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18518,,**SH** Modelo Giants LED,**SH** Modelo Giants LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/9/2026 3:27 PM,9/9/2026 3:27 PM
18516,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18515,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18514,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18513,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18512,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18511,,Corona Jets LED,Corona Jets LED,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/3/2026 1:58 PM,9/3/2026 1:57 PM
18509,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18508,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18507,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18506,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18505,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18504,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18503,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18502,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18501,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18500,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
18499,,(TG)Hofbrau Mug 1 Liter - Glasses,(TG)Hofbrau Mug 1 Liter - Glasses,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,,9/1/2026 12:56 PM,9/1/2026 12:56 PM
