Customer,Asset Type,Number of Assets,Time Placed
Rockaway River Cc(P),Sam Adams 3 Foot Stein - DEALER LOADER,2,9/14/2026 9:09 AM
Rock Bar,Coors Light 16oz Shaker - Glasses,2,9/14/2026 9:09 AM
Millers Paramus Ale House,Coors Light 16oz Shaker - Glasses,8,9/14/2026 8:48 AM
Millers Paramus Ale House,Coors Light 22oz shaker - Glasses,14,9/14/2026 8:48 AM
Iron Horse,*SH* Corona Golf Bag,1,9/14/2026 8:47 AM
Iron Horse,*CM* Corona Premier Golf Bag,1,9/14/2026 8:47 AM
Iron Horse,Yuengling Lager Glass LED,1,9/14/2026 8:47 AM
Iron Horse,*SH* Pacifico SurfBoard,1,9/14/2026 8:47 AM
Iron Horse,(SH)Modelo Gold Cooler - DEALER LOADER,1,9/14/2026 8:47 AM
Blackjack Mulligans (Hawthorne),Miller Lite 16oz shaker - Glasses,8,9/14/2026 8:47 AM
Blackjack Mulligans (Hawthorne),(CM)Coors Light 16oz Cups - PLASTIC CUPS,8,9/14/2026 8:47 AM
Moose Lodge 432,(CM)Miller Lite 16oz Plastic cups - PLASTIC CUPS,2,9/14/2026 8:46 AM
Black Bear Golf(A),*DD* Coors Light Tailgate Chair,1,9/14/2026 8:45 AM
Black Bear Golf(A),*CM* Corona Premier Golf Bag,2,9/14/2026 8:45 AM
Black Bear Golf(A),*DD* Miller Lite Giant Backpack Cooler,1,9/14/2026 8:45 AM
Black Bear Golf(A),Corona Metal Cooler - DEALER LOADER,4,9/14/2026 8:45 AM
Jefferson House (A),(CM)Miller Lite 16oz Plastic cups - PLASTIC CUPS,6,9/14/2026 8:45 AM
J & S Roadhouse,(SH)Corona Pub Table,1,9/14/2026 8:44 AM
J & S Roadhouse,(SH)Modelo Gold Cooler - DEALER LOADER,1,9/14/2026 8:44 AM
J & S Roadhouse,*CP* Truly World Cup Cooler,1,9/14/2026 8:44 AM
J & S Roadhouse,Red Bull Baby Fridge - DEALER LOADER,1,9/14/2026 8:44 AM
Reservoir Tavern(A),Yuengling 16oz Shaker - Glasses,10,9/14/2026 8:44 AM
Reservoir Tavern(A),Coors Light 16oz Shaker - Glasses,12,9/14/2026 8:44 AM
Usa Wine Traders (Wanaque),*SH* Corona Large Tire Bike,1,9/14/2026 8:42 AM
Usa Wine Traders (Wanaque),*SH* Modelo Giants Cornhole,1,9/14/2026 8:42 AM
