Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Product Num,Product Name,Date,Buyer Count   1/1/2025 - 12/31/2026,Units   1/1/2025 - 12/31/2026,Revenue   1/1/2025 - 12/31/2026,Gross Profit   1/1/2025 - 12/31/2026
Allison Scott,7003,Blu Ale House,92 NJ-23,Riverdale,Morris 3,201051,Green River Bourbon 1/750 mL Btl,1/21/2026,1.00,1.00,$26.83,$8.82
Allison Scott,7003,Blu Ale House,92 NJ-23,Riverdale,Morris 3,201051,Green River Bourbon 1/750 mL Btl,5/14/2025,1.00,2.00,$54.67,$18.64
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,Morris 3,201077,Green River Honey 1/750 mL Btl,7/17/2026,1.00,1.00,$20.00,$7.65
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,201054,Green River Wheated 1/750 mL,10/23/2025,1.00,6.00,$162.00,$53.91
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,201076,Green River Wheated Full Proof 1/750 ml Btl,4/30/2026,1.00,6.00,$218.00,$60.91
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,Passaic,201053,Green River Rye 1/750 mL,2/4/2025,1.00,1.00,$27.33,$9.32
Allison Scott,1005,Grasshopper Irish Pub (A),2891 Route 23,Newfoundland,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,7/17/2026,1.00,1.00,$36.67,$13.15
Allison Scott,24056,Jaime's (A),915 Bloomfield Ave,Clifton,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,3/4/2025,1.00,1.00,$34.67,$0.49
Allison Scott,15004,Blackjack Mulligan's Public House,1145 Mcbride Ave,Woodland Park,Passaic,201053,Green River Rye 1/750 mL,5/7/2026,1.00,1.00,$26.83,$8.82
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,201054,Green River Wheated 1/750 mL,4/30/2026,1.00,6.00,$154.00,$45.91
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,4/30/2025,1.00,2.00,$76.67,$24.30
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/5/2025,1.00,6.00,$196.00,$54.91
Allison Scott,12022,Grasshopper Too (A),26 Erie Ave,Wayne,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,7/17/2026,1.00,1.00,$36.67,$13.15
Allison Scott,8015,Thatcher Mc Ghees (A),6 Wanaque Ave,Pompton Lakes,Passaic-FF,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/27/2025,1.00,1.00,$34.67,$0.49
Allison Scott,24048,Dante's,955 Valley Rd,Clifton,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/28/2025,1.00,1.00,$34.67,$0.49
Allison Scott,7003,Blu Ale House,92 NJ-23,Riverdale,Morris 3,201051,Green River Bourbon 1/750 mL Btl,9/9/2025,1.00,2.00,$58.66,$22.63
Allison Scott,24048,Dante's,955 Valley Rd,Clifton,Passaic,201053,Green River Rye 1/750 mL,2/28/2025,1.00,1.00,$27.33,$9.32
Allison Scott,14010,Uncorked (P),650 Union Blvd,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,4/8/2026,1.00,1.00,$36.67,$13.15
Allison Scott,25083,Rutt's Hut (A),417 River Rd,Clifton,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,3/4/2026,1.00,1.00,$36.67,$13.15
Allison Scott,24029,Dingo's Den (P),615 Van Houten Ave,Clifton,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,10/7/2025,1.00,1.00,$36.67,$13.15
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,Passaic,201051,Green River Bourbon 1/750 mL Btl,2/4/2025,1.00,1.00,$27.33,$9.32
