Product,Distributor,BBC SKU,Customer SKU,07/25/2026 F,07/25/2026 A,08/01/2026 F,08/01/2026 A,08/08/2026 F,08/08/2026 A,08/15/2026 F,08/15/2026 A,08/22/2026 F,08/22/2026 A,08/29/2026 F,08/29/2026 A,09/05/2026 F,09/05/2026 A,09/12/2026 F,09/12/2026 A,09/19/2026 F,09/19/2026 A,09/26/2026 F,09/26/2026 A,10/03/2026 F,10/03/2026 A,10/10/2026 F,10/10/2026 A
Hard Mountain Dew Original 24oz 12pk CN,076KOH,AJ0153,83004,8,,7,,7,,7,,7,,7,,6,,8,,5,,5,,6,,6,
Hard Mountain Dew Baja Blast 24oz 12pk CN,076KOH,AJ0253,83001,18,,16,,16,,15,,16,,16,,13,,17,,12,,11,,12,,13,
Hard Mountain Dew Everyday Variety Pack 12oz 2/12pk CN,076KOH,AJ0563,83003,26,,24,,23,,22,,24,,24,,20,,25,,17,,16,,18,,19,
Hard Mountain Dew Baja Blast Variety Pack LTO 12oz 2/12pk CN,076KOH,AJ0E63,83002,20,,19,,18,,18,,19,,19,,16,,19,,13,,13,,14,,15,
Sun Cruiser Classic Iced Tea 12oz 6/4pk SK,076KOH,AW114S,200632,81,,80,,78,,77,,75,,86,,67,,69,,68,,68,,57,,57,
Sun Cruiser Classic Iced Tea 570ml 12pk CN,076KOH,AW1157,200672,51,,51,,51,,50,,49,,56,,28,,28,,28,,28,,24,,24,
Sun Cruiser Classic Iced Tea 12oz 24pk SK,076KOH,AW1177,200634,228,,227,,222,,218,,213,,244,,198,,203,,200,,199,,155,,155,
Sun Cruiser Classic Iced Tea 12oz 3/8pk SK,076KOH,AW1178,200636,217,,216,,211,,208,,203,,233,,183,,187,,185,,184,,155,,155,
Sun Cruiser Half & Half 12oz 6/4pk SK,076KOH,AW124S,200633,49,,49,,48,,47,,46,,53,,41,,42,,42,,42,,35,,35,
Sun Cruiser Half & Half 570ml 12pk CN,076KOH,AW1257,200675,24,,24,,23,,23,,23,,26,,34,,35,,35,,35,,29,,29,
Sun Cruiser Half & Half 12oz 24pk SK,076KOH,AW1277,200678,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,79,,79,,67,,67,
Sun Cruiser Half & Half 12oz 3/8pk SK,076KOH,AW1278,200637,180,180,180,180,180,180,180,180,180,180,180,180,180,180,164,,161,,161,,136,,136,
Sun Cruiser Iced Tea Variety Pack 12oz 2/12pk SK,076KOH,AW1573,200665,400,400,400,400,400,400,400,400,400,400,400,400,450,450,736,450,724,400,722,,610,,610,
Sun Cruiser Iced Tea Variety Pack 12oz 3/8pk SK,076KOH,AW1578,200631,250,250,250,250,200,200,200,200,200,200,200,200,250,250,319,250,314,250,314,,265,,265,
Sun Cruiser Iced Tea Variety Pack 12oz 18pk SK,076KOH,AW1581,200666,68,,68,,60,,59,,57,,66,,50,,51,,50,,50,,39,,39,
Sun Cruiser Vodka Lemonade Variety Pack  12oz 2/12pk SK,076KOH,AW1673,200668,180,250,180,250,180,250,180,200,180,200,180,200,200,200,384,200,378,200,377,,318,,318,
Sun Cruiser Vodka Lemonade Variety Pack  12oz 3/8pk SK,076KOH,AW1678,200664,180,180,180,180,180,180,180,180,180,180,180,180,200,200,277,200,273,200,272,,230,,230,
Sun Cruiser Classic Lemonade 12oz 6/4pk SK,076KOH,AW174S,200669,19,,19,,18,,18,,18,,20,,16,,16,,16,,16,,13,,13,
Sun Cruiser Classic Lemonade 570ml 12pk CN,076KOH,AW1757,200674,5,5,5,5,5,5,5,5,5,,6,,7,,8,,8,,8,,6,,6,
Sun Cruiser Classic Lemonade 12oz 24pk SK,076KOH,AW1777,200640,39,,39,,38,,37,,36,,42,,34,,35,,34,,34,,27,,27,
Sun Cruiser Pink Lemonade 12oz 6/4pk SK,076KOH,AW184S,200670,31,,31,,30,,30,,29,,33,,26,,26,,26,,26,,22,,22,
Sun Cruiser Pink Lemonade 570ml 12pk CN,076KOH,AW1857,200673,18,,18,,17,,17,,16,,19,,15,,15,,15,,15,,12,,12,
Sun Cruiser Pink Lemonade 12oz 24pk SK,076KOH,AW1877,200679,41,20,41,20,40,20,39,20,38,20,44,20,34,20,35,20,35,,35,,29,,29,
Sun Cruiser Pink Lemonade 12oz 3/8pk SK,076KOH,AW1878,200641,105,,105,,100,,99,,96,,110,,86,,88,,87,,87,,73,,73,
Sun Cruiser Blueberry Lemonade 570ml 12pk CN,076KOH,AW1F57,200677,12,,12,,12,,12,,11,,13,,10,,10,,10,,10,,9,,9,
Sun Cruiser Blueberry Lemonade 12oz 3/8pk SK,076KOH,AW1F78,,80,80,80,80,80,80,80,80,80,80,87,,68,,70,,69,,68,,58,,58,
Sun Cruiser Sampler Variety Pack 12oz 2/12pk SK,076KOH,AW1N73,200671,200,200,200,200,200,200,200,200,200,200,271,,213,,219,,215,,214,,181,,181,
Sun Cruiser White Tea Variety Pack 12oz 3/8pk SK,076KOH,AW1V78,,40,40,40,40,100,100,100,100,100,100,155,,122,,125,,123,,123,,103,,103,
Sinless Spirits Variety Pack 12oz 3/8pk SK,076KOH,AY1178,,40,40,40,40,40,40,40,40,40,40,34,,31,,32,,31,,31,,26,,27,
Sinless Spirits Black Cherry 12oz 6/4pk SK,076KOH,AY124S,,8,8,8,8,8,8,8,8,8,8,7,,6,,6,,6,,6,,5,,5,
Sinless Spirits Cranberry 12oz 6/4pk SK,076KOH,AY134S,,8,8,8,8,8,8,8,8,8,8,10,,9,,9,,9,,9,,7,,8,
Sinless Spirits Pineapple 12oz 6/4pk SK,076KOH,AY154S,,8,8,8,8,8,8,8,8,8,8,6,,6,,6,,6,,6,,5,,5,
Dogfish Head 60 Minute IPA 12oz 4/6pk BT,076KOH,DB0012,12010,165,,161,,168,,163,,167,,193,,152,,169,,164,,167,,162,,165,
Dogfish Head 60 Minute IPA 19.2oz 12pk CN,076KOH,DB0054,12014,24,,26,,23,,20,,20,,24,,18,,25,,22,,19,,38,,24,
Dogfish Head 60 Minute IPA 1/6 BBL KEG,076KOH,DB0060,12012,16,,28,,16,,15,,15,,23,,15,,15,,13,,18,,18,,13,
