Supplier,Brand Family,Package,Product Link,Supplier Product ID,Cases This Week,Cases Last Week,Cases -1 Weeks,Cases -2 Weeks,Cases -3 Weeks,Cases -4 Weeks,Cases -5 Weeks,Cases -6 Weeks,Cases -7 Weeks,Cases -8 Weeks,Available,Last Receive Date,Last Receive Quantity
Boston Beer Company,Sun Cruiser,2/12/12oz Can,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,AW1573,296,400,370,468,1034,424,443,190,250,142,2805,7/20/2026,208
Boston Beer Company,Angry Orchard,4/6/12oz NR,8110 Angry Orchard Crisp Apple 4/6/12 oz Btl,OA7812,188,260,297,360,320,301,263,249,265,105,512,7/16/2026,180
Boston Beer Company,Twisted Tea,1/12/24oz Can,8340 Twisted Tea 1/12/24 oz Can,OA9153,188,214,178,293,242,227,233,209,162,95,893,7/13/2026,306
Boston Beer Company,Dogfish Head Beer,4/6/12oz NR,12010 Dogfish Head 60 Minute IPA 4/6/12 oz Btl,DB0012,183,148,120,205,193,183,144,231,144,92,654,7/15/2026,252
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,AW1678,173,257,247,351,673,259,278,147,136,95,835,7/16/2026,312
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200631 Sun Cruiser Iced Tea Variety 3/8/12 oz Can,AW1578,172,277,290,313,673,255,371,173,168,121,2028,7/7/2026,208
Boston Beer Company,Truly,30/12oz Can,8668 Truly Star Squad Variety 1/30/12 oz Can,PD7435,154,,77,,,,77,,,,154,6/23/2026,385
Boston Beer Company,Twisted Tea,2/12/12oz Can,8333 Twisted Tea 2/12/12 oz Can,OA9163,142,235,199,413,591,233,213,179,252,161,1382,7/13/2026,200
Boston Beer Company,Sun Cruiser,2/12/12oz Can,200671 Sun Cruiser Sampler Variety Pack 2/12/12 oz Can,AW1N73,124,279,169,328,648,231,238,70,105,92,912,7/20/2026,312
Boston Beer Company,Samuel Adams,2/12/12oz Can,3842 Sam Adams Summer Ale 2/12/12 oz Can,SA3563,119,204,166,313,278,187,223,154,121,73,20,7/13/2026,100
