Product Num,Supplier Product ID,Product Name,Cases 4/20/2025 - 7/19/2025,Cases 4/19/2026 - 7/18/2026,Cases ±,Cases % ±
Total,,,"115,513.00","116,061.00",548.00,0.47%
8341,OA9463,Twisted Tea Party Pack 2/12/12 oz Can,"5,997.00","3,549.00"," (2,448.00)",(40.82%)
8333,OA9163,Twisted Tea 2/12/12 oz Can,"4,989.00","4,116.00", (873.00),(17.50%)
200665,AW1573,Sun Cruiser Iced Tea Variety 2/12/12 oz Can,"3,153.00","5,529.00","2,376.00",75.36%
200631,AW1578,Sun Cruiser Iced Tea Variety 3/8/12 oz Can,"4,112.00","3,660.00", (452.00),(10.99%)
8110,OA7812,Angry Orchard Crisp Apple 4/6/12 oz Btl,"3,619.00","3,503.00", (116.00),(3.21%)
3844,SA3512,Sam Adams Summer Ale 4/6/12 oz Btl,"3,619.00","3,159.00", (460.00),(12.71%)
200664,AW1678,Sun Cruiser Lemonade Variety 3/8/12 oz Can,"3,003.00","3,531.00",528.00,17.58%
8340,OA9153,Twisted Tea 1/12/24 oz Can,"3,143.00","2,833.00", (310.00),(9.86%)
8349,OA9363,Twisted Tea Half & Half 2/12/12 oz Can,"3,130.00","2,571.00", (559.00),(17.86%)
3843,SA3513,Sam Adams Summer Ale 2/12/12 oz Btl,"2,818.00","2,461.00", (357.00),(12.67%)
8330,OA9112,Twisted Tea 4/6/12 oz Btl,"2,755.00","2,319.00", (436.00),(15.83%)
4016,SA7X63,Sam Adams Star Spangled Summer Variety 2/12/12 oz Can,"2,662.00","2,174.00", (488.00),(18.33%)
3842,SA3563,Sam Adams Summer Ale 2/12/12 oz Can,"2,396.00","2,382.00", (14.00),(0.58%)
12010,DB0012,Dogfish Head 60 Minute IPA 4/6/12 oz Btl,"2,367.00","2,277.00", (90.00),(3.80%)
8692,PD1173,Truly Hard Seltzer Berry Variety 2/12/12 oz Can,"2,363.00","1,795.00", (568.00),(24.04%)
3818,SA1012,Sam Adams Boston Lager 4/6/12 oz Btl,"2,107.00","1,880.00", (227.00),(10.77%)
8345,OA9763,Twisted Tea Light 2/12/12 oz Can,"1,857.00","2,016.00",159.00,8.56%
8329,OA9353,Twisted Tea Half & Half 1/12/24 oz Can,"1,797.00","1,906.00",109.00,6.07%
3817,SA1013,Sam Adams Boston Lager 2/12/12 oz Btl,"1,916.00","1,783.00", (133.00),(6.94%)
200637,AW1278,Sun Cruiser Half & Half Lemonade Iced Tea 3/8/12 oz Can,"1,685.00","1,991.00",306.00,18.16%
200636,AW1178,Sun Cruiser Classic Iced Tea 3/8/12oz Can,"1,068.00","2,183.00","1,115.00",104.40%
200634,AW1177,Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,"1,308.00","1,860.00",552.00,42.20%
200671,AW1N73,Sun Cruiser Sampler Variety Pack 2/12/12 oz Can,0.00,"3,045.00","3,045.00",100.00%
3907,SA2K12,Sam Adams Porch Rocker 4/6/12 oz Btl,"1,479.00","1,362.00", (117.00),(7.91%)
8121,OA7863,Angry Orchard Crisp 2/12/12 oz Can,"1,261.00","1,408.00",147.00,11.66%
4028,SA7X33,Sam Adams Star Spangled Summer Variety 1/24/12 oz Can,"1,310.00","1,280.00", (30.00),(2.29%)
8664,PD7473,Truly Star Squad 2/12/12 oz Can,"1,570.00",944.00, (626.00),(39.87%)
200641,AW1878,Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,"1,349.00","1,162.00", (187.00),(13.86%)
8647,PD2R73,Truly Hard Seltzer Unruly Variety 2/12/12 oz Can,"1,485.00","1,019.00", (466.00),(31.38%)
200668,AW1673,Sun Cruiser Lemonade Variety Pack 2/12/12 oz Can,0.00,"2,485.00","2,485.00",100.00%
12040,DB0112,Dogfish Head 90 Minute IPA 4/6/12 oz Btl,"1,256.00","1,196.00", (60.00),(4.78%)
8373,OABM63,Twisted Tea Light Party Pack 2/12/12 oz Can,"1,373.00","1,077.00", (296.00),(21.56%)
12011,DB0063,Dogfish Head 60 Minute IPA 2/12/12 oz Can,"1,231.00","1,161.00", (70.00),(5.69%)
8124,OA4C12,Angry Orchard Green Apple 4/6/12 oz Btl,"1,214.00","1,163.00", (51.00),(4.20%)
8375,OA9433,Twisted Tea Party Pack Variety 1/24/12 oz Loose Can,"1,415.00",955.00, (460.00),(32.51%)
8336,OA9312,Twisted Tea Half & Half 4/6/12 oz Btl,"1,272.00","1,058.00", (214.00),(16.82%)
8684,PD1073,Truly Hard Seltzer Citrus Variety 2/12/12 oz Can,"1,391.00",931.00, (460.00),(33.07%)
8674,PD2573,Truly Hard Seltzer Lemonade Variety 2/12/12 oz Can,"1,407.00",813.00, (594.00),(42.22%)
8666,PD4473,Truly Hard Seltzer Fruit Punch Variety 2/12/12 oz Can,"1,034.00",785.00, (249.00),(24.08%)
8148,OA4A12,Angry Orchard Crisp Imperial 4/6/12 oz Btl,759.00,"1,020.00",261.00,34.39%
8145,OA2V63,Angry Orchard Summer Crush Variety Pack 2/12/12 oz Can,814.00,870.00,56.00,6.88%
12149,DBCK66,Dogfish Head Grateful Dead Juicy Pale Ale 4/6/12 oz Can,851.00,679.00, (172.00),(20.21%)
3821,SA2712,Sam Adams Cherry Wheat 4/6/12 oz Btl,804.00,699.00, (105.00),(13.06%)
8111,OA7813,Angry Orchard Crisp Apple 2/12/12 oz Btl,743.00,752.00,9.00,1.21%
4021,SA2K63,Sam Adams Porch Rocker 2/12/12 oz Can,814.00,675.00, (139.00),(17.08%)
3807,SA3590,Sam Adams Summer Ale 15.5 Gal Keg,717.00,734.00,17.00,2.37%
200633,AW124S,Sun Cruiser Lemonade & Iced Tea 6/4/12 oz Can,965.00,468.00, (497.00),(51.50%)
12148,DBCT63,Dogfish Head 30 Minute Light IPA 2/12/12 oz Can,741.00,686.00, (55.00),(7.42%)
200632,AW114S,Sun Cruiser Classic Iced Tea 6/4/12 oz Can,790.00,617.00, (173.00),(21.90%)
8332,OA9113,Twisted Tea 2/12/12 oz Btl,756.00,644.00, (112.00),(14.81%)
8651,PD4G73,Truly Hard Seltzer Unruly Lemonade Variety 2/12/12 oz Can,868.00,528.00, (340.00),(39.17%)
3860,SA3560,Sam Adams Summer Ale 5.2 Gal Keg,701.00,683.00, (18.00),(2.57%)
200680,AW1V78,Sun Cruiser White Tea Variety 3/8/12 oz Can,0.00,"1,310.00","1,310.00",100.00%
8348,OA9253,Twisted Tea Raspberry 1/12/24 oz Can,712.00,572.00, (140.00),(19.66%)
8384,OA3Z53,Twisted Tea Extreme Lemon 1/12/24 oz Can,485.00,793.00,308.00,63.51%
200608,DS3178,Dogfish Head Bar Cart Variety 3/8/12 oz Can,672.00,594.00, (78.00),(11.61%)
8668,PD7435,Truly Star Squad Variety 1/30/12 oz Can,615.00,616.00,1.00,0.16%
3908,SA2K13,Sam Adams Porch Rocker 2/12/12 oz Btl,642.00,583.00, (59.00),(9.19%)
8648,PD2F73,Truly Party 2/12/12 oz Can,751.00,439.00, (312.00),(41.54%)
