Product Num,Supplier Product ID,Product Name,Cases   2024 00,Cases   2025 01,Cases   2025 02,Cases   2025 03,Cases   2025 04,Cases   2025 05,Cases   2025 06,Cases   2025 07,Cases   2025 08,Cases   2025 09,Cases   2025 10,Cases   2025 11,Cases   2025 12,Cases   2025 13,Cases   2025 14,Cases   2025 15,Cases   2025 16,Cases   2025 17,Cases   2025 18,Cases   2025 19,Cases   2025 20,Cases   2025 21,Cases   2025 22,Cases   2025 23,Cases   2025 24,Cases   2025 25,Cases   2025 26,Cases   2025 27,Cases   2025 28,Cases   2025 29,Cases   2025 30,Cases   2025 31,Cases   2025 32,Cases   2025 33,Cases   2025 34,Cases   2025 35,Cases   2025 36,Cases   2025 37,Cases   2025 38,Cases   2025 39,Cases   2025 40,Cases   2025 41,Cases   2025 42,Cases   2025 43,Cases   2025 44,Cases   2025 45,Cases   2025 46,Cases   2025 47,Cases   2025 48,Cases   2025 49,Cases   2025 50,Cases   2025 51,Cases   2025 52,Cases Percentage Total
3802,SA1060,Sam Adams Boston Lager 5.2 Gal Keg,1.00,6.00,4.00,-1.00,5.00,5.00,3.00,6.00,2.00,4.00,9.00,6.00,3.00,3.00,4.00,9.00,8.00,-1.00,2.00,3.00,2.00,3.00,2.00,4.00,3.00,6.00,3.00,6.00,,3.00,8.00,3.00,9.00,1.00,2.00,1.00,2.00,3.00,1.00,1.00,1.00,5.00,6.00,5.00,5.00,5.00,4.00,4.00,5.00,9.00,2.00,2.00,5.00,
3804,SA1090,Sam Adams Boston Lager 15.5 Gal Keg,1.00,7.00,4.00,5.00,5.00,3.00,3.00,7.00,5.00,6.00,2.00,7.00,4.00,8.00,8.00,4.00,5.00,5.00,3.00,8.00,4.00,1.00,8.00,6.00,9.00,4.00,7.00,8.00,7.00,5.00,3.00,7.00,4.00,4.00,4.00,7.00,4.00,1.00,5.00,11.00,3.00,11.00,4.00,2.00,2.00,6.00,9.00,2.00,5.00,6.00,7.00,4.00,4.00,
3806,SA1490,Sam Adams Winter Lager 15.5 Gal Keg,,4.00,-1.00,,,-1.00,,,-1.00,0.00,0.00,,,,,,,,,,,,,,,,1.00,,,,0.00,-1.00,,,,,0.00,,,,0.00,,,,,,,,,,,,,
3807,SA3590,Sam Adams Summer Ale 15.5 Gal Keg,,,,,,,,,-2.00,,1.00,9.00,16.00,29.00,46.00,42.00,47.00,56.00,56.00,56.00,65.00,48.00,48.00,61.00,66.00,62.00,49.00,49.00,54.00,61.00,58.00,32.00,2.00,,-1.00,,-2.00,-1.00,-2.00,-2.00,0.00,-3.00,,,,,-1.00,,-1.00,-1.00,,,,
3808,SA4H90,Sam Adams Cold Snap 15.5 Gal Keg,19.00,53.00,44.00,45.00,52.00,45.00,55.00,49.00,46.00,56.00,57.00,29.00,18.00,10.00,14.00,1.00,-2.00,-2.00,0.00,-1.00,-2.00,-2.00,,0.00,,,,,-1.00,,0.00,,,,1.00,,,,,,,,,-1.00,,,,,,,,,,
3812,SA2790,Sam Adams Cherry Wheat 15.5 Gal Keg,,4.00,2.00,1.00,,2.00,,4.00,1.00,2.00,2.00,2.00,3.00,0.00,1.00,2.00,3.00,1.00,0.00,1.00,3.00,4.00,2.00,2.00,,1.00,2.00,1.00,2.00,,0.00,3.00,,1.00,2.00,3.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,2.00,1.00,2.00,6.00,1.00,2.00,3.00,2.00,1.00,
3813,SA1390,Sam Adams Octoberfest 15.5 Gal Keg,,0.00,-2.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,26.00,57.00,50.00,68.00,92.00,90.00,87.00,110.00,100.00,105.00,92.00,92.00,65.00,-2.00,-1.00,-2.00,11.00,-2.00,-3.00,,,,
3815,SA2X12,Sam Adams Holiday White Ale 4/6/12 oz Btl,,-2.00,,-2.00,1.00,-4.00,,-1.00,-1.00,-4.00,,-1.00,-4.00,-1.00,-1.00,,,-1.00,-2.00,,-2.00,,,,,,,,,,,-4.00,,,,,,,,,,,5.00,,,,-1.00,,,,,,,
3817,SA1013,Sam Adams Boston Lager 2/12/12 oz Btl,5.00,119.00,126.00,120.00,71.00,157.00,118.00,108.00,84.00,155.00,146.00,86.00,138.00,113.00,140.00,95.00,203.00,123.00,175.00,131.00,209.00,143.00,74.00,91.00,131.00,241.00,159.00,158.00,78.00,177.00,110.00,141.00,123.00,114.00,96.00,137.00,70.00,135.00,101.00,127.00,137.00,71.00,33.00,82.00,135.00,62.00,169.00,96.00,186.00,99.00,264.00,110.00,137.00,
3818,SA1012,Sam Adams Boston Lager 4/6/12 oz Btl,26.00,119.00,107.00,114.00,122.00,143.00,157.00,138.00,79.00,116.00,142.00,147.00,149.00,132.00,110.00,130.00,174.00,133.00,186.00,167.00,228.00,130.00,144.00,154.00,150.00,188.00,165.00,175.00,113.00,97.00,109.00,120.00,128.00,167.00,135.00,152.00,153.00,153.00,113.00,163.00,91.00,98.00,108.00,117.00,136.00,119.00,197.00,92.00,210.00,153.00,225.00,158.00,148.00,
