Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Alisa Acciardi,24057,Mighty Quinns Bbq,1.00
Allison Scott,13002,The Little Falls Tavern,1.00
Allison Scott,9005,The Legacy Castle,1.00
Allison Scott,12036,Brokedown Palace,1.00
Allison Scott,8014,Macks American Bar/Grill,1.00
Allison Scott,25077,Chevy's Fresh Mex (A)Clif,1.00
Allison Scott,14004,Sushi Lounge,1.00
Allison Scott,25083,Rutt's Hut (A),1.00
Allison Scott,17009,Jimmy Geez (P),1.00
Allison Scott,23020,Clifton City Tavern(P),1.00
Allison Scott,25027,Sportzone B&G (P),1.00
Allison Scott,8004,The Side Door (P),1.00
Allison Scott,1005,Grasshopper Irish Pub (A),1.00
Allison Scott,15036,River Terrace Inn(P),1.00
Allison Scott,15074,Bask 46,1.00
Allison Scott,25009,Spuntino Wine Bar/Italian,1.00
Allison Scott,10001,cherry's,1.00
Allison Scott,14005,The Grand,1.00
Allison Scott,24048,Dante's,1.00
Allison Scott,24056,Jaime's (A),1.00
Allison Scott,12020,Lakeside Drive Tavern,1.00
Allison Scott,12048,Anthonys CF Pizza (Wayne),1.00
Allison Scott,24027,Mario's Rest,1.00
Allison Scott,23013,Vfw 7165 (P),1.00
Allison Scott,24039,Veterans Post (9),1.00
Allison Scott,13018,Chili's Little Falls,1.00
Allison Scott,12008,North Jersey C C,1.00
Allison Scott,13005,Sear,1.00
Allison Scott,12013,Jalapenos Mexican Grill,1.00
Allison Scott,24045,Red Robin Gourmet Burger (Clifton),1.00
Allison Scott,24006,The Grand Saloon,1.00
Allison Scott,17006,The Yard,1.00
Allison Scott,7003,Blu Ale House,1.00
Allison Scott,12014,Olive Garden (A) Wayne,1.00
Allison Scott,12040,NYX,1.00
Allison Scott,12054,Red Lobster 225 Wayne,1.00
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),1.00
Allison Scott,15070,Brownstone House,1.00
Allison Scott,24060,Clifton Billiards (Z),1.00
Allison Scott,10010,Sunset Valley G C (A),1.00
Allison Scott,14002,Applebee's (Totowa) (A),1.00
Allison Scott,12041,Cheesecake Fact (A)Wayne,1.00
Allison Scott,20010,Riverside Grill(D'carbon),1.00
Allison Scott,24054,Upper Montclair Cc (A),1.00
Allison Scott,25082,Crab Island Cajun Seafood & Bar,1.00
Allison Scott,15004,Blackjack Mulligan's Public House,1.00
Allison Scott,12035,Preakness Hills (A) cc,1.00
Allison Scott,12056,PF Changs China Bistro (Wayne),1.00
Allison Scott,24038,J. Alexander's Restaurant,1.00
Allison Scott,13003,Maggie's Town Tav.(P),1.00
Allison Scott,13015,Rare The Steakhouse (Z),1.00
Allison Scott,14016,JINYA Ramen Bar,1.00
Allison Scott,15048,D'carbon Restaurant,1.00
Allison Scott,24029,Dingo's Den (P),1.00
Allison Scott,3007,Kitchen & Beer Bar,1.00
Allison Scott,17001,Underdog Lounge(P),1.00
Allison Scott,21043,Duffy's Tavern (Z),1.00
Allison Scott,19012,Bottagra Rest (P),1.00
Allison Scott,25049,Yesterdays (P),1.00
Allison Scott,14010,Uncorked (P),1.00
Allison Scott,19011,Las Maravillas Restaurant,1.00
Allison Scott,12034,"Dave & Buster's Nj, Inc",1.00
Allison Scott,12064,In The Drink@Passaic Gc,1.00
Allison Scott,14017,The Chariot,1.00
Allison Scott,12032,Casa Don Manuel,1.00
Allison Scott,5004,Outback,1.00
Allison Scott,12022,Grasshopper Too (A),1.00
Allison Scott,19005,Celtic Corner,1.00
