Sales Rep Assigned,Customer ID,Customer Name,Shipping Address,City,On Premise,Brand Family,Product Num Name,Cases   2025,Buyer Count   2025,Cases   2026,Buyer Count   2026
Alisa Acciardi,24057,Mighty Quinns Bbq,850 Rte 3 West (Ste 115),Clifton,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,6.00,1,2.00,1
Alisa Acciardi,24057,Mighty Quinns Bbq,850 Rte 3 West (Ste 115),Clifton,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,6.00,1,,
Allison Scott,13003,Maggie's Town Tav.(P),10 Van Ness Ave,Little Falls,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,2.00,1,7.00,1
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,2.00,1,1.00,1
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,35.00,1,,
Allison Scott,5008,Celtic Crossings,1248 NJ-23,Butler,On Premise,Carbliss,200884 Carbliss Cranberry 6/4/12 oz Can,,,5.00,1
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,12.00,1,,
Allison Scott,24056,Jaime's (A),915 Bloomfield Ave,Clifton,On Premise,Sun Cruiser,200637 Sun Cruiser Half & Half Lemonade Iced Tea 3/8/12 oz Can,2.00,1,,
Allison Scott,24029,Dingo's Den (P),615 Van Houten Ave,Clifton,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,1.00,1,,
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,86.00,1,201.00,1
Allison Scott,25036,Dingbatz (P),620 Van Houten Ave,Clifton,On Premise,White Claw,8597 White Claw Hard Seltzer Variety #2 2/12/12 oz Can,6.00,1,10.00,1
Allison Scott,17006,The Yard,289 Belmont Ave,Haledon,On Premise,Sun Cruiser,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,,,9.00,1
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,10.00,1,9.00,1
