Customer ID,Customer Name,Product ID,Product Name,Sales Rep Assigned,Load Sheet Date,Corona Gaintain SKUs Placements
408,Fredon Liquor (Fredon Deli),2412,Corona Extra 2/12/12 oz Btl,Jayson Romine,6/8/2026,1.00
1012,Uncorked Wines & Spirits (West Milford),2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/4/2026,1.00
1012,Uncorked Wines & Spirits (West Milford),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/4/2026,1.00
1012,Uncorked Wines & Spirits (West Milford),2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/4/2026,1.00
1029,Vault Liquors,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/3/2026,1.00
1029,Vault Liquors,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/8/2026,1.00
2002,Ringwood Discount Liquors,2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/4/2026,1.00
2002,Ringwood Discount Liquors,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/4/2026,1.00
2002,Ringwood Discount Liquors,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/4/2026,1.00
2003,Ringwood W&L,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/10/2026,1.00
3001,Best Cellars (Wanaque),2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/1/2026,1.00
3001,Best Cellars (Wanaque),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/1/2026,1.00
3001,Best Cellars (Wanaque),2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/1/2026,1.00
3005,Usa Wine Traders (Wanaque),2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/4/2026,1.00
3005,Usa Wine Traders (Wanaque),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/4/2026,1.00
3006,Wine 2 Spirits (P),2405,Coronita Extra 1/24/7 oz Btl,Anthony Palmisano,6/2/2026,1.00
3006,Wine 2 Spirits (P),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
3006,Wine 2 Spirits (P),2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
4009,Usa Wine Traders Club (Bloomingdale),2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/2/2026,1.00
4009,Usa Wine Traders Club (Bloomingdale),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
4009,Usa Wine Traders Club (Bloomingdale),2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
5001,River Place Food Store,2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/5/2026,1.00
5001,River Place Food Store,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/5/2026,1.00
5001,River Place Food Store,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/5/2026,1.00
5006,Roserne Pkg Store South,2418,Corona Extra 1/18/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
7001,Home Wine and Liquors,2405,Coronita Extra 1/24/7 oz Btl,Anthony Palmisano,6/2/2026,1.00
8002,Country Convenience Store,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
8002,Country Convenience Store,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
8005,Empire Wine & Liquor,2405,Coronita Extra 1/24/7 oz Btl,Anthony Palmisano,6/10/2026,1.00
8007,Krauszer's Liquor Wine and Spirits,2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/8/2026,1.00
8007,Krauszer's Liquor Wine and Spirits,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/8/2026,1.00
8007,Krauszer's Liquor Wine and Spirits,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/8/2026,1.00
8007,Krauszer's Liquor Wine and Spirits,2418,Corona Extra 1/18/12 oz Btl,Anthony Palmisano,6/8/2026,1.00
9003,B & B Wine&Liq,2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
9003,B & B Wine&Liq,2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
10003,Buy Rite W &L Pompton(P),2409,Corona Extra 1/24/12 oz Loose Btl,Anthony Palmisano,6/2/2026,1.00
10003,Buy Rite W &L Pompton(P),2410,Corona Extra 4/6/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
10003,Buy Rite W &L Pompton(P),2412,Corona Extra 2/12/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
11003,Lincoln Park Fine Wines & Spirits,2405,Coronita Extra 1/24/7 oz Btl,Mike Ast,6/1/2026,1.00
11014,Wayne Liquor Locker,2410,Corona Extra 4/6/12 oz Btl,Michael Harboy,6/10/2026,1.00
11014,Wayne Liquor Locker,2412,Corona Extra 2/12/12 oz Btl,Michael Harboy,6/10/2026,1.00
12005,Shay's Liquors,2405,Coronita Extra 1/24/7 oz Btl,Michael Harboy,6/4/2026,1.00
12005,Shay's Liquors,2409,Corona Extra 1/24/12 oz Loose Btl,Michael Harboy,6/9/2026,1.00
12005,Shay's Liquors,2410,Corona Extra 4/6/12 oz Btl,Michael Harboy,6/9/2026,1.00
12005,Shay's Liquors,2412,Corona Extra 2/12/12 oz Btl,Michael Harboy,6/9/2026,1.00
12011,Bottle King (A) Wayne,2405,Coronita Extra 1/24/7 oz Btl,Mike Ast,6/2/2026,1.00
12011,Bottle King (A) Wayne,2409,Corona Extra 1/24/12 oz Loose Btl,Mike Ast,6/2/2026,1.00
12011,Bottle King (A) Wayne,2409,Corona Extra 1/24/12 oz Loose Btl,Mike Ast,6/4/2026,1.00
12011,Bottle King (A) Wayne,2412,Corona Extra 2/12/12 oz Btl,Mike Ast,6/2/2026,1.00
12060,Costco Whlse V#32366-Wayn,2409,Corona Extra 1/24/12 oz Loose Btl,John Neukum,6/1/2026,1.00
12060,Costco Whlse V#32366-Wayn,2409,Corona Extra 1/24/12 oz Loose Btl,John Neukum,6/3/2026,1.00
12060,Costco Whlse V#32366-Wayn,2409,Corona Extra 1/24/12 oz Loose Btl,John Neukum,6/8/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2409,Corona Extra 1/24/12 oz Loose Btl,Derrick Laws,6/1/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2409,Corona Extra 1/24/12 oz Loose Btl,Derrick Laws,6/10/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2410,Corona Extra 4/6/12 oz Btl,Derrick Laws,6/1/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2410,Corona Extra 4/6/12 oz Btl,Derrick Laws,6/10/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2412,Corona Extra 2/12/12 oz Btl,Derrick Laws,6/1/2026,1.00
13001,Shop Rite Liq (A)Littlefl,2412,Corona Extra 2/12/12 oz Btl,Derrick Laws,6/10/2026,1.00
13008,Little Falls Liq(P),2405,Coronita Extra 1/24/7 oz Btl,Jim Heaney,6/10/2026,1.00
13008,Little Falls Liq(P),2410,Corona Extra 4/6/12 oz Btl,Jim Heaney,6/3/2026,1.00
