Customer ID,Customer Name,Product ID,Product Name,Sales Rep Assigned,Load Sheet Date,Impact SKUs Placements
408,Fredon Liquor (Fredon Deli),2415,Corona Extra 1/12/24 oz Can,Jayson Romine,6/8/2026,1.00
408,Fredon Liquor (Fredon Deli),2827,Modelo Chelada Pina Picante 1/12/24 oz Can,Jayson Romine,6/4/2026,1.00
1003,23 liquor & Tobacco,2415,Corona Extra 1/12/24 oz Can,Klejdi Lamo,6/3/2026,1.00
1003,23 liquor & Tobacco,2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Klejdi Lamo,6/3/2026,1.00
1012,Uncorked Wines & Spirits (West Milford),2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/11/2026,1.00
1015,Greenwood Lake Disc.(P),2415,Corona Extra 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
1015,Greenwood Lake Disc.(P),2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/9/2026,1.00
1015,Greenwood Lake Disc.(P),2827,Modelo Chelada Pina Picante 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
2002,Ringwood Discount Liquors,2813,Modelo Negra 2/12/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
2002,Ringwood Discount Liquors,2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/9/2026,1.00
2003,Ringwood W&L,2511,Corona Light 1/24/12 oz Loose Can,Anthony Palmisano,6/9/2026,1.00
3001,Best Cellars (Wanaque),2415,Corona Extra 1/12/24 oz Can,Anthony Palmisano,6/4/2026,1.00
3001,Best Cellars (Wanaque),2509,Corona Light 1/24/12 oz Loose Btl,Anthony Palmisano,6/1/2026,1.00
3001,Best Cellars (Wanaque),2511,Corona Light 1/24/12 oz Loose Can,Anthony Palmisano,6/8/2026,1.00
3001,Best Cellars (Wanaque),2651,Victoria 2/12/12 oz Btl,Anthony Palmisano,6/1/2026,1.00
3001,Best Cellars (Wanaque),2817,Modelo Especial 1/12/32 oz Btl,Anthony Palmisano,6/4/2026,1.00
3001,Best Cellars (Wanaque),2827,Modelo Chelada Pina Picante 1/12/24 oz Can,Anthony Palmisano,6/4/2026,1.00
3005,Usa Wine Traders (Wanaque),2509,Corona Light 1/24/12 oz Loose Btl,Anthony Palmisano,6/4/2026,1.00
3005,Usa Wine Traders (Wanaque),2652,Victoria 2/12/12 oz Can,Anthony Palmisano,6/4/2026,1.00
3006,Wine 2 Spirits (P),2813,Modelo Negra 2/12/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
3006,Wine 2 Spirits (P),2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/9/2026,1.00
3006,Wine 2 Spirits (P),2827,Modelo Chelada Pina Picante 1/12/24 oz Can,Anthony Palmisano,6/9/2026,1.00
4002,Bloomingdale Discount Liq,2415,Corona Extra 1/12/24 oz Can,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2416,Corona Familiar 1/12/32 oz Btl,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2416,Corona Familiar 1/12/32 oz Btl,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2651,Victoria 2/12/12 oz Btl,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2652,Victoria 2/12/12 oz Can,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2652,Victoria 2/12/12 oz Can,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2654,Victoria 1/12/32 oz Btl,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2654,Victoria 1/12/32 oz Btl,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2817,Modelo Especial 1/12/32 oz Btl,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2817,Modelo Especial 1/12/32 oz Btl,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/3/2026,1.00
4002,Bloomingdale Discount Liq,2821,Modelo Chelada Limon y Sal 1/12/24 oz Can,Anthony Palmisano,6/12/2026,1.00
4002,Bloomingdale Discount Liq,2828,Modelo Chelada Limon y Sal 2/12/12 oz Can,Anthony Palmisano,6/12/2026,1.00
4005,Turnpike Discount Liquors,2415,Corona Extra 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
