Customer ID,Customer Name,Product ID,Product Name,Sales Rep Assigned,Load Sheet Date,Innovation SKUs Placements
1003,23 liquor & Tobacco,2426,Corona Sunbrew 4/6/12 oz Btl,Klejdi Lamo,6/3/2026,1.00
1003,23 liquor & Tobacco,9053,Corona Non-Alcoholic 4/6/12 oz Btl,Klejdi Lamo,6/9/2026,1.00
1012,Uncorked Wines & Spirits (West Milford),9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/8/2026,1.00
1015,Greenwood Lake Disc.(P),2426,Corona Sunbrew 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
2003,Ringwood W&L,9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
4002,Bloomingdale Discount Liq,9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/3/2026,1.00
4005,Turnpike Discount Liquors,2656,Victoria Vicky Mango 1/12/24 oz Can,Anthony Palmisano,6/5/2026,1.00
4005,Turnpike Discount Liquors,2842,Modelo Chelada Suprema Mangonada 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
4009,Usa Wine Traders Club (Bloomingdale),9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
5001,River Place Food Store,2428,Corona Sunbrew 1/12/24 oz Can,Anthony Palmisano,6/12/2026,1.00
5006,Roserne Pkg Store South,9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/9/2026,1.00
8002,Country Convenience Store,2842,Modelo Chelada Suprema Mangonada 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
8008,Shoppers Disc(A)Pompton,2427,Corona Sunbrew 2/12/12 oz Btl,Anthony Palmisano,6/2/2026,1.00
8008,Shoppers Disc(A)Pompton,9053,Corona Non-Alcoholic 4/6/12 oz Btl,Anthony Palmisano,6/5/2026,1.00
8009,Appio's Liquors,2656,Victoria Vicky Mango 1/12/24 oz Can,Anthony Palmisano,6/4/2026,1.00
10003,Buy Rite W &L Pompton(P),2842,Modelo Chelada Suprema Mangonada 1/12/24 oz Can,Anthony Palmisano,6/2/2026,1.00
