Sales Rep Name,Brand Family,Package,Customer Num Company,New Buyers,Current Units
Allison Scott,Corona Light,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,1,1
Allison Scott,Modelo Especial,15.5 Gal Keg,17003 D'CARBON BAR AND GRILL haledon,1,1
Anthony Palmisano,Modelo Especial,15.5 Gal Keg,1214 Whiskey Wolf Tavern (P),1,1
Chris Payton,Corona Light,1/4 BBL Keg (7.75 Gal),76010 Usa Wine Traders Club (Saddle Brook),1,2
Chris Payton,Modelo Especial,15.5 Gal Keg,45005 Colonial Bar,1,1
Chris Politano,Modelo Especial,15.5 Gal Keg,31037 Delaware North Met Life Stadium,1,20
Jayson Romine,Modelo Especial,15.5 Gal Keg,230121 White Deer Inn,1,1
Jayson Romine,Pacifico,1/4 BBL Keg (7.75 Gal),230412 USA Wine Traders Club Of Newton (A),1,1
Jim Heaney,Modelo Especial,1/4 BBL Keg (7.75 Gal),29003 Liquor Shed,1,1
Matt Powierski,Modelo Especial,15.5 Gal Keg,31060 Bottle Republic (Rutherford),1,1
Mike Ast,Modelo Especial,1/4 BBL Keg (7.75 Gal),83003 Beekman's Wines and Liquors,1,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,34002 Heights Bar (P),1,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,37019 BJ Polonia,1,1
Robin Feldman,Corona Light,1/4 BBL Keg (7.75 Gal),191219 Berkshire Valley Gc,1,2
Robin Feldman,Modelo Especial,1/4 BBL Keg (7.75 Gal),38043 K Of C Lodi,1,1
Robin Feldman,Modelo Especial,15.5 Gal Keg,12046 Packanack Lake Comm Asso,1,3
Shane Barreca,Corona Light,1/4 BBL Keg (7.75 Gal),73003 Bottle King (A) Hillsdale,1,1
Shane Barreca,Corona Light,1/4 BBL Keg (7.75 Gal),92011 Bottle King (A) Ramsey,1,1
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),1005 Grasshopper Irish Pub (A),0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),12022 Grasshopper Too (A),0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),13002 The Little Falls Tavern,0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),15004 Blackjack Mulligan's Public House,0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),15074 Bask 46,0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),17006 The Yard,0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),24019 Sharky's Wings(P),0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),3002 The Celtic Knot,0,0
Allison Scott,Corona Light,1/4 BBL Keg (7.75 Gal),7003 Blu Ale House,0,0
Allison Scott,Corona Light,15.5 Gal Keg,8015 Thatcher Mc Ghees (A),0,0
Allison Scott,Corona Premier,1/4 BBL Keg (7.75 Gal),12057 YARD HOUSE 8384,0,2
Allison Scott,Corona Premier,1/4 BBL Keg (7.75 Gal),19004 Shortways' Barn (A),0,0
Allison Scott,Corona Premier,1/4 BBL Keg (7.75 Gal),7003 Blu Ale House,0,0
Allison Scott,Corona Premier,15.5 Gal Keg,12057 YARD HOUSE 8384,0,1
Allison Scott,Corona Premier,15.5 Gal Keg,25077 Chevy's Fresh Mex (A)Clif,0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),10001 cherry's,0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),12040 NYX,0,-1
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),12048 Anthonys CF Pizza (Wayne),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),12056 PF Changs China Bistro (Wayne),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),13003 Maggie's Town Tav.(P),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),13015 Rare The Steakhouse (Z),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),13018 Chili's Little Falls,0,5
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),15074 Bask 46,0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),17001 Underdog Lounge(P),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),19002 Puzo's Pizza,0,-1
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),19011 Las Maravillas Restaurant,0,1
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),21043 Duffy's Tavern (Z),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),22004 Neighbors,0,-1
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),24019 Sharky's Wings(P),0,2
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),24054 Upper Montclair Cc (A),0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),25052 Uno Chicago Grl (A)Clifto,0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),5003 Applebee's (A)Butler,0,0
Allison Scott,Modelo Especial,1/4 BBL Keg (7.75 Gal),58005 Feathers (A),0,0
Allison Scott,Modelo Especial,15.5 Gal Keg,1005 Grasshopper Irish Pub (A),0,0
Allison Scott,Modelo Especial,15.5 Gal Keg,11007 Meadows Golf Club(P),0,0
