Customer Num & Company,Case Equiv   1/1/2025 - 7/31/2025,Case Equiv   1/1/2026 - 7/31/2026,Case Equiv Unit Difference,Case Equiv Percentage Difference
11003 Lincoln Park Fine Wines & Spirits,12876.22,12921.27,45.05,0.3%
13017 On The Rocks,1848.11,3279.27,1431.16,77.4%
15013 El Oasis,8730.45,7103.73,-1626.72,-18.6%
15040 Legacy Bar & Liquor,1151.48,1309.14,157.66,13.7%
15059 Belmont Liqrs (P),2714.60,2898.38,183.78,6.8%
190913 Main Street Liquor,3577.76,4259.22,681.45,19.0%
20014 Bombolon Liquor & Grocery,7439.21,6702.24,-736.97,-9.9%
20051 Costambar Bar & Liquor Corp.,238.46,2277.75,2039.29,855.2%
20106 Super Wine Warehse(P)Pate,39722.72,36563.29,-3159.43,-8.0%
208026 Stew Leonard's(A) Paramu (NA),1921.00,1240.00,-681.00,-35.5%
21021 Park Avenue Liquors,3217.87,3031.47,-186.40,-5.8%
21023 Luna Liquors,7786.54,8638.79,852.25,10.9%
21024 Altiero Liquors,1430.41,3262.01,1831.60,128.0%
21033 The Liquor Shop,18078.12,19178.02,1099.90,6.1%
21044 Farm Boy,10687.13,10803.74,116.62,1.1%
21045 Dorta Liquor (A),7105.77,6942.69,-163.07,-2.3%
22032 Economy Liquors,14793.50,14615.96,-177.54,-1.2%
23003 Pete's Liquors,3044.20,3295.17,250.97,8.2%
23004 Shop Rite Wines/Spirits,19114.67,18093.75,-1020.92,-5.3%
23006 46 Discount Liquor Store,8945.38,9172.79,227.41,2.5%
24011 Shoppers Vineyard (A),27732.29,29469.61,1737.33,6.3%
24017 Rainbow Liquor (P),8330.04,8452.22,122.18,1.5%
25008 Clifton Commons S & W,12612.23,12709.89,97.66,0.8%
25010 Stew Leonard's Wines & Spirits of Clifton,9749.20,7947.74,-1801.45,-18.5%
25012 Bottle Liquor (P),10903.98,11178.83,274.85,2.5%
27008 Bermuda Liquors (P),7863.79,7656.97,-206.82,-2.6%
27034 Liquor Stop (Passaic),5658.64,5615.96,-42.67,-0.8%
27037 Shanik Liqs.(P),9307.44,9017.33,-290.11,-3.1%
27046 New Eagle Liquors,11976.84,11148.49,-828.35,-6.9%
27063 Archies (P),8381.91,7603.77,-778.14,-9.3%
27066 Sunny's Liqs.(P),10479.21,10044.63,-434.58,-4.1%
28011 Liquor Mart (North Arlington),3057.15,2898.08,-159.06,-5.2%
28012 Lucky 7 (A),10354.86,9684.42,-670.44,-6.5%
29003 Liquor Shed,5022.75,4197.14,-825.61,-16.4%
29008 Krauszers Food,806.62,780.95,-25.67,-3.2%
29011 World of Wine & Liquor,4222.31,4927.96,705.66,16.7%
31033 Capri Deli&Liq (P),4309.44,3946.89,-362.55,-8.4%
31060 Bottle Republic (Rutherford),,6677.37,6677.37,0.0%
32017 Wine Grand (Carlstadt),5098.44,4137.65,-960.79,-18.8%
34001 Meadowland Wine & Liquor,1571.75,1328.31,-243.45,-15.5%
34007 Liquor Masters (P),2600.19,2478.33,-121.87,-4.7%
36006 Wallington Liquor and Wine,2439.19,2718.31,279.12,11.4%
36007 Shop Rite Of Wallington,9702.59,9805.16,102.57,1.1%
38007 Garden Liquors (P),15220.83,15886.52,665.69,4.4%
38019 Circle Liquors,1776.06,1996.90,220.84,12.4%
43001 City Supermarket,8741.22,9152.05,410.83,4.7%
45004 Ridgefield Liq (Z),2875.78,2715.37,-160.41,-5.6%
46033 Discount Lqr(A) Outlet,8667.27,7514.10,-1153.17,-13.3%
47004 Wides Deli & Liquor,1349.11,1101.95,-247.16,-18.3%
47005 Exquisite W & L (A),8329.25,8790.19,460.94,5.5%
48002 Manor Wine & Liquor,2171.22,1973.98,-197.25,-9.1%
49019 Bp Gas Station,2557.47,2498.53,-58.94,-2.3%
49055 Edgewater Liquor (A),6180.39,6085.40,-94.99,-1.5%
5001 River Place Food Store,6301.28,5933.13,-368.14,-5.8%
50016 Teaneck Quickshop(P)Conv,4747.41,5073.84,326.43,6.9%
52015 Shop Rite Liq (A)Englewd,23686.32,23140.26,-546.05,-2.3%
52025 Englewood Wine and Spirits,2523.30,2647.08,123.78,4.9%
54006 Tenafly Fine Wine & Spirits,4922.04,3905.62,-1016.42,-20.7%
62009 Gary's Wine & Marketplace (Closter),5919.60,5675.55,-244.05,-4.1%
67005 Shoprite Liq (A)Northvle,15116.09,15469.61,353.52,2.3%
7001 Home Wine and Liquors,,1254.29,1254.29,0.0%
73008 Shop Rite Liq (A)Hillsdal,13286.94,13595.64,308.70,2.3%
76006 Wine Country Of Saddle Brook (A),3780.63,3736.67,-43.96,-1.2%
77001 Food Mart Liquor,911.47,842.65,-68.82,-7.6%
77002 Birchwood Liq & Deli (Z),4656.83,4673.27,16.44,0.4%
77012 Payless Liquor & Dell,2591.63,2213.08,-378.55,-14.6%
77016 Metro Liquor (Elmwood Park),8494.46,8623.26,128.80,1.5%
79002 Hollywd Liq&Deli (A),2590.24,2453.72,-136.52,-5.3%
80005 Shop Rite Liq (Paramus),10010.46,9547.08,-463.38,-4.6%
81001 B & B Liquors (Fair Lawn),3935.14,3479.71,-455.43,-11.6%
81014 Shop Rite Liq(A) Fair Lwn,13379.84,13447.54,67.70,0.5%
83001 Food Universe Marketplace,7784.93,8626.43,841.50,10.8%
83010 Bottle King (A) Glen Rock,32269.93,31338.77,-931.16,-2.9%
