Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
21044,Farm Boy,Fosters,6/5/2026,,6.35,6.35,0.0%,,$141.00,$141.00,0.0%,,$37.96,$37.96,0.0%
21044,Farm Boy,White Claw,1/21/2026,,3.00,3.00,0.0%,,$103.80,$103.80,0.0%,,$30.03,$30.03,0.0%
21044,Farm Boy,Heineken 0.0,3/12/2026,,1.87,1.87,0.0%,,$70.00,$70.00,0.0%,,$23.46,$23.46,0.0%
21044,Farm Boy,Heineken 0.0,6/23/2026,,0.93,0.93,0.0%,,$35.00,$35.00,0.0%,,$11.97,$11.97,0.0%
21044,Farm Boy,Mike's Hard Lemonade,2/4/2026,,7.47,7.47,0.0%,,$264.00,$264.00,0.0%,,$80.46,$80.46,0.0%
21044,Farm Boy,Modelo Chelada,5/5/2026,,14.33,14.33,0.0%,,$431.90,$431.90,0.0%,,$106.14,$106.14,0.0%
21044,Farm Boy,Heineken 0.0,1/30/2026,,6.54,6.54,0.0%,,$221.05,$221.05,0.0%,,$59.82,$59.82,0.0%
21044,Farm Boy,Aguila,1/30/2026,,3.00,3.00,0.0%,,$80.40,$80.40,0.0%,,$22.15,$22.15,0.0%
21044,Farm Boy,Amstel,6/5/2026,,1.00,1.00,0.0%,,$35.00,$35.00,0.0%,,$11.25,$11.25,0.0%
21044,Farm Boy,Corona Familiar,4/23/2025,22.00,,-22.00,-100.0%,$674.25,,($674.25),-100.0%,$189.91,,($189.91),-100.0%
21044,Farm Boy,Corona Light,5/1/2026,,1.00,1.00,0.0%,,$31.50,$31.50,0.0%,,$8.87,$8.87,0.0%
21044,Farm Boy,Heineken 0.0,4/17/2025,2.80,,-2.80,-100.0%,$94.45,,($94.45),-100.0%,$25.88,,($25.88),-100.0%
21044,Farm Boy,Corona Familiar,3/19/2026,,7.33,7.33,0.0%,,$210.80,$210.80,0.0%,,$60.32,$60.32,0.0%
21044,Farm Boy,Cristal,4/17/2025,1.00,,-1.00,-100.0%,$25.80,,($25.80),-100.0%,$7.13,,($7.13),-100.0%
21044,Farm Boy,Heineken Light,6/12/2025,10.00,,-10.00,-100.0%,$313.50,,($313.50),-100.0%,$79.80,,($79.80),-100.0%
21044,Farm Boy,Four Loko,6/19/2025,0.98,,-0.98,-100.0%,$27.00,,($27.00),-100.0%,$7.56,,($7.56),-100.0%
21044,Farm Boy,Peroni,5/19/2026,,0.93,0.93,0.0%,,$38.00,$38.00,0.0%,,$11.17,$11.17,0.0%
21044,Farm Boy,Yuengling Lager,5/5/2026,,1.00,1.00,0.0%,,$28.00,$28.00,0.0%,,$8.82,$8.82,0.0%
21044,Farm Boy,Coors,4/15/2026,,7.00,7.00,0.0%,,$136.70,$136.70,0.0%,,$37.72,$37.72,0.0%
21044,Farm Boy,White Claw,6/9/2026,,6.00,6.00,0.0%,,$193.20,$193.20,0.0%,,$53.34,$53.34,0.0%
