Sales Rep Assigned,On-Off Premise,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Buyer Count   6/1/2026 - 8/31/2026
Alex Rodriguez,Off Premise,250131,Liquor Gallery (Elizabeth),131 Elmora Ave,Elizabeth,Union,1.00
Alex Rodriguez,On Premise,150641,Otg Management Ewr,1 Terminal C Newark Liberty or,Newark,Essex,1.00
Alex Rodriguez,Off Premise,250129,Super Value Liquors,224 Rahway Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,150155,L Town Liquors,214 N. Livingston Ave,Livingston,Essex,1.00
Alex Rodriguez,Off Premise,250187,Urena Liquors,416 Morris Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250132,Butlers Liquor Store,182 Elmora Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250141,Ben Franklin Liquor,332 East Front St,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250191,Roselle Park Liquors,117 W. Colfax Ave,Roselle Park,Union,1.00
Alex Rodriguez,Off Premise,250186,Gail's Wine And Spirits,200 Broad St,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250070,Pereira's Liquor,318 Morris Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250047,Wine Cellar,808 Spring Street,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250149,South Ave Liquors,1111 South Ave,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250059,Payless Liquor,1041 Elizabeth Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250300,Jackson Liquors,426 Jackson Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250068,Jakob Liquors,1114-1126 Elizabeth Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,150153,Wine Depot Of Livingston,603 S Livingston Ave,Livingston,Essex,1.00
Alex Rodriguez,Off Premise,250128,Liquor Depot,435 Rahway Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250082,Pickwick Liquor Shop,707 Park Ave,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,150012,Kings Super Markets,778 Morris Turnpike,Short Hills,Essex,1.00
Alex Rodriguez,Off Premise,250188,Second Street Liquors,261 2nd St,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250153,T & J Liquor,1201 E St George Ave,Roselle,Union,1.00
Alex Rodriguez,Off Premise,250302,New Silver Key Liquor 4,594 Pennsylvania Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250036,Watchung Liquor (P),131 Park Ave,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250080,Crown Liquors,711 E. 1st Ave,Roselle,Union,1.00
Alex Rodriguez,Off Premise,250152,C & B Liquors,221 Sheridan Ave,Roselle,Union,1.00
Alex Rodriguez,Off Premise,260007,Path Discount Liquors,127 New Brunswick Ave.,Hopelawn,Middlesex County,1.00
Alex Rodriguez,Off Premise,260003,US1 Discount Liquor,585 Fayette St,Perth Amboy,Middlesex County,1.00
Alex Rodriguez,Off Premise,150118,Wine Legend,277 Eisenhower Pkwy,Livingston,Essex,1.00
Alex Rodriguez,Off Premise,250049,New Seaport Liquors,184 3rd St,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250308,Super Discount Liquors,825 Rahway Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250140,Station Liquors,405 Park Ave,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,150609,Home Liquors(465 Newark),465 Orange St,Newark,Essex,1.00
Alex Rodriguez,Off Premise,250053,Liquor Basics,585 Raritan Road,Roselle,Union,1.00
Alex Rodriguez,On Premise,253002,Golden Anchor Bar,1217 W Front St,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250147,Rye House Spirits,1472 East Front Rd,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,260005,Bay City Liquors,475 Smith St,Perth Amboy,Middlesex County,1.00
Alex Rodriguez,On Premise,253003,Tequila Club,315 E 5th St.,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250151,Paul & Joe Deli And Liq,500 Chandler Ave,Roselle,Union,1.00
Alex Rodriguez,Off Premise,250056,Continental Wine/Liq,840 Elizabeth Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,253000,Leland Liquor & Deli,296-298 Leland Ave,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250193,Bella Wine and Spirits,122 E Westfield Ave,Roselle Park,Union,1.00
Alex Rodriguez,Off Premise,250135,Garcias Liquor Depot,309 Westfield Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250130,Westminster Liquors,404 N Broad St,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250137,Elmora Liquors,615 Westfield Ave,Elizabeth,Union,1.00
