Sales Rep Name,Brand Family,Package,Customer Num Company,New Buyers,Current Units
Nick Melissari,Pacifico,15.5 Gal Keg,96010 Aldo's Italian Rest(Z),12,423
Nick Melissari,Modelo Especial,15.5 Gal Keg,94012 Holiday Bowl,6,220
Nick Melissari,Modelo Especial,15.5 Gal Keg,31056 H Mart Inc (Space A103),1,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,34002 Heights Bar (P),1,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,37019 BJ Polonia,1,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,45019 Twobox Chicken Ridgefield,1,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,49063 COV,1,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,80042 Olive Garden Paramus,1,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,19006 Blackjack Mulligans (Hawthorne),0,8
Nick Melissari,Modelo Especial,15.5 Gal Keg,28008 Tavern On Ridge,0,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,30026 Simulcast,0,5
Nick Melissari,Modelo Especial,15.5 Gal Keg,31006 The Roosevelt,0,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,31020 Chili's B & G E Rutherfor,0,10
Nick Melissari,Modelo Especial,15.5 Gal Keg,31026 Rockafella's,0,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,31039 Yard House 8390,0,18
Nick Melissari,Modelo Especial,15.5 Gal Keg,31043 House of Que (East Rutherford),0,12
Nick Melissari,Modelo Especial,15.5 Gal Keg,31055 The Game Room,0,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,32005 Biggies (A),0,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,32010 Segovia Meson,0,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,32023 Redd's Rest (Z),0,20
Nick Melissari,Modelo Especial,15.5 Gal Keg,36014 Viva Margarita Wallington,0,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,37034 Blackjack Mulligans(P) (Garfield),0,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,38020 Lodi Lanes (A),0,0
Nick Melissari,Modelo Especial,15.5 Gal Keg,38025 Rebar (Z),0,0
Nick Melissari,Modelo Especial,15.5 Gal Keg,38039 Hilltop Tav.(Z),0,2
Nick Melissari,Modelo Especial,15.5 Gal Keg,39017 Bj's Rest & Brewhouse(A),0,6
Nick Melissari,Modelo Especial,15.5 Gal Keg,39018 Texas Roadhouse,0,12
Nick Melissari,Modelo Especial,15.5 Gal Keg,41013 Viva Margarita Hackensack,0,8
Nick Melissari,Modelo Especial,15.5 Gal Keg,41016 Cheesecake Fact (A)Hacken,0,5
Nick Melissari,Modelo Especial,15.5 Gal Keg,41026 Amc- Shops @ Riverside P,0,7
Nick Melissari,Modelo Especial,15.5 Gal Keg,41033 Applebee's (A) Hackensack,0,0
Nick Melissari,Modelo Especial,15.5 Gal Keg,49013 Cuba 57,0,1
Nick Melissari,Modelo Especial,15.5 Gal Keg,49085 Tommy's Tavern + Tap (Edgewater),0,15
Nick Melissari,Modelo Especial,15.5 Gal Keg,77003 Blue 42 Restaurant & Bar,0,13
Nick Melissari,Modelo Especial,15.5 Gal Keg,77031 Parkway Lanes,0,0
Nick Melissari,Modelo Especial,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),0,9
Nick Melissari,Modelo Especial,15.5 Gal Keg,80007 The Orange Lantern,0,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,80009 Houlihans (Para)(A),0,3
Nick Melissari,Modelo Especial,15.5 Gal Keg,80012 California Pizza Paramus,0,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,80018 Millers Paramus Ale House,0,11
Nick Melissari,Modelo Especial,15.5 Gal Keg,88003 W's Village Grille,0,4
Nick Melissari,Modelo Especial,15.5 Gal Keg,92010 Houlihan's Ramsey,0,2
Nick Melissari,Modelo Especial,15.5 Gal Keg,93005 Mason Jar Restaurant,0,6
Nick Melissari,Modelo Especial,15.5 Gal Keg,94012 Holiday Bowl,0,0
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),96010 Aldo's Italian Rest(Z),2,123
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),38025 Rebar (Z),1,1
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),78014 Longhorn Steak Rochele Pk,1,3
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),29036 Mr.Bruno's,0,2
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),31027 New Park Tav (A),0,-1
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),31045 Dream Bar,0,0
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),32015 Cjd 2l Corp(Sofive),0,38
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),37019 BJ Polonia,0,6
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),49022 El asadero Mexican Grill (Fort Lee),0,9
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),77003 Blue 42 Restaurant & Bar,0,3
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),78017 El Asadero Mexican Grill (Rochelle Park),0,0
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),80040 Biagio's,0,-1
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),80042 Olive Garden Paramus,0,2
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),80054 Chili's Paramus,0,19
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),80057 On The Border Paramus,0,0
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),85003 Arturo's Restaurnt,0,1
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),89002 Allendale Bar & Grill,0,-1
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),92002 Anthony's CF Pizza (A) (Ramsey),0,0
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),92006 Chili's Ramsey (A),0,14
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),96006 Blue Moon Mexican Cafe,0,25
Nick Melissari,Modelo Especial,1/4 BBL Keg (7.75 Gal),96010 Aldo's Italian Rest(Z),0,3
Nick Melissari,Pacifico,15.5 Gal Keg,93005 Mason Jar Restaurant,2,24
Nick Melissari,Pacifico,15.5 Gal Keg,36014 Viva Margarita Wallington,1,2
Nick Melissari,Pacifico,15.5 Gal Keg,78017 El Asadero Mexican Grill (Rochelle Park),1,1
Nick Melissari,Pacifico,15.5 Gal Keg,31039 Yard House 8390,0,7
Nick Melissari,Pacifico,15.5 Gal Keg,31056 H Mart Inc (Space A103),0,3
