Sales Rep Assigned,Customer Num Name,Product Num Name,Brand Family,Load Sheet Date,Buyer Count   3/1/2026 - 5/31/2026,Units   3/1/2026 - 5/31/2026,Buyer Count   9/1/2026 - 11/30/2026,Units   9/1/2026 - 11/30/2026
Allison Scott,"12065 Buffalo Wild Wings - Wayne, NJ",2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,4/2/2026,1.00,0.00,,
Allison Scott,13002 The Little Falls Tavern,2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,5/27/2026,1.00,1.00,,
Allison Scott,25077 Chevy's Fresh Mex (A)Clif,2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,9/3/2026,,,1.00,1.00
Allison Scott,25077 Chevy's Fresh Mex (A)Clif,2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,4/2/2026,1.00,0.00,,
Allison Scott,5003 Applebee's (A)Butler,2804 Modelo Especial 7.75 Gal Keg,Modelo Especial,5/14/2026,1.00,1.00,,
Allison Scott,7003 Blu Ale House,2517 Corona Light 7.75 Gal Keg,Corona Light,3/16/2026,1.00,1.00,,
Allison Scott,15006 Great Notch Inn(Z),2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,5/4/2026,1.00,0.00,,
Allison Scott,15074 Bask 46,2517 Corona Light 7.75 Gal Keg,Corona Light,3/16/2026,1.00,1.00,,
Allison Scott,24026 Rock Bar,2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,3/11/2026,1.00,1.00,,
Allison Scott,"12034 Dave & Buster's Nj, Inc",2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,3/12/2026,1.00,2.00,,
Allison Scott,12037 Maggies Town Tavern Ii,2802 Modelo Especial 15.5 Gal Keg,Modelo Especial,5/4/2026,1.00,0.00,,
Allison Scott,13002 The Little Falls Tavern,2803 Modelo Negra 7.75 Gal Keg,Modelo Negra,3/2/2026,1.00,0.00,,
