Sales Rep Assigned,Customer Num Name,Product Num Name,Impact SKUs Placements   9/1/2025 - 11/30/2025,Impact SKUs Placements   9/1/2026 - 11/30/2026
Javier Melo,20069 Segundo's (P),2416 Corona Familiar 1/12/32 oz Btl,1.00,1.00
Javier Melo,21044 Farm Boy,2613 Pacifico 2/12/12 oz Can,1.00,
Javier Melo,20056 East Side Bar Liquors,2807 Modelito Especial 1/24/7 oz Loose Btl,1.00,1.00
Javier Melo,27037 Shanik Liqs.(P),2654 Victoria 1/12/32 oz Btl,1.00,1.00
Javier Melo,20021 Diamond Liquors (P),2835 Modelo Chelada 2/12/12 oz Can,1.00,1.00
Javier Melo,20117 El Cantaro Liquors,2403 Coronita Extra 2/12/7 oz Btl,1.00,1.00
Javier Melo,27002 President Liqrs (A),2813 Modelo Negra 2/12/12 oz Btl,1.00,1.00
Jayson Romine,230902 Buy Rite Liquors Franklin,2415 Corona Extra 1/12/24 oz Can,1.00,1.00
Jayson Romine,230420 Spring Street Liquors,2416 Corona Familiar 1/12/32 oz Btl,1.00,1.00
Javier Melo,21021 Park Avenue Liquors,2415 Corona Extra 1/12/24 oz Can,1.00,
Jim Heaney,24002 Swizzle Stick Liq (A),2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,1.00,1.00
Jim Heaney,24011 Shoppers Vineyard (A),2813 Modelo Negra 2/12/12 oz Btl,1.00,1.00
Jim Heaney,24020 US#1 Wine & Liquor,2652 Victoria 2/12/12 oz Can,1.00,1.00
Jim Heaney,25023 Clifton Wine & Liquor,2817 Modelo Especial 1/12/32 oz Btl,1.00,1.00
Jim Heaney,30006 Forest Dairy (A),2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,1.00,
Jim Heaney,29008 Krauszers Food,2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,1.00,1.00
Jim Heaney,29013 Lyndhurst Liquors (P),2613 Pacifico 2/12/12 oz Can,1.00,1.00
Jim Heaney,25017 Savers Club Liquor Locker,2817 Modelo Especial 1/12/32 oz Btl,1.00,1.00
Jim Heaney,29013 Lyndhurst Liquors (P),2654 Victoria 1/12/32 oz Btl,1.00,1.00
Phil Ernst,39001 Home Wines & Liq 75 (A) (South Hackensack),2832 Modelo Oro 2/12/12 oz Can,1.00,1.00
Shane Barreca,86003 Township Liq (P),2832 Modelo Oro 2/12/12 oz Can,1.00,1.00
Alisa Acciardi,29010 Paradise Liquors,2813 Modelo Negra 2/12/12 oz Btl,1.00,
Anthony Palmisano,3001 Best Cellars (Wanaque),2807 Modelito Especial 1/24/7 oz Loose Btl,1.00,1.00
Anthony Palmisano,7001 Home Wine and Liquors,2416 Corona Familiar 1/12/32 oz Btl,1.00,
Anthony Palmisano,9003 B & B Wine&Liq,2415 Corona Extra 1/12/24 oz Can,1.00,1.00
Chris Payton,34004 Princess Liquor's(P),2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,1.00,1.00
Chris Payton,35002 Woodridge Wines & Liq(A),2651 Victoria 2/12/12 oz Btl,1.00,
Chris Payton,38016 Lodi Liquor Store(P),2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,1.00,1.00
Chris Payton,38007 Garden Liquors (P),2654 Victoria 1/12/32 oz Btl,1.00,
