Sales Rep Assigned,Product Num Name,Customer Num Name,Modelo Gaintain SKUs Placements   9/1/2025 - 11/30/2025,Modelo Gaintain SKUs Placements   9/1/2026 - 11/30/2026
Anthony Palmisano,2809 Modelo Especial 1/24/12 oz Loose Can,8007 Krauszer's Liquor Wine and Spirits,1.00,1.00
Anthony Palmisano,2814 Modelo Especial 4/6/12 oz Btl,7001 Home Wine and Liquors,1.00,1.00
Chris Payton,2809 Modelo Especial 1/24/12 oz Loose Can,34001 Meadowland Wine & Liquor,,1.00
Dave Ehlers,2816 Modelo Especial 1/12/24 oz Can,57001 Barrel & Brew Bar & Liq,1.00,1.00
Derrick Laws,2811 Modelo Especial 2/12/12 oz Can,21045 Dorta Liquor (A),1.00,1.00
Derrick Laws,2814 Modelo Especial 4/6/12 oz Btl,20041 Yaremy Liquors,1.00,1.00
Derrick Laws,2816 Modelo Especial 1/12/24 oz Can,21050 Quis Queya Liquor(P),1.00,1.00
Derrick Laws,2809 Modelo Especial 1/24/12 oz Loose Can,21033 The Liquor Shop,1.00,1.00
Derrick Laws,2811 Modelo Especial 2/12/12 oz Can,20005 La Sorpresa Liq (P),1.00,1.00
Derrick Laws,2811 Modelo Especial 2/12/12 oz Can,20025 Mercer Bar & Liquors,1.00,1.00
Derrick Laws,2814 Modelo Especial 4/6/12 oz Btl,20066 J & B Bar & Liq (Z),1.00,1.00
Javier Melo,2811 Modelo Especial 2/12/12 oz Can,27034 Liquor Stop (Passaic),1.00,1.00
Jayson Romine,2809 Modelo Especial 1/24/12 oz Loose Can,230420 Spring Street Liquors,1.00,1.00
Jayson Romine,2811 Modelo Especial 2/12/12 oz Can,230902 Buy Rite Liquors Franklin,1.00,1.00
Mike Ast,2814 Modelo Especial 4/6/12 oz Btl,95004 Franklin Lake Liq,1.00,1.00
Pablo Lopez,2809 Modelo Especial 1/24/12 oz Loose Can,27005 #1 Liqrs (P),1.00,1.00
Matt Powierski,2809 Modelo Especial 1/24/12 oz Loose Can,36006 Wallington Liquor and Wine,1.00,1.00
Matt Powierski,2808 Modelo Especial 1/24/12 oz Loose Btl,42004 Wine And People,1.00,1.00
Jim Heaney,2815 Modelo Especial 2/12/12 oz Btl,24020 US#1 Wine & Liquor,1.00,1.00
Jim Heaney,2825 Modelo Especial 1/18/12 oz Can,25042 Town Liquors,1.00,1.00
Jim Heaney,2811 Modelo Especial 2/12/12 oz Can,24020 US#1 Wine & Liquor,1.00,1.00
