Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Alisa Acciardi,78002,Super K Food (A) Store,190 W Passaic St,Bergen,Bergen,Bergen,Rochelle Park,Off Premise,1,1255.00
Alisa Acciardi,29010,Paradise Liquors,500 Stuyvesant Ave,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,16182.55
Anthony Palmisano,3005,Usa Wine Traders (Wanaque),207 Ringwood Ave,Passaic-FF,Passaic-FF,Passaic,Wanaque,Off Premise,1,5165.00
Anthony Palmisano,1009,Hootch Hut (P),717 Otterhole Rd,Passaic-FF,Passaic-FF,Passaic,West Milford,Off Premise,1,1531.00
Anthony Palmisano,8008,Shoppers Disc(A)Pompton,744 Hamburg Tpke,Passaic,Passaic,Passaic,Pompton Lakes,Off Premise,1,5274.50
Anthony Palmisano,3006,Wine 2 Spirits (P),662 Ringwood Avenue,Passaic-FF,Passaic-FF,Passaic,Wanaque,Off Premise,1,4004.00
Anthony Palmisano,4009,Usa Wine Traders Club (Bloomingdale),29 Main St,Passaic,Passaic,Passaic,Bloomingdale,Off Premise,1,14100.00
Anthony Palmisano,7001,Home Wine and Liquors,92 RT 23,Morris 3,Morris 3,Morris,Riverdale,Off Premise,1,1278.00
Anthony Palmisano,1031,Highland Wine&Liquor Inc,1926 Union Valley Rd K,Passaic-FF,Passaic-FF,Passaic,Hewitt,Off Premise,1,16344.15
Anthony Palmisano,9003,B & B Wine&Liq,613 Newark Pompton Tpke,Morris 3,Morris 3,Morris,Pompton Plains,Off Premise,1,4765.00
Anthony Palmisano,231805,Meloi Liquors,10 NJ-23,Sussex,Sussex,Sussex,Montague,Off Premise,1,2415.00
Anthony Palmisano,4005,Turnpike Discount Liquors,139 Hamburg Turnpike,Passaic,Passaic,Passaic,Bloomingdale,Off Premise,1,7441.00
Anthony Palmisano,3001,Best Cellars (Wanaque),1069 Ringwood Ave,Passaic-FF,Passaic-FF,Passaic,Wanaque,Off Premise,1,10064.17
Anthony Palmisano,2003,Ringwood W&L,130 Skyline Drive,Passaic-FF,Passaic-FF,Passaic,Ringwood,Off Premise,1,7555.00
Anthony Palmisano,6002,Roserne Liquors North,1150 NJ-23,Morris 3,Morris 3,Morris,Kinnelon,Off Premise,1,5054.00
Anthony Palmisano,1012,Uncorked Wines & Spirits (West Milford),9 Marshall Hill Road,Passaic-FF,Passaic-FF,Passaic,West Milford,Off Premise,1,14375.00
Anthony Palmisano,8007,Krauszer's Liquor Wine and Spirits,714-716 Hamburg Tpke,Passaic,Passaic,Passaic,Pompton Lakes,Off Premise,1,7465.00
