Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Javier Melo,27077,Mojito Bar,159 Market St,Passaic,Passaic,Passaic,Passaic,On Premise,1,24763
Javier Melo,24051,La Bonita,394 Lexington Ave.,Sales,Sales,Passaic,Clifton,On Premise,1,13864.39
Javier Melo,20061,Seguidilla 56 Lounge & Liquors,227 Park Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,11122
Javier Melo,25053,Lamayoria Bar Restaurant,110 Ackerman Ave,Sales,Sales,Passaic,Clifton,On Premise,1,7526.96
Javier Melo,20055,Paruta's (A),89 Market St,Passaic,Passaic,Passaic,Paterson,On Premise,1,6535.5
Javier Melo,27009,La Rancherita,22 Jackson St,Passaic,Passaic,Passaic,Passaic,On Premise,1,5302.98
Javier Melo,26003,La Casona Cafe Restaurant Bar,829 Main Ave,Passaic,Passaic,Passaic,Passaic,On Premise,1,4297
Javier Melo,27144,La Fortaleza (Passaic),32 Market St,Passaic,Passaic,Passaic,Passaic,On Premise,1,3841
Javier Melo,27001,Fiesta Night Club(P),115 President St,Passaic,Passaic,Passaic,Passaic,On Premise,1,3713
Javier Melo,27094,El Anochecer,154 Passaic St,Passaic,Passaic,Passaic,Passaic,On Premise,1,3582
Javier Melo,27106,La Posada,334 Monroe St.,Sales,Sales,Passaic,Passaic,On Premise,1,3231.11
Javier Melo,27095,Club Sq (A),40 3rd St,Passaic,Passaic,Passaic,Passaic,On Premise,1,2577
Javier Melo,22065,Mambo Lounge (P),62-64 Dover St,Passaic,Passaic,Passaic,Paterson,On Premise,1,1716
Javier Melo,26020,El Alamo Bar,90 Lexington Ave,Sales,Sales,Passaic,Passaic,On Premise,1,1606
Javier Melo,20104,Roses Bar & Liquors,102 Market Street,Passaic,Passaic,Passaic,Paterson,On Premise,1,1501
Javier Melo,32011,La Fortaleza (Carlstadt),335 PATERSON PLANK ROAD,Sales,Sales,Bergen,Carlstadt,On Premise,1,1429
Javier Melo,27085,Cazadores Bar (Z) LLC,246 3rd St,Passaic,Passaic,Passaic,Passaic,On Premise,1,1005
Javier Melo,37066,La Fortaleza (Garfield),361 Midland Ave,Bergen,Bergen,Bergen,Garfield,On Premise,1,772
Javier Melo,27111,Davids' Place (P),361 Monroe St,Passaic,Passaic,Passaic,Passaic,On Premise,1,628
Javier Melo,20110,The Cathedral Restaurant,378 Main St,Passaic,Passaic,Passaic,Paterson,On Premise,1,593
Javier Melo,38046,La Fortaleza (Lodi),10 Route 46,Bergen,Bergen,Bergen,Lodi,On Premise,1,568
Javier Melo,27044,Clary's Restaurant & Bar,196 Monroe St,Passaic,Passaic,Passaic,Passaic,On Premise,1,538
Javier Melo,27108,Los Arcos (P) Rest.,305 Monroe St,Passaic,Passaic,Passaic,Passaic,On Premise,1,505
Javier Melo,24034,La Fortaleza (Clifton),590 Lexington Ave,Passaic,Passaic,Passaic,Clifton,On Premise,1,478
Javier Melo,21005,La Fuente Bar (A),43 Ellison Street,Passaic,Passaic,Passaic,Paterson,On Premise,1,461
Javier Melo,27018,Cantina Bar,165 Passaic St,Passaic,Passaic,Passaic,Passaic,On Premise,1,300
Javier Melo,15085,Reign,138 Belmont Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,300
Javier Melo,24018,Agave Cantina Mexicana,421 Piaget Ave,Passaic,Passaic,Passaic,Clifton,On Premise,1,277
Javier Melo,27039,Venus Bar & Restaurant,68 Central Ave,Passaic,Passaic,Passaic,Passaic,On Premise,1,255
Javier Melo,27051,Factory 220,220 Passaic St,Passaic,Passaic,Passaic,Passaic,On Premise,1,228
Javier Melo,27110,El Camaron Mazatleco,166 Market St,Sales,Sales,Passaic,Passaic,On Premise,1,213
Javier Melo,27055,Don Lalo Restaurant,879 Main Ave,Passaic,Passaic,Passaic,Passaic,On Premise,1,188
Javier Melo,36026,Agave Cocina Mexicana,32 Locust Ave,Bergen,Bergen,Bergen,Wallington,On Premise,1,119
Javier Melo,27053,Rumba Bar,234 Monroe St.,Passaic,Passaic,Passaic,Passaic,On Premise,1,93
Javier Melo,24042,Made in Miami Bar Bistro,39 Harding Ave,Passaic,Passaic,Passaic,Clifton,On Premise,1,72
Javier Melo,27119,El Chever (P),228 Washington Pl,Passaic,Passaic,Passaic,Passaic,On Premise,1,10
Javier Melo,37065,Voraz Fuision,68 Lanza Ave,Sales,Sales,Bergen,Garfield,On Premise,1,-1
Pablo Lopez,21038,Freddie's Dugout,16 3rd Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,19826.22
Pablo Lopez,25046,Jay Aldo's (Z) Bar & Pizz,40 Highland Ave,Passaic,Passaic,Passaic,Clifton,On Premise,1,18083.8
Pablo Lopez,22021,Super Korona (Z) Bar,991 Madison Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,10049.3
Pablo Lopez,21014,Ranchito Mi Peru,487 21st Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,8664.94
Pablo Lopez,21022,Costa Marina Lounge(A),182 Market St.,Passaic,Passaic,Passaic,Paterson,On Premise,1,3257.5
Pablo Lopez,22044,Los Cristales (Z),409 21st Ave,Passaic,Passaic,Passaic,Paterson,On Premise,1,3058
Pablo Lopez,20046,Circle Cafe (A),144 Washington St,Passaic,Passaic,Passaic,Paterson,On Premise,1,2980
Pablo Lopez,25040,Palenque Bar & Grill(A),283 Parker Ave,Passaic,Passaic,Passaic,Clifton,On Premise,1,2624.15
Pablo Lopez,20090,D'classico (P),58 Ellison St,Passaic,Passaic,Passaic,Paterson,On Premise,1,2308.1
Pablo Lopez,27070,Saritas Mexican Rest(A),82 President Street,Passaic,Passaic,Passaic,Passaic,On Premise,1,2000
Pablo Lopez,15018,Diana's Bar (Z),235 Grand St,Passaic,Passaic,Passaic,Paterson,On Premise,1,1716
Pablo Lopez,20130,412 Lounge & Latin Bar,410-412 Main St,Sales,Sales,Passaic,Paterson,On Premise,1,1519
