Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
Dave Ehlers,40022,Buy Rite Of Hackensack,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,9/2/2026,,,1.00,,,2.00
Anthony Palmisano,231805,Meloi Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,9/2/2026,,,1.00,,,3.00
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,1.00
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,0.00
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,0.00
Brian Sengebush,231715,Gyp's Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,0.00
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,9/1/2026,,,1.00,,,0.00
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,1.00
Anthony Palmisano,191207,Daily Planet (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,0.00
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,9/1/2026,,,1.00,,,0.00
Paul Mclaughlin,50008,101 Pub (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,9/1/2026,,,1.00,,,0.00
Anthony Palmisano,3001,Best Cellars (Wanaque),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/31/2026,,1.00,,,2.00,
Jayson Romine,230114,Liquor Factory III Sparta,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/31/2026,,1.00,,,2.00,
John O'Donoghue,190655,Sandy's Wine & Spirits (Flanders),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/28/2026,,1.00,,,2.00,
