Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Alex Rodriguez,150118,Wine Legend,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/26/2026,1.00,1.00,1.87,2.00
Alex Rodriguez,150155,L Town Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/25/2026,1.00,1.00,0.93,1.00
Alex Rodriguez,250193,Bella Wine and Spirits,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/26/2026,1.00,1.00,1.00,1.00
Alex Rodriguez,150012,Kings Super Markets,11640,Victory FestBier 4/6/12 oz Can,Case Beer,4/6/12oz Can,Victory,8/19/2026,1.00,1.00,1.00,1.00
Alex Rodriguez,250135,Garcias Liquor Depot,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/7/2026,1.00,1.00,1.87,2.00
Alex Rodriguez,150155,L Town Liquors,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/25/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,152039,Cottage Liquors,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/25/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,150052,Bottle King Glen Ridge,5324,Great Lakes Oktoberfest 4/6/12 oz Can,Case Beer,4/6/12oz Can,Great Lakes,8/12/2026,1.00,1.00,5.00,5.00
Alisa Acciardi,171016,Wine Warehouse (P) (Bayonne),4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/14/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,150052,Bottle King Glen Ridge,10522,Weihenstephan Festbier 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Weihenstephaner,8/12/2026,1.00,1.00,9.34,10.00
Alisa Acciardi,152039,Cottage Liquors,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/25/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,150052,Bottle King Glen Ridge,5607,Flying Fish Oktoberfish 4/6/12 oz Can,Case Beer,4/6/12oz Can,Flying Fish,8/19/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,171318,Kearny Plaza Discount Liq,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,150052,Bottle King Glen Ridge,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,15.00,15.00
Alisa Acciardi,150052,Bottle King Glen Ridge,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,3.00,3.00
