Product ID,Product Name,Case Equiv   2026
8596,White Claw Hard Seltzer Variety 1/24/12 oz Loose Can,21182.00
8588,White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,20843.00
8600,White Claw Hard Seltzer Variety #3 2/12/12 oz Can,13851.00
8597,White Claw Hard Seltzer Variety #2 2/12/12 oz Can,10926.00
8581,White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,8109.00
8580,White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,7392.00
8577,White Claw Hard Seltzer Surge Variety #1 2/12/12 oz Can,6786.00
8585,White Claw Hard Seltzer Black Cherry 1/12/19.2 oz Can,6004.00
8628,White Claw Surge Variety #2 2/12/12 oz Can,4447.00
8550,Cayman Jack Margarita 4/6/11.2 oz Btl,3956.54
8559,Cayman Jack Margarita Variety 2/12/12 oz Can,3404.00
8592,White Claw Hard Seltzer Mango 1/12/19.2 oz Can,3399.20
8410,Mikes Hard Lemonade 4/6/11.2 oz Btl,3367.17
8619,White Claw Blackberry 4/6/12 oz Can,3294.00
8532,Cayman Jack Strawberry Margarita 4/6/11.2 oz Btl,3097.24
8582,White Claw Hard Seltzer Ruby Grapefruit 4/6/12 oz Can,2922.00
8586,White Claw Hard Seltzer Ruby Grapefruit 1/12/19.2 oz Can,2602.40
8450,Mikes Hard Black Cherry Lemonade 4/6/11.2 oz Btl,2548.03
8637,White Claw Clawtails Variety 2/12/12 oz Can,2499.00
8546,Cayman Jack Mango Margarita 4/6/12 oz Btl,2116.00
8481,Mikes Harder Lemonade 1/12/23.5 oz Can,2106.19
8476,Mikes Hard Strawberry Lemonade 4/6/11.2 oz Btl,2094.09
8454,Mikes Hard Party Kit Variety 2/12/11.2 oz Btl,1940.91
8623,White Claw Surge 8% Blood Orange 19.2 oz Can,1835.20
8639,White Claw Pineapple 4/6/12 oz Can,1624.00
8624,White Claw Surge 8% Cranberry 19.2 oz Can,1487.20
8551,Cayman Jack Margarita 2/12/12 oz Can,1242.00
8560,MXD Long Island Iced Tea 1/24/16 oz Loose Can,1180.00
8634,White Claw Hard Seltzer Peach 2/12/12 oz Can,1093.00
8626,White Claw Blackberry 1/12/19.2 oz Can,1059.20
8458,Mikes Harder Black Cherry 1/12/23.5 oz Can,1001.69
8451,Mikes Hard Mango Lemonade 4/6/11.2 oz Btl,899.47
8631,White Claw Peach 1/12/19.2 oz Can,824.80
86004,Mike's Hard Pink Lemonade 4/6/12 oz Can,819.00
8632,White Claw Surge Blueberry 1/12/19.2 oz Can,789.60
8480,Mikes Harder Cranberry 1/12/23.5 oz Can,751.02
86005,Mike's Hard Mango Lemonade 4/6/12 oz Can,747.00
8431,Mikes Hard Peach Lemonade 4/6/11.2 oz Btl,746.29
8530,Cayman Jack Sweet Heat Margarita Variety 2/12/12 oz Can,738.00
8638,White Claw Surge Grape 1/12/19.2oz Can,704.00
8539,Cayman Jack Zero Sugar Margarita Variety 2/12/12 oz Can,684.00
8466,Mikes Harder Mango 1/12/23.5 oz Can,677.58
8409,Mikes Harder Pink Lemonade 1/12/23.5 oz Can,633.52
8427,Mikes Harder Variety 2/12/12 oz Can,619.00
9083,White Claw 0% Alc Variety Pack 2/12/12 oz Can,539.00
8504,Mike's Hard Lemonade Zero Sugar 4/6/11.2 oz Btl,494.10
86011,Mikes Hard Dirty Lemonade Variety 2/12/12 oz Can,476.00
200290,Ole Tequila Cocktail Variety 3/8/12 oz Can,472.00
8547,MXD Blue Hawaiian 1/24/16 oz Loose Can,449.33
8561,MXD Margarita 1/24/16 oz Loose Can,429.33
86003,Mike's Hard Peach Lemonade 4/6/12 oz Can,372.00
8538,Cayman Jacked Strawberry Margarita 1/12/19.2 oz Can,324.80
8460,Mikes Harder Strawberry Pineapple 1/12/23.5 oz Can,300.60
8537,Cayman Jacked Margarita 1/12/19.2 oz Can,286.40
8548,Cayman Jacked Tropical Margarita 1/12/19.2 oz Can,219.20
86006,Mike's Hard Strawberry Lemonade 4/6/12 oz Can,208.00
86008,Mike's Hard Lemonade Zero Sugar 4/6/12 oz Can,159.00
200288,Ole Tequila Cocktail Paloma 6/4/12 oz Can,105.00
86001,Mike's Hard Lemonade 4/6/12 oz Can,89.00
200286,Ole Tequila Cocktail Chili Mango 6/4/12 oz Can,75.00
86010,Mikes Hard Dirty Lemonade Dirty Lemon Secret 1/12/24 oz Can,74.00
86007,Mike's Hard Strawberry Lemonade 2/12/12 oz Can,71.00
86009,Mikes Hard Dirty Lemonade Dark Cherry Brew 1/12/24 oz Can,68.00
86002,Mike's Hard Black Cherry Lemonade 4/6/12 oz Can,41.00
8522,MXD Long Island Iced Tea 6/4/12 oz Can,38.00
200289,Ole Tequila Cocktail Paloma 1/12/19.2 oz Can,30.40
200287,Ole Tequila Cocktail Chili Mango 1/12/19.2 oz Can,26.40
8521,MXD Blue Hawaiian 6/4/12 oz Can,20.00
8523,MXD Margarita 6/4/12 oz Can,11.00
