Sales Rep Assigned,Customer Num & Company,On-Off Premise,Product Num & Name,Package,Date,Buyer Count   9/1/2026 - 10/31/2026,Units   9/1/2026 - 10/31/2026
Alisa Acciardi,152039 Cottage Liquors,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/3/2026,1.00,1.00
Alisa Acciardi,171001 Bridgeview Liquors,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Alisa Acciardi,171001 Bridgeview Liquors,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Alisa Acciardi,152039 Cottage Liquors,Off Premise,13407 Other Half Green Flowers DDH West Coast IPA 6/4/16 oz Can,6/4/16oz Can,9/3/2026,1.00,1.00
Alisa Acciardi,171001 Bridgeview Liquors,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Alisa Acciardi,170205 Buy-Rite Liquors,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Alisa Acciardi,152039 Cottage Liquors,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/3/2026,1.00,1.00
Alisa Acciardi,152039 Cottage Liquors,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/3/2026,1.00,1.00
Alisa Acciardi,170205 Buy-Rite Liquors,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Alisa Acciardi,152039 Cottage Liquors,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/3/2026,1.00,1.00
Alisa Acciardi,171001 Bridgeview Liquors,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Andrew Lundy,250011 Shop Rite of Westfield,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250143 Jersey Fine Wines,Off Premise,13407 Other Half Green Flowers DDH West Coast IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250012 Peterson's Wine Unltd,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250011 Shop Rite of Westfield,Off Premise,13407 Other Half Green Flowers DDH West Coast IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250024 Best Cellars (Summit),Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250136 M & M Liquors,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250143 Jersey Fine Wines,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250011 Shop Rite of Westfield,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250136 M & M Liquors,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250143 Jersey Fine Wines,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250011 Shop Rite of Westfield,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250143 Jersey Fine Wines,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250440 Metro Liquor (Linden),Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Andrew Lundy,250440 Metro Liquor (Linden),Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,2.00
Andrew Lundy,250048 Park Beverage,Off Premise,13407 Other Half Green Flowers DDH West Coast IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Andrew Lundy,250048 Park Beverage,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,2.00
Andrew Lundy,250440 Metro Liquor (Linden),Off Premise,13407 Other Half Green Flowers DDH West Coast IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,2.00
Andrew Lundy,250048 Park Beverage,Off Premise,13413 Other Half Broccoli DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Andrew Lundy,250440 Metro Liquor (Linden),Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,2.00
Andrew Lundy,250143 Jersey Fine Wines,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250048 Park Beverage,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,1.00
Andrew Lundy,250048 Park Beverage,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/2/2026,1.00,2.00
Andrew Lundy,250136 M & M Liquors,Off Premise,13410 Other Half All Citra Everything DDH Imperial IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,2.00
Andrew Lundy,250012 Peterson's Wine Unltd,Off Premise,13404 Other Half Forever Ever DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,254003 Drinq Linq The Liquor Store,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
Andrew Lundy,250011 Shop Rite of Westfield,Off Premise,13401 Other Half Green City DDH Hazy IPA 6/4/16 oz Can,6/4/16oz Can,9/1/2026,1.00,1.00
