Sales Rep Assigned,Customer Num & Company,On-Off Premise,Product Num & Name,Package,Date,Buyer Count   9/1/2026 - 10/31/2026,Units   9/1/2026 - 10/31/2026
Alisa Acciardi,150050 Fitzgerald 1928,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/10/2026,1.00,2.00
Allison Scott,13003 Maggie's Town Tav.(P),On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/8/2026,1.00,1.00
Allison Scott,25078 The Shannon Rose (A),On Premise,13405 Other Half Forever Ever DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/3/2026,1.00,1.00
Allison Scott,19006 Blackjack Mulligans (Hawthorne),On Premise,13415 Other Half Broccoli DDH Imperial IPA 5.2 Gal Keg,5.2 Gal Keg,9/3/2026,1.00,1.00
Allison Scott,12057 YARD HOUSE 8384,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/8/2026,1.00,1.00
Allison Scott,13003 Maggie's Town Tav.(P),On Premise,13415 Other Half Broccoli DDH Imperial IPA 5.2 Gal Keg,5.2 Gal Keg,9/8/2026,1.00,1.00
Allison Scott,12037 Maggies Town Tavern Ii,On Premise,13415 Other Half Broccoli DDH Imperial IPA 5.2 Gal Keg,5.2 Gal Keg,9/4/2026,1.00,1.00
Allison Scott,13003 Maggie's Town Tav.(P),On Premise,13412 Other Half All Citra Everything DDH Imperial IPA 5.2 Gal Keg,5.2 Gal Keg,9/8/2026,1.00,1.00
Allison Scott,19021 The Front Porch (Z),On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/2/2026,1.00,1.00
Allison Scott,9002 Tavern 5_2,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/2/2026,1.00,1.00
Allison Scott,19021 The Front Porch (Z),On Premise,13469 Other Half Snaps 5.2 Gal Keg,5.2 Gal Keg,9/2/2026,1.00,1.00
Allison Scott,10001 cherry's,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/8/2026,1.00,1.00
Brian Sengebush,230702 Hyde-Away Rest & Tap Room,On Premise,13406 Other Half Forever Ever DDH Hazy IPA 5.2 Gal Keg,5.2 Gal Keg,9/3/2026,1.00,1.00
Dylan Rubino,179013 Dublin Yard,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/10/2026,1.00,1.00
Dylan Rubino,170226 Ed & Mary's,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/3/2026,1.00,3.00
Jaime Colonna,170132 Cork City Pub,On Premise,13405 Other Half Forever Ever DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/3/2026,1.00,1.00
Jaime Colonna,173060 8th Street Tavern,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/9/2026,1.00,4.00
Jaime Colonna,170221 Hudson Hall(A),On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/9/2026,1.00,2.00
Jaime Colonna,170132 Cork City Pub,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/3/2026,1.00,1.00
John O'Donoghue,190649 Toby Grill and Bar,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/2/2026,1.00,2.00
Michael Harboy,150232 Avenue Bistro,On Premise,13405 Other Half Forever Ever DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/4/2026,1.00,1.00
Michael Harboy,151027 Halcyon Seafood Brasserie,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/3/2026,1.00,1.00
Mike Ast,84007 Steel Wheel Tavern,On Premise,13415 Other Half Broccoli DDH Imperial IPA 5.2 Gal Keg,5.2 Gal Keg,9/8/2026,1.00,1.00
Mike Ast,84012 Bareburger (Ridgewood),On Premise,13405 Other Half Forever Ever DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/2/2026,1.00,1.00
Mike Ast,83008 Glen Rock Ac Clb(P),On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/3/2026,1.00,1.00
Nick Melissari,49085 Tommy's Tavern + Tap (Edgewater),On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/8/2026,1.00,1.00
Nick Melissari,89002 Allendale Bar & Grill,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/2/2026,1.00,2.00
Paul Mclaughlin,85001 Eleven Central,On Premise,13402 Other Half Green City DDH Hazy IPA 15.5 Gal Keg,15.5 Gal Keg,9/2/2026,1.00,1.00
Paul Mclaughlin,69009 Rivervale Country Club,On Premise,13403 Other Half Green City DDH Hazy IPA 5.2 Gal Keg,1/4 BBL Keg (7.75 Gal),9/2/2026,1.00,1.00
