Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2025 - 8/31/2025,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2025 - 8/31/2025,Placement Count   8/1/2026 - 8/31/2026,Units   8/1/2025 - 8/31/2025,Units   8/1/2026 - 8/31/2026
Alisa Acciardi,29010,Paradise Liquors,3817,Sam Adams Boston Lager 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/29/2025,1.00,,1.00,,5.00,
Alisa Acciardi,29010,Paradise Liquors,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/29/2025,1.00,,1.00,,2.00,
Alisa Acciardi,29010,Paradise Liquors,3919,Sam Adams Octoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/29/2025,1.00,,1.00,,1.00,
Alisa Acciardi,29010,Paradise Liquors,4031,Sam Adams Juicy IPA 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/29/2025,1.00,,1.00,,1.00,
Alisa Acciardi,29010,Paradise Liquors,4046,Sam Adams Octoberfest 1/12/19.2 oz Can,Case Beer,12/19.2oz Can,Samuel Adams,8/29/2025,1.00,,1.00,,1.00,
Allison Scott,15074,Bask 46,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/1/2025,1.00,,1.00,,0.00,
Allison Scott,12057,YARD HOUSE 8384,3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/12/2025,1.00,,1.00,,2.00,
Allison Scott,24026,Rock Bar,3802,Sam Adams Boston Lager 5.2 Gal Keg,Keg Beer,1/6 BBL Keg (5.2 Gal),Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,14002,Applebee's (Totowa) (A),3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/21/2025,1.00,,1.00,,1.00,
Allison Scott,25052,Uno Chicago Grl (A)Clifto,3862,Sam Adams Octoberfest 5.2 Gal Keg,Keg Beer,1/6 BBL Keg (5.2 Gal),Samuel Adams,8/15/2025,1.00,,1.00,,2.00,
Allison Scott,24048,Dante's,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,7003,Blu Ale House,3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/4/2026,,1.00,,1.00,,1.00
Allison Scott,10010,Sunset Valley G C (A),3921,Sam Adams Octoberfest 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/6/2026,,1.00,,1.00,,2.00
Allison Scott,24022,Applebee's Clifton,3804,Sam Adams Boston Lager 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/1/2025,1.00,,1.00,,0.00,
Allison Scott,7005,Chili's (Riverdale),3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/29/2025,1.00,,1.00,,1.00,
Allison Scott,12057,YARD HOUSE 8384,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/1/2025,1.00,,1.00,,0.00,
Allison Scott,12022,Grasshopper Too (A),3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/15/2025,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),3812,Sam Adams Cherry Wheat 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/1/2025,1.00,,1.00,,0.00,
Allison Scott,14008,The Barnyard and Carriage House,3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/20/2025,1.00,,1.00,,1.00,
Allison Scott,24025,The Clif (P),3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,25050,Tio Taco & Tequila Bar,3862,Sam Adams Octoberfest 5.2 Gal Keg,Keg Beer,1/6 BBL Keg (5.2 Gal),Samuel Adams,8/20/2025,1.00,,1.00,,1.00,
Allison Scott,12041,Cheesecake Fact (A)Wayne,3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/20/2026,,1.00,,1.00,,1.00
Allison Scott,9002,Tavern 5_2,3818,Sam Adams Boston Lager 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/27/2025,1.00,,1.00,,1.00,
Allison Scott,10007,Bardis (P),3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/14/2026,,1.00,,1.00,,1.00
Allison Scott,5003,Applebee's (A)Butler,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,1005,Grasshopper Irish Pub (A),3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/1/2025,1.00,,1.00,,1.00,
Allison Scott,24019,Sharky's Wings(P),3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
Allison Scott,12037,Maggies Town Tavern Ii,3813,Sam Adams Octoberfest 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/13/2025,1.00,,1.00,,1.00,
Allison Scott,25052,Uno Chicago Grl (A)Clifto,3862,Sam Adams Octoberfest 5.2 Gal Keg,Keg Beer,1/6 BBL Keg (5.2 Gal),Samuel Adams,8/28/2025,1.00,,1.00,,1.00,
Allison Scott,3002,The Celtic Knot,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/3/2026,,1.00,,1.00,,0.00
