Sales Rep Name,Route,Account,Address,County,City,Prev Season CEs,Current Season LY CEs,Current Season CEs,As Of
Allison Scott,4,BOGEYS SPORTS PUB,"103 VALLEY RD, CLIFTON NJ",PASSAIC,CLIFTON,9.19,6.89,0.0,2026-09-08
Allison Scott,4,CHELAS RESTAURANT & BAR,"131 NEWARK POMPTON TPKE, LITTLE FALLS NJ",PASSAIC,LITTLE FALLS,20.67,6.89,0.0,2026-09-08
Allison Scott,4,DCARBON BAR & GRILL,"529 BELMONT AVE, HALEDON NJ",PASSAIC,HALEDON,2.3,0.0,0.0,2026-09-08
Allison Scott,4,FEATHERS,"77 KINDERKAMACK RD, RIVER EDGE NJ",BERGEN,RIVER EDGE,4.59,0.0,0.0,2026-09-08
Allison Scott,4,IN THE DRINK,"209 TOTOWA RD, WAYNE NJ",PASSAIC,WAYNE,13.78,0.0,0.0,2026-09-08
Allison Scott,4,NORTH JERSEY COUNTRY CLUB,"594 HAMBURG TPKE, WAYNE NJ",PASSAIC,WAYNE,4.59,11.48,0.0,2026-09-08
Allison Scott,4,PREAKNESS HILLS COUNTRY CLUB,"1050 RATZER RD, WAYNE NJ",PASSAIC,WAYNE,2.3,0.0,0.0,2026-09-08
Allison Scott,4,RARE,"440 MAIN ST, LITTLE FALLS NJ",PASSAIC,LITTLE FALLS,6.89,2.3,0.0,2026-09-08
Allison Scott,4,RED LOBSTER #255,"520 US HWY 46, WAYNE NJ",PASSAIC,WAYNE,11.48,4.59,0.0,2026-09-08
Allison Scott,4,SHANNON ROSE,"98 KINGSLAND RD, CLIFTON NJ",PASSAIC,CLIFTON,20.67,39.04,0.0,2026-09-08
Allison Scott,4,WAYNE ALE HOUSE & PIZZA,"611 RATZER RD, WAYNE NJ",PASSAIC,WAYNE,16.07,2.3,0.0,2026-09-08
Mike Ast,5,STONE & RAIL,"175 ROCK RD, GLEN ROCK NJ",BERGEN,GLEN ROCK,9.19,13.78,0.0,2026-09-08
Mike Ast,5,THE PARK WEST TAVERN,"30 OAK ST, RIDGEWOOD NJ",BERGEN,RIDGEWOOD,41.33,39.04,0.0,2026-09-08
Paul Mclaughlin,7,ANDIAMOS,"23 HARDENBURGH AVE, HAWORTH NJ",BERGEN,HAWORTH,4.59,0.0,0.0,2026-09-08
Paul Mclaughlin,7,ANDYS CORNER,"257 QUEEN ANNE RD, BOGOTA NJ",BERGEN,BOGOTA,2.3,0.0,0.0,2026-09-08
Paul Mclaughlin,7,AUMM AUMM AT THE BROWNSTONE,"22 NORDHOFF PL, ENGLEWOOD NJ",BERGEN,ENGLEWOOD,13.78,11.48,0.0,2026-09-08
Paul Mclaughlin,7,AXIA TAVERNA,"18 PIEDMONT RD, TENAFLY NJ",BERGEN,TENAFLY,2.3,0.0,0.0,2026-09-08
Paul Mclaughlin,7,BAREBURGER,"453 CHESTNUT RIDGE RD STE 23C, WOODCLIFF LAKE NJ",BERGEN,WOODCLIFF LAKE,13.78,6.89,0.0,2026-09-08
