Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   7/1/2026 - 8/31/2026,Placement Count   7/1/2026 - 8/31/2026,Cases   7/1/2026 - 8/31/2026,Units   7/1/2026 - 8/31/2026
Chris Payton,38021,Buy Rite Of Main St Lodi,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,0,1.00
Dan Lagala,49027,Linwood Wine-Linwood Plaza,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,1,6.00
Dave Ehlers,40022,Buy Rite Of Hackensack,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/29/2026,1.00,1.00,0,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/10/2026,1.00,1.00,2,12.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/10/2026,1.00,1.00,2,12.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/10/2026,1.00,1.00,2,12.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/10/2026,1.00,1.00,2,12.00
Derrick Laws,23004,Shop Rite Wines/Spirits,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/10/2026,1.00,1.00,2,12.00
Jayson Romine,231215,Mac & Lindy's W & S (A),200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/29/2026,1.00,1.00,0,1.00
Klejdi Lamo,190304,Shoppers Disc Liquor,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/21/2026,1.00,1.00,1,6.00
Klejdi Lamo,190304,Shoppers Disc Liquor,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/21/2026,1.00,1.00,1,6.00
Mike Ast,19008,Hawthorne Liq (A),200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/31/2026,1.00,1.00,0,1.00
Pablo Lopez,27015,Dona Maria Rest,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/24/2026,1.00,1.00,0,1.00
Pablo Lopez,27015,Dona Maria Rest,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/24/2026,1.00,1.00,0,1.00
Pablo Lopez,27015,Dona Maria Rest,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/24/2026,1.00,1.00,0,1.00
Pablo Lopez,27015,Dona Maria Rest,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/24/2026,1.00,1.00,0,1.00
Pablo Lopez,27015,Dona Maria Rest,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/24/2026,1.00,1.00,0,1.00
Paul Mclaughlin,86002,Doghouse Saloon (Z),200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,0,1.00
