Vendor,PO Num,Receive Date,Shipment Num,To Location,Status,Product,Product Name,Num Units,Ordered,Shelf Life,Expiration Date,Available
128,83178399,8/27/2026,83178399,Hawthorne,<b class=pill-orange>Received</b>,2410,Corona Extra 4/6/12 oz Btl,702.00,702.00,215,3/31/2027,22798
118,7000218154,8/27/2026,7000218154,Hawthorne,<b class=pill-orange>Received</b>,200671,Sun Cruiser Sampler Variety Pack 2/12/12 oz Can,104.00,104.00,338,8/1/2027,856
2,0012828981,8/27/2026,0012828981,Hawthorne,<b class=pill-orange>Received</b>,1201,Blue Moon Belgian White Ale 15.5 Gal Keg,252.00,252.00,80,11/16/2026,496
118,7000217505,8/27/2026,7000217505,Hawthorne,<b class=pill-white>Ordered</b>,200664,Sun Cruiser Lemonade Variety 3/8/12 oz Can,0.00,208.00,,,451
118,7000218154,8/27/2026,7000218154,Hawthorne,<b class=pill-orange>Received</b>,8692,Truly Hard Seltzer Berry Variety 2/12/12 oz Can,104.00,104.00,246,5/1/2027,481
2,0080765893,8/27/2026,0080765893,Hawthorne,<b class=pill-orange>Received</b>,119,Coors Banquet 1/18/12 oz Can,90.00,90.00,80,11/16/2026,298
128,83131631,8/27/2026,83131631,Hawthorne,<b class=pill-orange>Received</b>,2815,Modelo Especial 2/12/12 oz Btl,1400.00,1400.00,184,2/28/2027,13311
143,01379700,8/27/2026,01379700,Hawthorne,<b class=pill-orange>Received</b>,4764,Yuengling Flight Keg 15.5BBL,4.00,4.00,106,12/12/2026,11
128,83174059,8/27/2026,83174059,Hawthorne,<b class=pill-orange>Received</b>,2651,Victoria 2/12/12 oz Btl,432.00,432.00,184,2/28/2027,2928
118,7000218154,8/27/2026,7000218154,Hawthorne,<b class=pill-orange>Received</b>,8349,Twisted Tea Half & Half 2/12/12 oz Can,100.00,100.00,338,8/1/2027,295
118,7000218154,8/27/2026,7000218154,Hawthorne,<b class=pill-orange>Received</b>,200668,Sun Cruiser Lemonade Variety Pack 2/12/12 oz Can,104.00,104.00,277,6/1/2027,805
