Product Num,Product Name,May 26,Jun 26,Jul 26,Aug 26,Projected Aug 26,Projected Sep 26,Projected Oct 26,10 Day Trend,28 Day Trend,On Floor,Backordered,Days of Inventory,Forecast Days of Inventory,Ordered,Next Receive Date
1925 Spirits LLC,,,,,,,,,,,,,,,,
200216,Leyenda 1925 Anejo Tequila 1/750 ML Btl,0,0,3,4,4,3,3,100.0%,100.0%,6,0,58,0,0,
200217,Leyenda 1925 Blanco Tequila 1/750 ML Btl,0,0,15,15,17,16,16,100.0%,100.0%,14,1,25,0,0,
200218,Leyenda 1925 Reposado Tequila 1/750 ML Btl,0,0,6,13,13,11,11,100.0%,100.0%,10,0,27,0,0,
,,0,0,24,31,34,30,30,,,29,1,,,0,
Alte Beverage,,,,,,,,,,,,,,,,
94103,Alte THC Blackbery Lemon vanilla 10 MG 6/4/12 oz Can,15,4,9,2,2,6,6,100.0%,100.0%,28,0,153,0,0,
94104,Alte THC Watermelon Basil Jalapeno 10 MG 6/4/12 oz Can,16,6,6,3,3,5,5,100.0%,100.0%,35,0,233,0,0,
94105,Alte THC Pineapple Mojito Mint Lime 5 MG 6/4/12 oz Can,11,2,1,3,3,2,2,100.0%,100.0%,53,0,795,0,0,
94106,Alte THC Tangerine Cranberry 5 MG 6/4/12 oz Can,11,2,2,2,2,2,2,100.0%,100.0%,52,0,780,0,0,
,,53,14,18,10,11,14,14,,,168,0,,,0,
American Fruits,,,,,,,,,,,,,,,,
200150,American Fruit Bourbon Barrel Aged Apple Liqueur 12/375 mL,0,0,0,1,1,1,1,100.0%,100.0%,4,0,240,0,0,
200151,American Fruit Black Currant Liqueur 12/375 mL,0,0,0,0,0,0,0,100.0%,100.0%,5,0,50,0,0,
200152,American Fruit Bartlett Pear Liqueur 12/375 mL,1,0,0,1,1,1,1,100.0%,100.0%,2,0,120,0,0,
200153,American Fruit Sour Cherry Liqueur 12/375 mL,2,2,1,1,1,1,1,100.0%,0.0%,3,0,90,166,0,
,,3,2,1,3,3,2,2,,,14,0,,,0,
Artisanal Imports,,,,,,,,,,,,,,,,
7270,Tona 4/6/12 oz Btl,264,159,93,249,265,171,171,19.7%,24.8%,317,0,56,47,0,
7271,Tona 2/12/12 oz Can,87,142,139,83,94,127,127,(64.4%),(50.6%),295,0,70,45,0,
7272,Palma 4/6/12 oz Can,203,365,50,0,2,25,25,(100.0%),(98.6%),0,33,0,0,0,
7273,Palma 2/12/12 oz Can,71,61,73,348,367,211,211,(96.2%),118.6%,0,38,0,0,0,
7274,Palma 2/12/12 oz Btl,128,26,2,0,0,1,1,(100.0%),(100.0%),0,15,0,0,0,
7275,Tona 1/12/24 oz Can,0,34,4,20,22,25,25,100.0%,100.0%,956,0,"1,171",0,0,
,,753,787,361,700,751,559,559,,,"1,568",86,,,0,
Athletic Brewing Company,,,,,,,,,,,,,,,,
9472,Athletic Lite Brew Non-Alcoholic 4/6/12 oz Can,85,107,107,61,70,101,101,(74.4%),(22.0%),215,0,64,70,100,09/18/2026
9473,Athletic Cerveza Athetica Light Copper Ale Non-Alcoholic 4/6/12 oz Can,48,86,85,58,65,79,79,(57.1%),(23.1%),199,1,76,77,0,
9474,Athletic Free Wave Hazy IPA Non-Alcoholic 4/6/12 oz Can,304,367,328,259,288,319,319,(26.1%),(14.1%),559,0,53,54,200,09/18/2026
9475,Athletic Run Wild IPA Non-Alcoholic 2/12/12 oz Can,141,295,225,151,168,190,190,(53.0%),(9.4%),410,0,65,59,200,09/18/2026
9476,Athletic Run Wild IPA Non-Alcoholic 4/6/12 oz Can,286,374,355,209,239,329,329,(43.2%),(10.2%),481,0,44,47,200,09/18/2026
9477,Athletic Upside Dawn Golden Ale Non-Alcoholic 2/12/12 oz Can,146,195,218,122,138,179,179,(34.3%),15.8%,332,1,56,49,0,
9478,Athletic Upside Dawn Golden Ale Non-Alcoholic 4/6/12 oz Can,223,334,262,181,206,271,271,(46.0%),(14.7%),416,0,46,48,100,09/18/2026
9479,Athletic Wit's Peak Belgian-Style White Non-Alcoholic 4/6/12 oz Can,16,19,0, (1), (1), (1), (1),100.0%,100.0%,0,15,0,0,0,
9480,Athletic Ripe Pursuit Lemon Radler Non-Alcoholic 4/6/12 oz Can,0,82,75,22,27,57,57,(75.0%),(51.5%),93,0,49,151,0,
9482,Athletic Daypack Sparkling Water Black Cherry 4/6/12 oz Can,0,0,0,0,0,0,0,100.0%,100.0%,0,0,0,0,0,
9483,Athletic Daypack Sparkling Water Mango 4/6/12 oz Can,0,0,0,0,0,0,0,100.0%,100.0%,0,0,0,0,0,
9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,0,0,0,241,252,121,121,(102.4%),(18.6%), (2),90, (0),0,100,09/18/2026
9486,Athletic Free Wave Hazy IPA Non-Alcoholic 2/12/12 oz Can,126,92,214,104,119,162,162,(40.2%),3.1%,167,0,31,33,200,09/18/2026
9487,Athletic Run Wild IPA Non-Alcoholic 1/15/19.2 oz Can,0,0,12,39,41,26,26,100.0%,"1,600.0%",3,0,4,184,36,09/18/2026
9488,Athletic Free Wave Non-Alcoholic 1/15/19.2 oz Can,0,0,0,0,0,0,0,(100.0%),(100.0%),0,3,0,0,0,
9489,Athletic Lite Brew Non-Alcoholic 2/12/12 oz Can,57,89,19,54,58,49,49,144.4%,206.5%,94,0,58,21,0,
9601,Athletic Costco Free Wave & Run Wild IPA Variety NA Loose 1/24/12 oz Can,0,0,0,0,0,0,0,(100.0%),(100.0%),0,0,0,0,0,
9602,Athletic Winter Wonder Non-Alcoholic Winter Warmer 4/6/12 oz Can,0,0,0,0,0,0,0,100.0%,100.0%, (1),0, (10),0,0,
9603,Athletic Paloma Non-Alcoholic 6/4/12 oz Can,32,19,28,10,12,20,20,100.0%,100.0%,61,0,94,0,0,
9604,Athletic Moscow Mule Non-Alcoholic 6/4/12 oz Can,31,19,22,10,12,18,18,100.0%,100.0%,81,0,139,0,0,
9605,Athletic Run Wild IPA Non-Alcoholic 7.5 Gal Keg,0,0,0,0,0,0,0,100.0%,100.0%,0,0,0,0,0,
9606,Athletic Lite Lime & Salt Non-Alcoholic 4/6/12 oz Can,0,100,38,52,56,47,47,100.0%,100.0%,206,0,133,0,0,
9607,Athletic Fruited Fields Radler Non-Alcoholic 2/12/12 oz Can,0,62,25,21,23,27,27,100.0%,100.0%,75,0,83,0,0,
9608,Athletic Costco IPA Pack Non-Alcoholic 1/24/12 oz Can,200,0,0,0,0,0,0,100.0%,100.0%,0,0,0,0,0,
9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,0,0,22,169,178,96,96,100.0%,100.0%,0,19,0,0,0,
9610,Athletic Costco Mixed Run Wild & Upside Dawn NA 1/24/12 oz Can,0,0,600,0,27,300,300,100.0%,100.0%,0,0,0,0,0,
9611,Athletic Upside Dawn NA 1/15/19.2 oz Can,0,0,12,36,38,24,24,100.0%,100.0%,6,0,8,0,36,09/18/2026
,,"1,695","2,240","2,647","1,798","2,017","2,410","2,410",,,"3,394",129,,,"1,172",
Bardstown Bourbon Co,,,,,,,,,,,,,,,,
201051,Green River Bourbon 1/750 mL Btl,11,5,8,4,5,6,6,"1,200.0%",720.0%,108,0,512,450,0,
201052,Green River Full Proof 1/750 mL,2, (1),3,3,3,3,3,300.0%,185.7%,69,0,771,"1,897",0,
201053,Green River Rye 1/750 mL,4,3,1,2,2,2,2,(16.7%),(5.6%),58,0,955,771,0,
201054,Green River Wheated 1/750 mL,9,18,16,12,14,15,15,341.7%,296.7%,109,0,221,305,0,
201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,10,13,19,10,11,15,15,27.3%,7.0%,122,0,243,346,0,
201056,Bardstown Origin Series Bourbon 1/750 mL Btl,15,13,22,10,12,17,17,(28.3%),0.8%,26,0,45,50,0,
201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,5,7,7,7,8,7,7,(56.5%),27.8%,76,0,307,523,0,
201058,Bardstown Origin Series High Wheat 1/750 mL Btl,15,0,29,13,15,21,21,(3.6%),124.1%,69,0,99,242,0,
201065,Green River 1/1 L Btl,2,0,1,0,0,1,1,100.0%,100.0%,25,0,"1,106",0,0,
201066,Green River Single Barrel GSPD #1 1/750 mL,0,0,0,0,0,0,0,100.0%,100.0%,1,0,30,34,0,
201067,Green River Single Barrel GSPD#2 1/750 mL,0,1,0,0,0,0,0,100.0%,100.0%,1,0,30,46,0,
201068,Green River Single Barrel GSPD#3 1/750 mL,0,0,0,0,0,0,0,100.0%,100.0%,2,0,90,0,0,
201069,Bardstown Single Barrel GSPD #1 1/750 mL Btl,0,0,0,0,0,0,0,100.0%,100.0%,0,0,0,0,0,
201070,Bardstown Single Barrel GSPD #2 1/750 mL Btl,0,0,0,0,0,0,0,100.0%,100.0%,2,0,120,0,0,
