Vendor,PO Num,Receive Date,Shipment Num,To Location,Status,Product,Product Name,Num Units,Ordered,Shelf Life,Expiration Date,On Hand Remaining
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,937,Leinenkugel Berry Weiss 4/6/12 oz Btl,128.00,128.00,154,1/25/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,760,Miller Extra Light 2/12/12 oz Btl,112.00,112.00,112,12/14/2026,0.00
2,0012825308,8/22/2026,0012825308,Hawthorne,<b class=pill-white>Ordered</b>,212,Coors Light 4/6/12 oz Btl,576.00,576.00,112,12/14/2026,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,7811,Steel Reserve 1/12/24 oz Can,196.00,196.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,1640,Molson XXX 4/6/12 oz Btl,256.00,256.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,520,Miller Lite 2/12/12 oz Can,105.00,105.00,168,2/8/2027,0.00
2,0012825308,8/22/2026,0012825308,Hawthorne,<b class=pill-white>Ordered</b>,228,Coors Light 1/24/16 oz Aluminum Loose Btl,864.00,864.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,562,Milwaukee Best Ice 1/30/12 oz Can,91.00,91.00,168,2/8/2027,0.00
2,0012825308,8/22/2026,0012825308,Hawthorne,<b class=pill-white>Ordered</b>,523,Miller Lite 1/18/12 oz Can,140.00,140.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,1612,Molson Golden 2/12/12 oz Btl,112.00,112.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,1643,Molson XXX 1/12/24 oz Can,98.00,98.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,1632,Molson Ice 2/12/12 oz Btl,112.00,112.00,168,2/8/2027,0.00
2,6930202447,8/22/2026,6930202447,Hawthorne,<b class=pill-white>Ordered</b>,712,Miller Genuine Draft 2/12/12 oz Btl,112.00,112.00,112,12/14/2026,0.00
1158000183,GARAGE826B,8/21/2026,GARAGE826B,Hawthorne,<b class=pill-green>Confirmed</b>,6984,Garage Beer Light Lager 4/6/16 oz Can,240.00,240.00,242,4/23/2027,240.00
1158000155,BJBH826B,8/21/2026,BJBH826B,Hawthorne,<b class=pill-orange>Received</b>,14125,BJ'S Root Beer Non-Alcoholic 15.5 Gal Keg,16.00,16.00,170,2/10/2027,16.00
2,,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,7152,Pilsner Urquel 2/12/12 oz Btl,756.00,84.00,189,3/1/2027,756.00
118,,8/21/2026,7000217163,Hawthorne,<b class=pill-green>Confirmed</b>,200664,Sun Cruiser Lemonade Variety 3/8/12 oz Can,104.00,104.00,281,6/1/2027,104.00
2,6930199032,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,7812,Steel Reserve 2/12/12 oz Can,105.00,105.00,154,1/25/2027,105.00
1158000183,GARAGE826B,8/21/2026,GARAGE826B,Hawthorne,<b class=pill-green>Confirmed</b>,6988,Garage Beer Light Lime Keg 15.5 Gal Keg,16.00,16.00,264,5/15/2027,16.00
2,,8/21/2026,0012824698,Hawthorne,<b class=pill-green>Confirmed</b>,618,Keystone Light 1/12/24 oz Can,490.00,98.00,112,12/14/2026,490.00
1158000155,BJBH826B,8/21/2026,BJBH826B,Hawthorne,<b class=pill-orange>Received</b>,14103,BJ'S Brewhouse Blonde Keg 15.5 Gal Keg,6.00,6.00,173,2/13/2027,6.00
2,0012824842,8/21/2026,0012824842,Hawthorne,<b class=pill-green>Confirmed</b>,9894,Miscellaneous Coors Pallet,21.00,0.00,,,0.00
128,83170333,8/21/2026,83170333,Hawthorne,<b class=pill-green>Confirmed</b>,2405,Coronita Extra 1/24/7 oz Btl,2016.00,2016.00,219,3/31/2027,2016.00
2,0012824698,8/21/2026,0012824698,Hawthorne,<b class=pill-green>Confirmed</b>,535,Miller Lite 1/36/12 oz Can,0.00,560.00,168,2/8/2027,0.00
2,0012824698,8/21/2026,0012824698,Hawthorne,<b class=pill-green>Confirmed</b>,9894,Miscellaneous Coors Pallet,5.00,0.00,,,0.00
2,6930199032,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,6,Miscellaneous Plastic Bulkhead Spacers,10.00,0.00,,,0.00
2,0012824842,8/21/2026,0012824842,Hawthorne,<b class=pill-green>Confirmed</b>,214,Coors Light 1/24/12 oz Loose Btl,1344.00,1344.00,112,12/14/2026,0.00
2,6930199032,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,1792,Simply Spiked Lemonade Variety 2/12/12 oz Can,110.00,110.00,196,3/8/2027,110.00
128,83146489,8/21/2026,83146489,Hawthorne,<b class=pill-green>Confirmed</b>,2807,Modelito Especial 1/24/7 oz Loose Btl,2106.00,2106.00,219,3/31/2027,2106.00
118,7000217163,8/21/2026,7000217163,Hawthorne,<b class=pill-green>Confirmed</b>,8340,Twisted Tea 1/12/24 oz Can,204.00,0.00,342,8/1/2027,204.00
2,6930199032,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,7,Miscellaneous Plastic Separator,8.00,0.00,,,0.00
2,6930199032,8/21/2026,6930199032,Hawthorne,<b class=pill-green>Confirmed</b>,9894,8,8.00,0.00,,,0.00
1158000155,BJBH826B,8/21/2026,BJBH826B,Hawthorne,<b class=pill-orange>Received</b>,14115,BJ'S Lightswitch Lager Keg 15.5 Gal Keg,4.00,4.00,168,2/8/2027,4.00
118,7000217163,8/21/2026,7000217163,Hawthorne,<b class=pill-green>Confirmed</b>,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,0.00,240.00,,,0.00
2,0012824698,8/21/2026,0012824698,Hawthorne,<b class=pill-green>Confirmed</b>,119,Coors Banquet 1/18/12 oz Can,180.00,180.00,98,11/30/2026,0.00
128,83170333,8/21/2026,83170333,Hawthorne,<b class=pill-green>Confirmed</b>,2409,Corona Extra 1/24/12 oz Loose Btl,0.00,0.00,219,3/31/2027,0.00
128,83151404,8/21/2026,83151404,Hawthorne,<b class=pill-green>Confirmed</b>,2807,Modelito Especial 1/24/7 oz Loose Btl,2106.00,2106.00,219,3/31/2027,2106.00
128,83157191,8/21/2026,83157191,Hawthorne,<b class=pill-green>Confirmed</b>,2414,Corona Extra 1/12/24 oz Btl,605.00,605.00,219,3/31/2027,605.00
2,,8/21/2026,0012824698,Hawthorne,<b class=pill-green>Confirmed</b>,535,Miller Lite 1/36/12 oz Can,630.00,70.00,168,2/8/2027,630.00
