Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
1925 Spirits LLC,,,,,,,,,,,,,
200216 Leyenda 1925 Anejo Tequila 1/750 ML Btl,13,0,0,0,0,0,0,5,0,9,1,0,7
200217 Leyenda 1925 Blanco Tequila 1/750 ML Btl,17,0,0,0,0,0,0, (1),0,18,4,0,14
200218 Leyenda 1925 Reposado Tequila 1/750 ML Btl,17,0,0,0,0,0,0, (2),0,19,4,0,15
Total,47,0,0,0,0,0,0,2,0,45,9,0,37
2 Towns Ciderhouse,,,,,,,,,,,,,
200531 Craftwell Pineapple Margarita 6/4/12 oz Can,0,0,0,0,0,0,0, (14),0,14,0,0,14
200532 Craftwell Peach Mojito 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
200533 Craftwell Grapefruit Paloma 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
200536 Craftwell Top Shelf Chocolate Espresso Martini 12/375 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
200537 Craftwell Top Shelf Classic Cosmo 12/375 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
200538 Craftwell Top Shelf Signature Margarita 12/375 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0, (14),0,14,0,0,14
Alte Beverage,,,,,,,,,,,,,
94103 Alte THC Blackbery Lemon vanilla 10 MG 6/4/12 oz Can,31,0,0,0,0,0,0,3,0,28,0,0,28
94104 Alte THC Watermelon Basil Jalapeno 10 MG 6/4/12 oz Can,29,0,0,0,0,0,0, (6),0,35,0,0,35
94105 Alte THC Pineapple Mojito Mint Lime 5 MG 6/4/12 oz Can,54,0,0,0,0,0,0,0,0,54,0,0,54
94106 Alte THC Tangerine Cranberry 5 MG 6/4/12 oz Can,55,0,0,0,0,0,0,2,0,53,0,0,53
Total,169,0,0,0,0,0,0, (1),0,170,0,0,170
American Fruits,,,,,,,,,,,,,
200150 American Fruit Bourbon Barrel Aged Apple Liqueur 12/375 mL,4,0,0,0,0,0,0,0,0,4,0,0,4
200151 American Fruit Black Currant Liqueur 12/375 mL,6,0,0,0,0,0,0,1,0,5,0,0,5
200152 American Fruit Bartlett Pear Liqueur 12/375 mL,3,0,0,0,0,0,0,1,0,2,0,0,2
200153 American Fruit Sour Cherry Liqueur 12/375 mL,4,0,0,0,0,0,0,1,0,3,0,0,3
Total,17,0,0,0,0,0,0,3,0,14,0,0,14
Artisanal Imports,,,,,,,,,,,,,
7270 Tona 4/6/12 oz Btl,352,0,0,5,0,0,0,6,0,341,6,0,335
7271 Tona 2/12/12 oz Can,336,0,0,0,0,0,0,6,0,330,5,0,325
7272 Palma 4/6/12 oz Can,2,0,0,0,0,0,0,2,0,0,0,0,0
7273 Palma 2/12/12 oz Can,13,0,0,0,0,0,0,13,0,0,0,0,0
7274 Palma 2/12/12 oz Btl, (5),0,0,0,0,0,0, (5),0,0,0,0,0
7275 Tona 1/12/24 oz Can,962,0,0,0,0,0,0,1,0,961,0,0,961
Total,"1,660",0,0,5,0,0,0,23,0,"1,632",11,0,"1,621"
Athletic Brewing Company,,,,,,,,,,,,,
9471 Athletic All Out Extra Dark Non-Alcohoic 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9472 Athletic Lite Brew Non-Alcoholic 4/6/12 oz Can,260,0,0,1,0,0,0,13,0,246,2,0,244
9473 Athletic Cerveza Athetica Light Copper Ale Non-Alcoholic 4/6/12 oz Can,205,0,0,1,1,0,0, (1),0,204,0,0,204
9474 Athletic Free Wave Hazy IPA Non-Alcoholic 4/6/12 oz Can,610,0,0,8,0,0,0,8,0,594,5,0,589
