Product Num,Product Name,Apr 26,May 26,Jun 26,Jul 26,Projected Jul 26,Projected Aug 26,Projected Sep 26,10 Day Trend,28 Day Trend,On Floor,Backordered,Days of Inventory,Forecast Days of Inventory,Ordered,Next Receive Date
1925 Spirits LLC,,,,,,,,,,,,,,,,
200216,Leyenda 1925 Anejo Tequila 1/750 ML Btl,0,0,0,0,0,0,0,100.0%,100.0%,13,0,770,0,0,
200217,Leyenda 1925 Blanco Tequila 1/750 ML Btl,0,0,0,6,8,3,3,100.0%,100.0%,22,0,218,0,0,
200218,Leyenda 1925 Reposado Tequila 1/750 ML Btl,0,0,0,0,0,0,0,100.0%,100.0%,32,0,"1,910",0,0,
,,0,0,0,6,8,3,3,,,66,0,,,0,
Alte Beverage,,,,,,,,,,,,,,,,
94103,Alte THC Blackbery Lemon vanilla 10 MG 6/4/12 oz Can,4,15,4,0,7,9,10,100.0%,100.0%,42,0,133,0,0,
94104,Alte THC Watermelon Basil Jalapeno 10 MG 6/4/12 oz Can,1,16,6,0,8,10,11,100.0%,100.0%,40,0,109,0,0,
94105,Alte THC Pineapple Mojito Mint Lime 5 MG 6/4/12 oz Can,1,11,2,0,5,6,7,100.0%,100.0%,58,0,268,0,0,
94106,Alte THC Tangerine Cranberry 5 MG 6/4/12 oz Can,1,11,2,0,5,6,7,100.0%,100.0%,58,0,268,0,0,
,,7,53,14,0,26,32,34,,,198,0,,,0,
American Fruits,,,,,,,,,,,,,,,,
200150,American Fruit Bourbon Barrel Aged Apple Liqueur 12/375 mL,0,0,0,0,0,0,0,100.0%,(100.0%),5,0,50,0,0,
200151,American Fruit Black Currant Liqueur 12/375 mL,0,0,0,0,0,0,0,100.0%,(100.0%),6,0,60,0,0,
200152,American Fruit Bartlett Pear Liqueur 12/375 mL,1,1,0,0,0,0,0,100.0%,(100.0%),3,0,30,0,0,
200153,American Fruit Sour Cherry Liqueur 12/375 mL,0,2,2,1,2,1,2,100.0%,0.0%,3,0,60,0,0,
,,1,3,2,1,2,1,2,,,17,0,,,0,
Artisanal Imports,,,,,,,,,,,,,,,,
7270,Tona 4/6/12 oz Btl,168,264,159,0,151,187,196,(97.4%),(47.7%),1,106,0,0,672,05/29/2026
7271,Tona 2/12/12 oz Can,177,87,142,17,118,125,131,(11.4%),(47.2%),494,3,113,51,0,
7272,Palma 4/6/12 oz Can,190,203,365,25,231,254,267,(44.2%),(6.2%),11,1,1,1,0,
7273,Palma 2/12/12 oz Can,49,71,61,7,56,60,63,100.0%,(53.6%),434,8,207,626,0,
7274,Palma 2/12/12 oz Btl,52,128,26,2,48,57,60,(96.7%),(85.5%),0,104,0,0,0,
7275,Tona 1/12/24 oz Can,0,0,34,0,13,16,17,100.0%,100.0%,986,0,"1,740",0,0,
,,636,753,787,51,617,700,733,,,"1,926",222,,,672,
Athletic Brewing Company,,,,,,,,,,,,,,,,
9472,Athletic Lite Brew Non-Alcoholic 4/6/12 oz Can,89,85,107,29,109,99,104,(24.3%),(22.3%),191,0,55,61,300,07/16/2026
9473,Athletic Cerveza Athetica Light Copper Ale Non-Alcoholic 4/6/12 oz Can,74,48,86,19,74,68,71,(30.2%),(24.6%),232,0,98,85,200,07/16/2026
9474,Athletic Free Wave Hazy IPA Non-Alcoholic 4/6/12 oz Can,235,304,367,99,374,339,356,(23.4%),(13.7%),224,1,19,20,700,07/16/2026
9475,Athletic Run Wild IPA Non-Alcoholic 2/12/12 oz Can,171,141,295,54,215,199,209,(46.9%),27.2%,133,29,19,18,600,07/16/2026
9476,Athletic Run Wild IPA Non-Alcoholic 4/6/12 oz Can,224,286,374,90,358,331,347,(16.2%),(6.1%),407,0,35,39,500,07/31/2026
