Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
1925 Spirits LLC,,,,,,,,,,,,,
200216 Leyenda 1925 Anejo Tequila 1/750 ML Btl,16,0,0,0,0,0,0,3,0,13,0,0,13
200217 Leyenda 1925 Blanco Tequila 1/750 ML Btl,22,0,0,0,0,0,0,0,0,22,0,0,22
200218 Leyenda 1925 Reposado Tequila 1/750 ML Btl,32,0,0,0,0,0,0,0,0,32,0,0,32
Total,70,0,0,0,0,0,0,3,0,67,0,0,67
2 Towns Ciderhouse,,,,,,,,,,,,,
200531 Craftwell Pineapple Margarita 6/4/12 oz Can,14,0,0,0,0,0,0,0,0,14,0,0,14
200532 Craftwell Peach Mojito 6/4/12 oz Can,16,0,0,0,0,0,0,0,0,16,0,0,16
200533 Craftwell Grapefruit Paloma 6/4/12 oz Can,26,0,0,0,0,0,0, (2),0,28,0,0,28
200536 Craftwell Top Shelf Chocolate Espresso Martini 12/375 mL Btl,30,0,0,0,0,0,0,0,0,30,0,0,30
200537 Craftwell Top Shelf Classic Cosmo 12/375 mL Btl,51,0,0,0,0,0,0, (1),0,52,0,0,52
200538 Craftwell Top Shelf Signature Margarita 12/375 mL Btl,44,0,0,0,0,0,0, (4),0,48,0,0,48
Total,181,0,0,0,0,0,0, (7),0,188,0,0,188
Alte Beverage,,,,,,,,,,,,,
94103 Alte THC Blackbery Lemon vanilla 10 MG 6/4/12 oz Can,43,0,0,0,0,0,0,1,0,42,0,0,42
94104 Alte THC Watermelon Basil Jalapeno 10 MG 6/4/12 oz Can,39,0,0,0,0,0,0, (1),0,40,0,0,40
94105 Alte THC Pineapple Mojito Mint Lime 5 MG 6/4/12 oz Can,58,0,0,0,0,0,0,0,0,58,0,0,58
94106 Alte THC Tangerine Cranberry 5 MG 6/4/12 oz Can,59,0,0,0,0,0,0,1,0,58,0,0,58
Total,199,0,0,0,0,0,0,1,0,198,0,0,198
American Fruits,,,,,,,,,,,,,
200150 American Fruit Bourbon Barrel Aged Apple Liqueur 12/375 mL,5,0,0,0,0,0,0,0,0,5,0,0,5
200151 American Fruit Black Currant Liqueur 12/375 mL,6,0,0,0,0,0,0,0,0,6,0,0,6
200152 American Fruit Bartlett Pear Liqueur 12/375 mL,4,0,0,0,0,0,0,1,0,3,0,0,3
200153 American Fruit Sour Cherry Liqueur 12/375 mL,5,0,0,0,0,0,0,2,0,3,0,0,3
Total,20,0,0,0,0,0,0,3,0,17,0,0,17
Artisanal Imports,,,,,,,,,,,,,
7270 Tona 4/6/12 oz Btl,8,0,0,0,0,0,0,7,0,1,0,0,1
7271 Tona 2/12/12 oz Can,499,0,0,0,0,0,0,5,0,494,0,0,494
7272 Palma 4/6/12 oz Can,23,0,0,0,0,0,0,9,0,11,0,0,11
7273 Palma 2/12/12 oz Can,428,0,0,0,0,0,0, (6),0,434,0,0,434
7274 Palma 2/12/12 oz Btl, (5),0,0,0,0,0,0, (5),0,0,0,0,0
7275 Tona 1/12/24 oz Can,986,0,0,0,0,0,0,0,0,986,0,0,986
Total,"1,939",0,0,0,0,0,0,10,0,"1,926",0,0,"1,926"
Athletic Brewing Company,,,,,,,,,,,,,
9471 Athletic All Out Extra Dark Non-Alcohoic 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9472 Athletic Lite Brew Non-Alcoholic 4/6/12 oz Can,202,0,0,0,5,0,0,6,0,191,2,0,189
9473 Athletic Cerveza Athetica Light Copper Ale Non-Alcoholic 4/6/12 oz Can,231,0,0,0,7,0,0, (8),0,232,0,0,232
9474 Athletic Free Wave Hazy IPA Non-Alcoholic 4/6/12 oz Can,253,0,0,2,15,0,0,12,0,224,2,0,222
9475 Athletic Run Wild IPA Non-Alcoholic 2/12/12 oz Can,136,0,0,0,18,0,0, (15),0,133,2,0,131
9476 Athletic Run Wild IPA Non-Alcoholic 4/6/12 oz Can,403,0,0,2,4,0,0, (10),0,407,3,0,404
9477 Athletic Upside Dawn Golden Ale Non-Alcoholic 2/12/12 oz Can,36,0,0,1,17,0,0,0,0,18,1,0,17
9478 Athletic Upside Dawn Golden Ale Non-Alcoholic 4/6/12 oz Can,445,0,0,2,28,0,0,1,0,414,0,0,414
9479 Athletic Wit's Peak Belgian-Style White Non-Alcoholic 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9480 Athletic Ripe Pursuit Lemon Radler Non-Alcoholic 4/6/12 oz Can,160,0,0,0,6,0,0, (12),0,166,0,0,166
9481 Athletic Daypack Sparkling Water Adventure Pack Variety 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9482 Athletic Daypack Sparkling Water Black Cherry 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9483 Athletic Daypack Sparkling Water Mango 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9484 Athletic Gerald's Gold 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9485 Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9486 Athletic Free Wave Hazy IPA Non-Alcoholic 2/12/12 oz Can,212,0,0,0,13,0,0,17,0,182,0,0,182
