Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
84015,The Office 2131 Ridgewood,Bergen,32-34 Chestnut St,Ridgewood,9/2/2026,Mike Ast,Paul Deady,Dogfish Head Punkin Ale,Dogfish Head Beer,Boston Beer Company,1.00
84015,The Office 2131 Ridgewood,Bergen,32-34 Chestnut St,Ridgewood,9/2/2026,Mike Ast,Paul Deady,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,2.00
150300,Obals Inn,Essex,439 Broad St,Bloomfield,8/28/2026,Alisa Acciardi,Mike Kennedy,Garage Beer Light,Garage Beer,Garage Beer,1.00
150300,Obals Inn,Essex,439 Broad St,Bloomfield,8/28/2026,Alisa Acciardi,Mike Kennedy,Pabst Blue Ribbon,Pabst Blue Ribbon,Pabst Brewing Company,1.00
190707,The Exchange,Morris 1,160 E Main St,Rockaway,8/27/2026,Brian Sengebush,Chris McCrohan,New Belgium Voodoo Ranger Juicy Haze IPA,Voodoo Family,New Belgium Brewing Company,1.00
190707,The Exchange,Morris 1,160 E Main St,Rockaway,8/27/2026,Brian Sengebush,Chris McCrohan,Dogfish Head 60 Minute IPA,Dogfish Head Beer,Boston Beer Company,1.00
190707,The Exchange,Morris 1,160 E Main St,Rockaway,8/27/2026,Brian Sengebush,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
190707,The Exchange,Morris 1,160 E Main St,Rockaway,8/27/2026,Brian Sengebush,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,2.00
57004,River & Henley,Bergen,704 River Rd,New Milford,8/26/2026,Paul Mclaughlin,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
191722,Jeffrey A Miller Catering,Sussex,525 Waterloo Rd,Stanhope,8/26/2026,Brian Sengebush,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
57004,River & Henley,Bergen,704 River Rd,New Milford,8/26/2026,Paul Mclaughlin,Chris McCrohan,Angry Orchard Crisp Apple,Angry Orchard,Boston Beer Company,1.00
190018,Big Ed's (Circle Bowl),Morris 2,1107 Route 46 W,Ledgewood,8/26/2026,John O'Donoghue,Mike Kennedy,Doc's Pumpkin Cider,Doc's,Warwick Valley,1.00
57004,River & Henley,Bergen,704 River Rd,New Milford,8/26/2026,Paul Mclaughlin,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,1.00
190018,Big Ed's (Circle Bowl),Morris 2,1107 Route 46 W,Ledgewood,8/26/2026,John O'Donoghue,Mike Kennedy,Garage Beer Light,Garage Beer,Garage Beer,2.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Montauk Pumpkin Ale,Montauk,Montauk Brewing Co,4.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,New Belgium Keg House Gld Pils 15.5,New Belgium Brewing Company,New Belgium Brewing Company,1.00
60004,La Taberna Steak House,Bergen,31 W Madison Ave,Dumont,8/25/2026,Paul Mclaughlin,Chris McCrohan,Pacifico,Pacifico,Constellation Brands,1.00
171309,KPot Korean BBQ & Hot Pot,Hudson,200 Passaic Ave,Kearny,8/25/2026,Alisa Acciardi,Mike Kennedy,Sapporo Premium,Sapporo,Sapporo,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
150626,Pub At Njit,Essex,150 Bleeker Street,Newark,8/25/2026,Hakan Sadik,Mike Kennedy,Flying Fish Hopfish,Flying Fish,Flying Fish,2.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Angry Orchard Crisp Apple,Angry Orchard,Boston Beer Company,1.00
31026,Rockafella's,Bergen,443 Paterson Aven,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Stone Premium & Smooth: Honey Blonde,Stone Premium & Smooth Beer Co,Stone Brewing,3.00
96006,Blue Moon Mexican Cafe,Bergen,327j Franklin Ave,Wyckoff,8/25/2026,Nick Melissari,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Hofbrau Oktoberfest,Hofbrau Usa,Hofbrauhaus USA,4.00
95002,Indian Trail Club,Bergen,830 Franklin Lakes Rd,Franklin Lakes,8/25/2026,Robin Feldman,Chris McCrohan,Dogfish Head 60 Minute IPA,Dogfish Head Beer,Boston Beer Company,1.00
231708,American Lgn Branchville,Sussex,325 Us-206,Branchville,8/25/2026,Robin Feldman,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
14003,Murph's Bar & Liquor,Passaic,375 Union Blvd,Totowa,8/25/2026,Allison Scott,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,1.00
73001,Lou's,Bergen,74 Broadway,Hillsdale,8/25/2026,Paul Mclaughlin,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
92005,Kinchley's,Bergen,586 Franklin Tpk,Ramsey,8/25/2026,Nick Melissari,Chris McCrohan,Coors Banquet,Coors,MolsonCoors Beverage Company,2.00
