Metric,Value
Assigned sales reps on roster,27
Reps active in app (any module),27
Reps inactive (zero app activity),0
Reps using all 3 modules,12
Reps logging NO tap surveys,9
Reps logging NO display photos,7
Sales associates active (display),8
Display photos logged (all users),1416
Tap survey entries logged (all),3489
PODs logged (all),1465
Total app actions logged,6370
On-Premise accounts (tap survey universe),1280
On-Prem accounts surveyed for taps,414
% On-Prem accounts SURVEYED,0.3234375
% On-Prem accounts NOT surveyed,0.6765625
