#,Account #,DBA,Distribution Area,Address,City,Date/Time,Photos,Route / Sales Rep,Brand,Brand Family,Supplier,# of Taps,Distributor
1,231719,LAYTON TAVERN,SUSSEX,124 CO RD 560,LAYTON,07/22/2026 11:22 AM,Photos,11 - brian sengebush,MILLER LITE BEER,MILLER LITE,MOLSON COORS BEVERAGE COMPANY,1,US
2,231719,LAYTON TAVERN,SUSSEX,124 CO RD 560,LAYTON,07/22/2026 11:22 AM,Photos,11 - brian sengebush,YUENGLING,YUENGLING,YUENGLING BREWERY,1,US
3,231719,LAYTON TAVERN,SUSSEX,124 CO RD 560,LAYTON,07/22/2026 11:22 AM,Photos,11 - brian sengebush,SAMUEL ADAMS SEASONAL,SAMUEL ADAMS,BOSTON BEER COMPANY,1,US
4,231719,LAYTON TAVERN,SUSSEX,124 CO RD 560,LAYTON,07/22/2026 11:22 AM,Photos,11 - brian sengebush,LEINENKUGEL'S SUMMER SHANDY,LEINENKUGEL'S,MOLSON COORS BEVERAGE COMPANY,1,US
5,231719,LAYTON TAVERN,SUSSEX,124 CO RD 560,LAYTON,07/22/2026 11:22 AM,Photos,11 - brian sengebush,LAGUNITAS BREWING,LAGUNITAS,LAGUNITAS BREWING COMPANY,1,THEM
6,49048,RIVER PALM (A),BERGEN,1416 RIVER RD,EDGEWATER,07/22/2026 11:18 AM,Photos,20 - Daniel La Gala,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
7,92014,RAMSEY COUNTRY CLB,BERGEN,105 LAKESIDE DR,RAMSEY,07/22/2026 10:51 AM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SUMMER ALE,SAM ADAMS SEASONAL,BOSTON BEER COMPANY,2,US
8,92014,RAMSEY COUNTRY CLB,BERGEN,105 LAKESIDE DR,RAMSEY,07/22/2026 10:51 AM,Photos,27 - Nicholas Melissari,COORS LIGHT BEER,COORS LIGHT,MOLSON COORS BEVERAGE COMPANY,2,US
9,92014,RAMSEY COUNTRY CLB,BERGEN,105 LAKESIDE DR,RAMSEY,07/22/2026 10:51 AM,Photos,27 - Nicholas Melissari,YUENGLING,YUENGLING,YUENGLING BREWERY,2,US
10,92014,RAMSEY COUNTRY CLB,BERGEN,105 LAKESIDE DR,RAMSEY,07/22/2026 10:51 AM,Photos,27 - Nicholas Melissari,CAPE MAY IPA,CAPE MAY BREWING,CAPE MAY BREWING COMPANY,2,US
11,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,MILLER LITE BEER,MILLER LITE,MOLSON COORS BEVERAGE COMPANY,1,US
12,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,YUENGLING,YUENGLING,YUENGLING BREWERY,1,US
13,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SUMMER ALE,SAM ADAMS SEASONAL,BOSTON BEER COMPANY,1,US
14,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
15,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,MILLER LITE BEER,MILLER LITE,MOLSON COORS BEVERAGE COMPANY,1,US
16,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,YUENGLING,YUENGLING,YUENGLING BREWERY,1,US
17,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
18,92007,BRADY'S AT(A)THE STATION,BERGEN,5 W MAIN ST,RAMSEY,07/22/2026 10:42 AM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SUMMER ALE,SAM ADAMS SEASONAL,BOSTON BEER COMPANY,1,US
19,88008,AMERICAN LGN (P) (WALDWICK),BERGEN,46 FRANKLIN TPKE,WALDWICK,07/21/2026 04:55 PM,Photos,27 - Nicholas Melissari,YUENGLING,YUENGLING,YUENGLING BREWERY,1,US
20,88008,AMERICAN LGN (P) (WALDWICK),BERGEN,46 FRANKLIN TPKE,WALDWICK,07/21/2026 04:55 PM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SEASONAL,SAMUEL ADAMS,BOSTON BEER COMPANY,1,US
21,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SUMMER ALE,SAM ADAMS SEASONAL,BOSTON BEER COMPANY,1,US
22,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,PERONI NASTRO AZZURRO,PERONI NASTRO AZZURRO,MOLSON COORS BEVERAGE COMPANY,1,US
23,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
24,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,YUENGLING,YUENGLING,YUENGLING BREWERY,1,US
25,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
26,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,SAMUEL ADAMS SUMMER ALE,SAM ADAMS SEASONAL,BOSTON BEER COMPANY,1,US
27,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,DOGFISH HEAD BREWING,DOGFISH,BOSTON BEER COMPANY,1,US
28,96005,THE BRICK HOUSE (P),BERGEN,179 GODWIN AVE,WYCKOFF,07/21/2026 04:35 PM,Photos,27 - Nicholas Melissari,PERONI NASTRO AZZURRO,PERONI NASTRO AZZURRO,MOLSON COORS BEVERAGE COMPANY,1,US
29,96001,WYCKOFF TAVERN KITCHEN AND BAR,SALES,315 FRANKLIN AVE,WYCKOFF,07/21/2026 03:59 PM,Photos,27 - Nicholas Melissari,MILLER LITE BEER,MILLER LITE,MOLSON COORS BEVERAGE COMPANY,1,US
30,96001,WYCKOFF TAVERN KITCHEN AND BAR,SALES,315 FRANKLIN AVE,WYCKOFF,07/21/2026 03:59 PM,Photos,27 - Nicholas Melissari,PERONI NASTRO AZZURRO,PERONI NASTRO AZZURRO,MOLSON COORS BEVERAGE COMPANY,1,US
31,96001,WYCKOFF TAVERN KITCHEN AND BAR,SALES,315 FRANKLIN AVE,WYCKOFF,07/21/2026 03:59 PM,Photos,27 - Nicholas Melissari,BLUE MOON OTHER,BLUE MOON,MOLSON COORS BEVERAGE COMPANY,1,US
32,96006,BLUE MOON MEXICAN CAFE,BERGEN,327J FRANKLIN AVE,WYCKOFF,07/21/2026 03:52 PM,Photos,27 - Nicholas Melissari,MODELO ESPECIAL,MODELO CERVEZA,CONSTELLATION BRANDS,1,US
