Customer Num,Customer Name,Draft Package,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Units   2026
1002,Country Cottage Rest (P),2) Draft and Package,1745 Macopin Rd,West Milford,Passaic,Passaic-FF,1.00,324.00
1004,The Vreeland Store,2) Draft and Package,1383 Macopin Road,West Milford,Passaic,Passaic-FF,1.00,54.00
1005,Grasshopper Irish Pub (A),2) Draft and Package,2891 Route 23,Newfoundland,Passaic,Passaic,1.00,902.00
1007,The Greenwood Tavern,3) Package Only,1934 Greenwood Lake Tpke,Hewitt,Passaic,Passaic-FF,1.00,34.00
1010,Jimmy Geez(North)Bar/Gril,2) Draft and Package,3219 Rt 23 South,Oak Ridge,Passaic,Passaic,1.00,403.00
1014,Chido Mexican Kitchen,2) Draft and Package,665 Warwick Turnpike,Hewitt,Passaic,Passaic,1.00,51.00
1017,Millers Ale House Rockawa,2) Draft and Package,325 Mt Hope Avenue,Rockaway,Morris,Morris 1,1.00,670.00
1022,The Cheesecake Factory,2) Draft and Package,301 Mt. Hope Ave,Rockaway,Morris,Morris 1,1.00,224.00
1023,The New Jessies Kettle(P),2) Draft and Package,1555 Greenwood Lk Tpke,Hewitt,Passaic,Passaic-FF,1.00,1518.00
1024,Buffalo Wild Wings (Rockaway),2) Draft and Package,343 Mount Hope Ave,Rockaway,Morris,Morris 1,1.00,258.00
1026,American Legion Post 289 (A) West Milford,2) Draft and Package,177 Lincoln Av,West Milford,Passaic,Passaic-FF,1.00,221.00
1028,J & S Roadhouse,3) Package Only,17 Wooley Road,West Milford,Passaic,Passaic-FF,1.00,505.00
1030,Elks Post 2236 (P),2) Draft and Package,1860 Union Valley Road,West Milford,Passaic,Passaic-FF,1.00,689.00
1032,Prime 374 - Seafood & Steak,3) Package Only,374 Morestown Road,West Milford,Passaic,Passaic-FF,1.00,31.00
1033,D'Boathaus Restaurant,2) Draft and Package,322 Lakeside Road,Hewitt,Passaic,Passaic-FF,1.00,332.00
1035,Old School Pub P),2) Draft and Package,551 Warwick Tpke,Hewitt,Passaic,Passaic-FF,1.00,1397.00
