Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Total,,,,,,"4,044,455.04","3,981,497.59"," (62,957.44)",(1.56%)
Modelo Especial,Constellation Brands,1/24/12oz Can,East Rutherford,Bergen,John Neukum,"45,846.00","44,280.00"," (1,566.00)",(3.42%)
Corona Extra,Constellation Brands,24/12oz NR,East Rutherford,Bergen,John Neukum,"28,890.00","29,538.00",648.00,2.24%
Modelo Especial,Constellation Brands,24/12oz NR,East Rutherford,Bergen,John Neukum,"20,727.00","19,586.00"," (1,141.00)",(5.50%)
Corona Extra,Constellation Brands,24/7oz NR,Paterson,Passaic,Derrick Laws,"18,906.99","18,302.66", (604.33),(3.20%)
Corona Extra,Constellation Brands,24/12oz NR,Paterson,Passaic,Derrick Laws,"19,367.00","18,264.00"," (1,103.00)",(5.70%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Paterson,Passaic,Derrick Laws,"14,288.00","14,425.00",137.00,0.96%
Corona Extra,Constellation Brands,24/12oz NR,Paterson,Passaic,Pablo Lopez,"14,162.00","14,410.00",248.00,1.75%
Corona Extra,Constellation Brands,24/12oz NR,Clifton,Passaic,John Neukum,"16,713.00","14,348.00"," (2,365.00)",(14.15%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,East Rutherford,Bergen,John Neukum,"7,350.00","12,544.00","5,194.00",70.67%
Corona Extra,Constellation Brands,24/7oz NR,East Rutherford,Bergen,John Neukum,"12,389.99","10,730.99"," (1,659.00)",(13.39%)
Corona Extra,Constellation Brands,24/12oz NR,Paterson,Passaic,Javier Melo,"10,225.00","10,514.00",289.00,2.83%
Corona Extra,Constellation Brands,24/7oz NR,Paterson,Passaic,Javier Melo,"9,977.91","10,169.83",191.92,1.92%
Corona Extra,Constellation Brands,24/12oz NR,Wayne,Passaic,John Neukum,"9,000.00","10,140.00","1,140.00",12.67%
Corona Extra,Constellation Brands,2/12/12oz NR,Paterson,Passaic,Derrick Laws,"11,181.00","10,040.00"," (1,141.00)",(10.20%)
Corona Extra,Constellation Brands,24/12oz NR,Passaic,Passaic,Javier Melo,"9,959.00","9,772.00", (187.00),(1.88%)
Corona Extra,Constellation Brands,24/7oz NR,Clifton,Passaic,John Neukum,"8,978.66","9,602.83",624.17,6.95%
Modelo Especial,Constellation Brands,1/24/12oz Can,Clifton,Passaic,John Neukum,"10,362.00","9,152.00"," (1,210.00)",(11.68%)
Heineken USA,Heineken USA,24/12oz NR,East Rutherford,Bergen,John Neukum,"10,080.00","9,072.00"," (1,008.00)",(10.00%)
Corona Extra,Constellation Brands,24/7oz NR,Paterson,Passaic,Pablo Lopez,"6,533.33","8,594.25","2,060.92",31.54%
Corona Extra,Constellation Brands,4/6/12oz NR,Paterson,Passaic,Derrick Laws,"8,978.00","8,573.00", (405.00),(4.51%)
Corona Extra,Constellation Brands,1/24/12oz Can,East Rutherford,Bergen,John Neukum,"10,332.00","8,568.00"," (1,764.00)",(17.07%)
Modelo Especial,Constellation Brands,24/12oz NR,Paterson,Passaic,Derrick Laws,"8,520.00","8,438.00", (82.00),(0.96%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Passaic,Passaic,Javier Melo,"8,351.00","8,349.00", (2.00),(0.02%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Paterson,Passaic,Derrick Laws,"7,715.00","8,344.00",629.00,8.15%
Corona Extra,Constellation Brands,24/12oz NR,Teterboro,Bergen,John Neukum,"10,746.00","8,192.00"," (2,554.00)",(23.77%)
Modelo Especial,Constellation Brands,24/12oz NR,Passaic,Passaic,Javier Melo,"8,394.00","7,965.00", (429.00),(5.11%)
Modelo Especial,Constellation Brands,24/12oz NR,Clifton,Passaic,John Neukum,"8,888.00","7,686.00"," (1,202.00)",(13.52%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Paterson,Passaic,Javier Melo,"8,102.00","7,433.00", (669.00),(8.26%)
Corona Extra,Constellation Brands,2/12/12oz NR,Paterson,Passaic,Javier Melo,"6,675.00","7,412.00",737.00,11.04%
Modelo Especial,Constellation Brands,2/12/12oz Can,Clifton,Passaic,Jim Heaney,"5,315.00","7,025.00","1,710.00",32.17%
Corona Extra,Constellation Brands,24/12oz NR,Clifton,Passaic,Jim Heaney,"7,890.00","6,963.00", (927.00),(11.75%)
Modelo Especial,Constellation Brands,2/12/12oz NR,Paterson,Passaic,Derrick Laws,"8,797.00","6,896.00"," (1,901.00)",(21.61%)
Modelo Especial,Constellation Brands,1/24/12oz Can,Teterboro,Bergen,John Neukum,"7,362.00","6,880.00", (482.00),(6.55%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Passaic,Passaic,Javier Melo,"6,465.00","6,802.00",337.00,5.21%
Corona Extra,Constellation Brands,24/12oz NR,Paterson,Passaic,Phil Ernst,"7,666.00","6,740.00", (926.00),(12.08%)
Modelo Especial,Constellation Brands,24/12oz NR,Paterson,Passaic,Pablo Lopez,"6,511.00","6,654.00",143.00,2.20%
Corona Extra,Constellation Brands,24/12oz NR,Lodi,Bergen,Chris Payton,"5,947.00","6,368.00",421.00,7.08%
