Supplier,Brand Family,Product Name,Package,Premise,Year Month,Case Equiv   1/1/2025 - 7/31/2025,Case Equiv   1/1/2026 - 7/31/2026,Case Equiv Unit Difference,Case Equiv Percentage Difference
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Reposado Tequila 1/750 ML Btl,1/6/750 mL (BO),On Premise,2026/7,,0.33,0.33,0.0%
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Reposado Tequila 1/750 ML Btl,1/6/750 mL (BO),Off Premise,2026/7,,2.83,2.83,0.0%
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Blanco Tequila 1/750 ML Btl,1/6/750 mL (BO),On Premise,2026/7,,2.58,2.58,0.0%
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Anejo Tequila 1/750 ML Btl,1/6/750 mL (BO),Off Premise,2026/7,,1.00,1.00,0.0%
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Anejo Tequila 1/750 ML Btl,1/6/750 mL (BO),On Premise,2026/7,,0.33,0.33,0.0%
1925 Spirits LLC,Leyenda 1925,Leyenda 1925 Blanco Tequila 1/750 ML Btl,1/6/750 mL (BO),Off Premise,2026/7,,5.00,5.00,0.0%
2 Towns Ciderhouse,Craftwell,Craftwell Top Shelf Signature Margarita 12/375 mL Btl,12/375ml Btl,Off Premise,2025/7,0.00,,0.00,0.0%
2 Towns Ciderhouse,Craftwell,Craftwell Pineapple Margarita 6/4/12 oz Can,6/4/12oz Can,Off Premise,2025/3,1.00,,-1.00,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Top Shelf Chocolate Espresso Martini 12/375 mL Btl,12/375ml Btl,Off Premise,2025/6,0.50,,-0.50,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Peach Mojito 6/4/12 oz Can,6/4/12oz Can,Off Premise,2025/1,2.00,,-2.00,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Peach Mojito 6/4/12 oz Can,6/4/12oz Can,Off Premise,2025/3,2.00,,-2.00,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Pineapple Margarita 6/4/12 oz Can,6/4/12oz Can,Off Premise,2025/1,1.00,,-1.00,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Grapefruit Paloma 6/4/12 oz Can,6/4/12oz Can,Off Premise,2025/2,1.00,,-1.00,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Top Shelf Chocolate Espresso Martini 12/375 mL Btl,12/375ml Btl,Off Premise,2025/5,1.50,,-1.50,-100.0%
2 Towns Ciderhouse,Craftwell,Craftwell Grapefruit Paloma 6/4/12 oz Can,6/4/12oz Can,On Premise,2025/6,1.00,,-1.00,-100.0%
Alias Brew Works,Alias Brew Works,Alias Brew Works Scooter Pale Ale 15.5 Gal Keg,15.5 Gal Keg,On Premise,2025/3,48.22,,-48.22,-100.0%
