Supplier,Brand Family,Product Name,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Total,,,"6,071.39","6,590.53",519.13,8.55%
Vinaio Imports LTD,Cerveza Republica La Tuya 5.0 La Dura,Cerveza Republica La Tuya 5.0 La Dura 4/6/11.2 oz Btl,"1,068.53","2,534.95","1,466.42",137.24%
Food & Bev Enterprise LLC,Poker Import,Poker Import 4/6/11.15 oz,406.98,674.58,267.60,65.75%
Food & Bev Enterprise LLC,Food & Bev,Club Columbia Dorada 4/6/11.15 oz,195.13,544.49,349.37,179.05%
Food & Bev Enterprise LLC,Food & Bev,Club Colombia Dorada 1/24/11.15 oz Btl,427.42,349.37, (78.05),(18.26%)
Food & Bev Enterprise LLC,Aguila Import,Aguila Import 4/6/11.15 oz Btl,194.20,340.08,145.88,75.12%
Vinaio Imports LTD,Cerveza Republica LA Tuya,Cerveza Republica LA Tuya 4/6/11.2 oz Can,340.92,273.67, (67.25),(19.73%)
Food & Bev Enterprise LLC,Poker Import,Poker Import 4/6/12 oz Can,427.00,266.00, (161.00),(37.70%)
Food & Bev Enterprise LLC,Food & Bev,Club Colombia Dorada 4/6/12 oz Can,107.00,235.00,128.00,119.63%
Food & Bev Enterprise LLC,Costenita,Costenita 6/6/5.91 oz Btl,150.71,206.11,55.41,36.76%
Food & Bev Enterprise LLC,Aguila Import,Aguila Light Import 4/6/11.15 oz Btl,26.95,192.34,165.39,613.79%
Food & Bev Enterprise LLC,Poker Import,Poker Import 1/24/11.15 oz Btl,271.32,183.05, (88.27),(32.53%)
Food & Bev Enterprise LLC,Aguila Import,Aguila Import 1/24/11.15 oz Btl,242.51,171.90, (70.62),(29.12%)
Food & Bev Enterprise LLC,Aguila Import,Aguila Light Import 1/24/11.15 oz Btl,229.50,169.11, (60.40),(26.32%)
Food & Bev Enterprise LLC,Aguila Import,Aguila Import 4/6/12 oz Can,49.00,160.00,111.00,226.53%
Food & Bev Enterprise LLC,Food & Bev,Club Columbia Roja 4/6/11.15 oz,9.29,132.87,123.58,"1,330.00%"
Food & Bev Enterprise LLC,Food & Bev,Club Colombia Roja 4/6/12 oz Can,72.00,121.00,49.00,68.06%
Food & Bev Enterprise LLC,Aguila Import,Aguila Light Import 4/6/12 oz Can,38.00,37.00, (1.00),(2.63%)
Vinaio Imports LTD,Carinoso,Carinoso Manzana 1/12/750 mL Btl,0.00,4.23,4.23,100.00%
Vinaio Imports LTD,Carinoso,Carinoso Durazno 1/12/750 mL Btl,0.00,4.23,4.23,100.00%
Vinaio Imports LTD,Carinoso,Carinoso Manzana Rose 1/12/750 mL Btl,0.00,3.17,3.17,100.00%
Food & Bev Enterprise LLC,Food & Bev,Club Columbia Roja 1/24/11.15 oz Btl,105.93,0.93, (105.00),(99.12%)
Food & Bev Enterprise LLC,Food & Bev,Pilsen Import 4/6/12 oz Can,121.00,0.00, (121.00),(100.00%)
Food & Bev Enterprise LLC,Food & Bev,Pilsen Import 1/24/11.15 oz Btl,22.30,0.00, (22.30),(100.00%)
Food & Bev Enterprise LLC,Costenita,Costenita 1/36/5.91 oz Btl,13.30,0.00, (13.30),(100.00%)
Vinaio Imports LTD,Cerveza Republica La Tuya 5.0 La Dura,Cerveza Republica La Tuya 4/6/16.9 oz Can,961.43, (1.41), (962.84),(100.15%)
Food & Bev Enterprise LLC,Food & Bev,Pilsen Import 4/6/11.15 oz,45.53, (4.65), (50.18),(110.20%)
Vinaio Imports LTD,Cerveza Republica LA Tuya,Cerveza Republica LA Tuya 4/6/11.2 oz Btl,545.47, (7.47), (552.94),(101.37%)
