Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
1925 Spirits LLC,Leyenda 1925,Spirits,Spirits - Tequila,1/6/750 mL (BO),,24.17,24.17,0.0%,,"$8,300.16","$8,300.16",0.0%
2 Towns Ciderhouse,Craftwell,RTD,RTD,12/375ml Btl,4.00,,-4.00,-100.0%,$377.00,,($377.00),-100.0%
2 Towns Ciderhouse,Craftwell,RTD,RTD,6/4/12oz Can,8.00,,-8.00,-100.0%,$492.00,,($492.00),-100.0%
Alias Brew Works,Alias Brew Works,Beer,Beer - Craft,15.5 Gal Keg,58.00,,-58.00,-100.0%,"$13,084.00",,"($13,084.00)",-100.0%
Alias Brew Works,Alias Brew Works,Beer,Beer - Craft,6/4/12oz Can,294.00,-11.00,-305.00,-103.7%,"$15,529.00",($457.00),"($15,986.00)",-102.9%
Alias Brew Works,Alias Brew Works,Beer,Beer - Craft,5.2 Gal Keg,49.00,,-49.00,-100.0%,"$6,457.00",,"($6,457.00)",-100.0%
Alte Beverage,Alte Beverage,THC,THC,6/4/12oz Can,,112.00,112.00,0.0%,,"$9,605.00","$9,605.00",0.0%
American Fruits,American Fruit,Spirits,Spirits - Brandy,12/375ml Btl,10.00,12.00,2.00,20.0%,"$1,440.00","$1,764.00",$324.00,22.5%
Artisanal Imports,Palma,Beer,Beer - Import,2/12/12oz Can,1192.00,311.00,-881.00,-73.9%,"$33,984.00","$9,184.50","($24,799.50)",-73.0%
Artisanal Imports,Tona,Beer,Beer - Import,4/6/12oz NR,1332.00,1136.00,-196.00,-14.7%,"$40,086.73","$35,322.73","($4,764.00)",-11.9%
Artisanal Imports,Tona,Beer,Beer - Import,1/12/24oz Can,,38.00,38.00,0.0%,,$921.00,$921.00,0.0%
Artisanal Imports,Palma,Beer,Beer - Import,2/12/12oz NR,331.00,430.00,99.00,29.9%,"$9,933.46","$13,351.46","$3,418.00",34.4%
Artisanal Imports,Palma,Beer,Beer - Import,4/6/12oz Can,2405.00,1135.00,-1270.00,-52.8%,"$71,054.47","$24,059.64","($46,994.83)",-66.1%
Artisanal Imports,Tona,Beer,Beer - Import,2/12/12oz Can,1323.00,1157.00,-166.00,-12.5%,"$35,739.00","$32,443.00","($3,296.00)",-9.2%
Athletic Brewing Company,Athletic,Beer,Beer - Non-Alc,1/15/19.2oz Can,41.00,12.00,-29.00,-70.7%,"$1,184.80",$345.60,($839.20),-70.8%
Athletic Brewing Company,Athletic,Beer,Beer - Non-Alc,6/4/12oz Can,,234.00,234.00,0.0%,,"$12,572.10","$12,572.10",0.0%
Athletic Brewing Company,Athletic,Beer,Beer - Non-Alc,1/4 BBL Keg (7.75 Gal),,4.00,4.00,0.0%,,$532.00,$532.00,0.0%
Athletic Brewing Company,Athletic,Beer,Is Null,1/15/19.2oz Can,,12.00,12.00,0.0%,,$345.60,$345.60,0.0%
