Supplier / Brand Family,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Total,4044455.037417,3981497.59252,-62957.444897,-1.5566
Constellation Brands,1495071.200902,1518436.416064,23365.215162,1.5628
Corona Extra,700345.171795,687713.250754,-12631.921041,-1.8037
Modelo Especial,595188.58978,607469.616167,12281.026387,2.0634
Modelo Chelada,46208,59211.999749,13003.999749,28.1423
Victoria,33877.665019,40206.664699,6328.99968,18.681900000000002
Corona Light,30168,30134.222188,-33.777812,-0.11199999999999999
Corona Premier,19829.666639,18744.861087,-1084.805552,-5.4706
Corona Familiar,19801.66334,21643.996335,1842.332995,9.3039
Pacifico,18090.666585,23709.249568,5618.582983,31.0579
Modelo Negra,14391.777744,15056.555517,664.777773,4.6191
Corona Sunbrew,6165,5962,-203,-3.2927999999999997
Corona NA,4987,5752,765,15.3399
Modelo Oro,3358,2412,-946,-28.171499999999998
Modelo Aquas Frescas,1295,395,-900,-69.4981
Corona Refresca,1097,0,-1097,-100
The Drop,268,25,-243,-90.6716
MolsonCoors Beverage Company,1078830.363834,1050528.695024,-28301.66881,-2.6234
Coors Light,452964.816594,439931.653119,-13033.163475,-2.8773
Lite,292694.381868,289076.104745,-3618.277123,-1.2362
Blue Moon,72556.65946,66777.048551,-5779.610909,-7.965700000000001
Coors,65259.110978,70002.638517,4743.527539,7.268800000000001
Miller High Life,38255.581476,35973.331511,-2282.249965,-5.965800000000001
Peroni,32459.547879,36653.777497,4194.229618,12.9214
Leinenkugel,17071.923637,15965.888914,-1106.034723,-6.4787
Fosters,13387.138099,12267.578879,-1119.55922,-8.3629
Arnold Palmer,11657,7513,-4144,-35.5495
Tyskie Gronie,11495.506112,11173.492087,-322.014025,-2.8011999999999997
Keystone,8358.25,8028.75,-329.5,-3.9421999999999997
Steel Reserve,7745.666811,6602.666732,-1143.000079,-14.7566
Miller Extra Light,6265.25,5405.25,-860,-13.7265
Pilsner Urquell,5863.761442,5601.538144,-262.223298,-4.4719
Molson,5849.832996,5252.124681,-597.708315,-10.2175
Miller Genuine Draft,5463.25,4489.75,-973.5,-17.8191
Milwaukee's Best Ice,4614.249791,4033.999875,-580.249916,-12.5752
Cusquena,3881,3182,-699,-18.0108
Old English,3669.000217,3502.000202,-167.000015,-4.5516000000000005
Grolsch,3491.396664,2749.778432,-741.618232,-21.2413
Simply Spiked,2743,1337.125,-1405.875,-51.2532
George Killian's,2015.00001,1747.666675,-267.333335,-13.2672
Redd's Wicked,1415,1377,-38,-2.6855
Topo Chico,1409,712,-697,-49.4677
Coors Edge,1366,1553,187,13.689599999999999
Hamm's,1241.25,1266.25,25,2.0141
Aguila,1204,1822,618,51.3289
Vizzy,1115,443,-672,-60.269099999999995
Fever Tree,985.2898,3984.821316,2999.531516,304.4314
Sol,565,531,-34,-6.0177000000000005
Redd's,551,419,-132,-23.9564
Cristal,501,0,-501,-100
Milwaukee's Best Light,412.5,401.25,-11.25,-2.7273
Happy Thursday Spiked Refresher,296,-6,-302,-102.027
Steel Reserve Alloy Series,8,0,-8,-100
NaKed Life,0,3.30238,3.30238,100
Monaco,0,465.907767,465.907767,100
Coors 0.0,0,289,289,100
Heineken USA,316974.465001,286872.406985,-30102.058016,-9.496699999999999
Heineken USA,252345.32459,225229.38096,-27115.94363,-10.7456
Heineken Light,20764,18679,-2085,-10.0414
Heineken 0.0,15600.135656,15128.451516,-471.68414,-3.0236
Amstel,7784,7386,-398,-5.1131
Tecate,6606.25,6493.25,-113,-1.7105
Dos Equis,5006.736115,4789.777785,-216.95833,-4.3333
Red Stripe,4166.848176,4245.563512,78.715336,1.8891000000000002
Heineken Silver,2262,1446,-816,-36.0743
Murphy's,945.965616,1129.937904,183.972288,19.4481
Carta Blanca,507.9999,650.666544,142.666644,28.083999999999996
Prestige Lager,402,498,96,23.880599999999998
Strongbow,365.204948,354.93064,-10.274308,-2.8133
Buckler,218,-30,-248,-113.7615
Newcastle,0,305.427156,305.427156,100
Heineken 0.0 Ultimate,0,566.020968,566.020968,100
Mark Anthony,226648.735266,205397.078006,-21251.65726,-9.3765
White Claw,177368.465421,157276.732987,-20091.732434,-11.3277
Mike's Hard Lemonade,22795.788586,17110.777125,-5685.011461,-24.9389
Cayman Jack,17751.271344,20840.033308,3088.761964,17.400199999999998
Mike's Harder,6664.543674,6137.668496,-526.875178,-7.9056
Mxd Cocktails,1702.666241,2373.66609,670.999849,39.4088
Dillon's Cocktails,366,430,64,17.4863
Ole,0,633.2,633.2,100
Mike's Hard Dirty Lemonade,0,595,595,100
Boston Beer Company,226609.072494,234662.101238,8053.028744,3.5537
Twisted Tea,65734.284764,56650.555501,-9083.729263,-13.818900000000001
Samuel Adams,58451.52804,54238.25952,-4213.26852,-7.208100000000001
Sun Cruiser,28450,55423,26973,94.8084
Truly,24094.763781,18150.874995,-5943.888786,-24.668799999999997
Dogfish Head Beer,21521.516746,21956.563997,435.047251,2.0215
Angry Orchard,20944.979195,21938.430584,993.451389,4.7431
Hard Mountain Dew,3747,2020,-1727,-46.090199999999996
Dogfish Head Spirits,3664.999968,3434.416641,-230.583327,-6.2915
Sinless Vodka Cocktail,0,850,850,100
Coney Island,0,0,0,100
Pabst Brewing Company,148129.181494,136036.213795,-12092.967699,-8.1638
Pabst Blue Ribbon,88554.587383,80681.838651,-7872.748732,-8.8903
Colt 45,18201.592973,16604.163754,-1597.429219,-8.776299999999999
St Ides,10155.238083,7632.237734,-2523.000349,-24.8443
Old Milwaukee,8486.998618,7792.164702,-694.833916,-8.187
Jack Daniels Country Cocktails,7640.977155,7431.602228,-209.374927,-2.7401999999999997
Schlitz Malt,5567.364129,4459.655117,-1107.709012,-19.8965
Schaefer,2565,3220,655,25.5361
Pabst Light,1919.999894,4930.447667,3010.447773,156.7942
Country Club,1899.999525,905.333107,-994.666418,-52.3509
Small Town,1057,975,-82,-7.7578
New Holland Brewing Co,621.777779,646.750002,24.972223,4.016299999999999
Lone Star,532,758,226,42.4812
Ballantine Ale,485.333332,0,-485.333332,-100
EL Jimador,441.312623,-0.979167,-442.29179,-100.22189999999999
DG Yuengling Inc,126932.305745,122727.833479,-4204.472266,-3.3124000000000002
Yuengling Lager,108947.472438,105653.389058,-3294.08338,-3.0236
Yuengling Flight,5213.722215,5047.444437,-166.277778,-3.1891999999999996
Yuengling Light Lager,4295,4233,-62,-1.4435
Yuengling Black & Tan,3349.111092,3115.999984,-233.111108,-6.9604
Yuengling Premium,2317,2388,71,3.0643
Yuengling Golden Pilsner,1476,1123,-353,-23.916
Yuengling Premium Light,943,979,36,3.8176
Dg Yuengling Inc,363,174,-189,-52.066100000000006
Yuengling Oktoberfest,28,14,-14,-50.0
Sapporo,46027.719784,55510.067726,9482.347942,20.6014
Sapporo,46027.719784,55510.067726,9482.347942,20.6014
New Belgium Brewing Company,34952.686099,38644.236523,3691.550424,10.5616
Voodoo Family,24225.666699,27294.881982,3069.215283,12.6693
