Customer Name,Brand Family,Sales Rep Name,Placements
#1 Liqrs (P),Coors,Pablo Lopez,1
#1 Liqrs (P),Peroni,Pablo Lopez,0
10th Ave Liq & Food (P),Peroni,Derrick Laws,0
10th Ave Liq & Food (P),Coors,Derrick Laws,0
23 liquor & Tobacco,Peroni,Klejdi Lamo,1
23 liquor & Tobacco,Coors,Klejdi Lamo,4
230 Liq & Groc.(A),Coors,Derrick Laws,1
3 IN 1 LIQUORS INC,Coors,Klejdi Lamo,3
3 IN 1 LIQUORS INC,Peroni,Klejdi Lamo,0
46 Discount Liquor Store,Peroni,Chris Payton,2
46 Discount Liquor Store,Coors,Chris Payton,2
Acme Markets (Allendale),Coors,Phil Ernst,5
Acme Markets (Allendale),Peroni,Phil Ernst,4
Acme Markets (Fort Lee),Peroni,Phil Ernst,3
Acme Markets (Fort Lee),Coors,Phil Ernst,5
Acme Markets (Midland Park),Coors,Phil Ernst,2
Acme Markets (Midland Park),Peroni,Phil Ernst,3
"Agave Liquor, Wine & Spirits",Coors,Phil Ernst,3
"Agave Liquor, Wine & Spirits",Peroni,Phil Ernst,0
All Nations Liq,Coors,Matt Powierski,0
All Star Wine & Liquor,Peroni,Matt Powierski,3
All Star Wine & Liquor,Coors,Matt Powierski,2
Allen's Liquors,Peroni,Pablo Lopez,1
Allen's Liquors,Coors,Pablo Lopez,2
Allendale Wine Shoppe,Fever Tree,Mike Ast,1
Allendale Wine Shoppe,Peroni,Mike Ast,4
Allendale Wine Shoppe,Coors,Mike Ast,3
Altiero Liquors,Coors,Pablo Lopez,2
Altiero Liquors,Peroni,Pablo Lopez,0
American Classic Liq,Peroni,Dan Lagala,0
American Classic Liq,Coors,Dan Lagala,1
Andres Wine & Spirits,Peroni,Dan Lagala,2
Andres Wine & Spirits,Coors,Dan Lagala,2
Andres Wine & Spirits,Fever Tree,Dan Lagala,0
Angel's Wine & Liquors,Peroni,Derrick Laws,0
Angel's Wine & Liquors,Coors,Derrick Laws,1
Ani Service Station Inc,Coors,Chris Payton,1
Ani Service Station Inc,Peroni,Chris Payton,1
Ant's Bar & Liquors,Coors,Derrick Laws,0
Appio's Liquors,Peroni,Anthony Palmisano,1
Appio's Liquors,Coors,Anthony Palmisano,3
Archies (P),Peroni,Matt Powierski,0
Archies (P),Coors,Matt Powierski,1
B & B Liquors (Fair Lawn),Coors,Chris Payton,4
B & B Liquors (Fair Lawn),Peroni,Chris Payton,4
B & B Wine&Liq,Peroni,Anthony Palmisano,1
B & B Wine&Liq,Coors,Anthony Palmisano,3
B & B Wine&Liq,Fever Tree,Anthony Palmisano,1
Banner Delicatessen,Coors,Dan Lagala,0
Banner Delicatessen,Peroni,Dan Lagala,0
Banner Liquor Iii,Peroni,Dan Lagala,1
Banner Liquor Iii,Fever Tree,Dan Lagala,0
Banner Liquor Iii,Coors,Dan Lagala,2
Barrel & Brew Bar & Liq,Peroni,Dave Ehlers,1
Barrel & Brew Bar & Liq,Coors,Dave Ehlers,2
Basket Of Cheer Ii (Lake Hiawatha),Coors,Klejdi Lamo,3
Basket Of Cheer Ii (Lake Hiawatha),Fever Tree,Klejdi Lamo,0
Basket Of Cheer Ii (Lake Hiawatha),Peroni,Klejdi Lamo,3
Beechwood Wine & Liq,Fever Tree,Andrew Lundy,0
Beekman's Wines and Liquors,Peroni,Mike Ast,3
Beekman's Wines and Liquors,Coors,Mike Ast,1
Beekman's Wines and Liquors,Fever Tree,Mike Ast,4
Bella Wine & Liquor,Peroni,Dan Lagala,0
Bella Wine & Liquor,Coors,Dan Lagala,0
Belmont Liqrs (P),Coors,Javier Melo,1
Belmont Liqrs (P),Peroni,Javier Melo,0
Bergenfield Liq & Fw,Peroni,Dave Ehlers,1
Bergenfield Liq & Fw,Fever Tree,Dave Ehlers,2
Bergenfield Liq & Fw,Coors,Dave Ehlers,6
Berkshire(P) Bot. Shop,Peroni,Klejdi Lamo,0
Berkshire(P) Bot. Shop,Coors,Klejdi Lamo,2
Bermuda Liquors (P),Coors,Javier Melo,1
Bermuda Liquors (P),Peroni,Javier Melo,0
Best Cellars (Summit),Fever Tree,Andrew Lundy,0
Best Cellars (Wanaque),Peroni,Anthony Palmisano,6
Best Cellars (Wanaque),Fever Tree,Anthony Palmisano,7
Best Cellars (Wanaque),Coors,Anthony Palmisano,7
Best Choice Liqrs (P),Coors,Dan Lagala,0
Beverage Barn (A),Fever Tree,Shane Barreca,16
Beverage Barn (A),Coors,Shane Barreca,5
Beverage Barn (A),Peroni,Shane Barreca,6
Birchwood Liq & Deli (Z),Peroni,Matt Powierski,4
Birchwood Liq & Deli (Z),Coors,Matt Powierski,2
Bj's Warehouse E Rutherfo,Peroni,John Neukum,1
Bj's Warehouse E Rutherfo,Coors,John Neukum,2
Bloomingdale Discount Liq,Coors,Anthony Palmisano,1
Bloomingdale Discount Liq,Peroni,Anthony Palmisano,1
Bombolon Liquor & Grocery,Coors,Pablo Lopez,1
Boonton Liquor Locker,Coors,Klejdi Lamo,2
Boonton Liquor Locker,Fever Tree,Klejdi Lamo,3
Boonton Liquor Locker,Peroni,Klejdi Lamo,3
Boot Leggers W/L,Fever Tree,Hakan Sadik,0
Bottle & Cork,Peroni,Dave Ehlers,5
Bottle & Cork,Coors,Dave Ehlers,5
Bottle & Cork,Fever Tree,Dave Ehlers,5
Bottle King (A) Dumont,Coors,Shane Barreca,4
Bottle King (A) Dumont,Peroni,Shane Barreca,6
Bottle King (A) Dumont,Fever Tree,Shane Barreca,15
Bottle King (A) Glen Rock,Coors,Phil Ernst,6
Bottle King (A) Glen Rock,Fever Tree,Phil Ernst,18
Bottle King (A) Glen Rock,Peroni,Phil Ernst,7
Bottle King (A) Hillsdale,Fever Tree,Shane Barreca,10
Bottle King (A) Hillsdale,Coors,Shane Barreca,4
Bottle King (A) Hillsdale,Peroni,Shane Barreca,3
Bottle King (A) Ramsey,Coors,Shane Barreca,5
Bottle King (A) Ramsey,Peroni,Shane Barreca,7
Bottle King (A) Ramsey,Fever Tree,Shane Barreca,18
Bottle King (A) Wayne,Peroni,Mike Ast,5
Bottle King (A) Wayne,Coors,Mike Ast,5
Bottle King (A) Wayne,Fever Tree,Mike Ast,13
Bottle Liquor (P),Peroni,Javier Melo,2
Bottle Liquor (P),Fever Tree,Javier Melo,8
Bottle Liquor (P),Coors,Javier Melo,3
Bottle Republic (Rutherford),Coors,Matt Powierski,3
Bottle Republic (Rutherford),Fever Tree,Matt Powierski,0
Bottle Republic (Rutherford),Peroni,Matt Powierski,5
Bottleneck Liquors,Peroni,Jim Heaney,2
Bottleneck Liquors,Coors,Jim Heaney,2
Boulevard Food Store,Coors,Dan Lagala,0
Boulevard Food Store,Peroni,Dan Lagala,1
Boulevard Liq.(Fairview),Coors,Dan Lagala,2
Boulevard Liq.(Fairview),Fever Tree,Dan Lagala,0
Boulevard Liq.(Fairview),Peroni,Dan Lagala,0
Boulevard Wine & Spirits,Peroni,Pablo Lopez,1
Boulevard Wine & Spirits,Coors,Pablo Lopez,3
Bp Gas Station,Peroni,Dan Lagala,1
Bp Gas Station,Coors,Dan Lagala,0
Brand Bar & Bev (A),Peroni,Shane Barreca,1
Brand Bar & Bev (A),Coors,Shane Barreca,2
"Brix - Wine, Spirits, Beer (Fredon)",Coors,Jayson Romine,5
"Brix - Wine, Spirits, Beer (Fredon)",Peroni,Jayson Romine,0
Broad Liquors (A),Peroni,Jim Heaney,4
Broad Liquors (A),Coors,Jim Heaney,3
Broadway Liq (A),Coors,Derrick Laws,1
Broadway Liq (A),Peroni,Derrick Laws,2
Broadway W&L,Coors,Pablo Lopez,1
Broadway W&L,Peroni,Pablo Lopez,1
Budy's Wine & Liq (A),Fever Tree,Phil Ernst,0
