cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors,4/6/12oz NR,1,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors,2/12/12oz NR,2,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors,1/24/12oz Can,2,8,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors,30/12oz Can,3,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors,1/12/24oz Can,7,5,1
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors Light,18/12oz NR,1,2,1
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors Light,1/24/12oz Can,5,2,1
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors Light,18/16oz Can,10,5,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors Light,1/12/24oz Can,8,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Coors Light,36/12oz Can,24,13,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,24/12oz NR,1,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,2/12/12oz NR,2,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,18/12oz NR,2,5,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,18/16oz Btl,2,0,0
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,30/12oz Can,6,5,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,18/12oz Can,15,3,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,1/12/24oz Can,9,7,4
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,2/12/16oz Can,23,16,5
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Lite,36/12oz Can,7,5,2
29010,Paradise Liquors,Alisa Acciardi,Off Premise,Lyndhurst,Peroni,4/6/11.2oz NR,2,0,0
78002,Super K Food (A) Store,Alisa Acciardi,Off Premise,Rochelle Park,Coors,1/12/24oz Can,5,5,1
78002,Super K Food (A) Store,Alisa Acciardi,Off Premise,Rochelle Park,Coors Light,4/6/12oz NR,2,1,1
78002,Super K Food (A) Store,Alisa Acciardi,Off Premise,Rochelle Park,Coors Light,2/12/12oz Can,12,11,1
78002,Super K Food (A) Store,Alisa Acciardi,Off Premise,Rochelle Park,Coors Light,18/12oz Can,8,7,2
78002,Super K Food (A) Store,Alisa Acciardi,Off Premise,Rochelle Park,Coors Light,4/6/16oz Can,5,5,1
